date,code,short,full,toneQ,toneA,day5,day10,day20,day60,day120,day250,day364
2017/04/06,2069.0,ST獐岛,ST獐岛2016年度业绩说明会,0.5609756097560976,0.7361543248288737,-0.01958224543080937,-0.05846379647749484,-0.1104162264948237,-0.1480513785801372,-0.15343622760502545,-0.15775718963383084,-0.2131233785033408
2017/04/13,2029.0,七匹狼,七匹狼2016年年度业绩网上说明会,0.5869737887212073,0.6614839598504232,-0.015753585704208834,-0.02802479116141202,-0.037428194054258235,-0.053384986225895666,-0.05788956061606799,-0.09351632608866788,-0.10003451373926237
2017/04/14,2085.0,万丰奥威,万丰奥威2016年度业绩说明会,0.5276752767527675,0.6923076923076923,-0.034774169112773284,-0.04624437347549469,-0.060721807732124426,-0.05721036675979326,-0.08604761053803077,-0.07180208258869232,-0.08230008077392002
2017/04/26,2543.0,万和电气,万和电气2016年度业绩网上说明会,0.5882352941176471,0.8048780487804879,-0.013704994192799148,0.02006700056386612,0.04028532822172643,0.14369749851863026,0.22207793911252788,0.18956254094216948,0.21942702013333493
2017/03/14,300482.0,万孚生物,万孚生物2016年度业绩说明会,0.5013850415512465,0.7799006495987774,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/05/05,2590.0,万安科技,万安科技2016年度业绩说明会,0.4444444444444444,0.6056338028169014,-0.0257539817011182,-0.05138607167004743,-0.10666977249786473,-0.2097520835319444,-0.229147781476746,-0.3041889821663016,-0.4175777605065608
2017/04/24,2654.0,万润科技,万润科技2016年度业绩网上说明会,0.6615384615384615,0.902439024390244,-0.036274509803921495,-0.0708970369368151,-0.12181818181818195,-0.15384451043647315,-0.15197244138237564,-0.31426295126784154,-0.3934829785306235
2017/03/06,2643.0,万润股份,万润股份2016年度业绩说明会,0.4320987654320987,0.7120359955005624,0.021548241838288986,0.027083648846483985,0.02480509006183344,0.022933302880602642,-0.26639117199741114,-0.5090357258987431,-0.5821196302532471
2017/04/28,300268.0,万福生科,万福生科2016年度业绩网上说明会,0.5902439024390244,0.5300546448087431,0.0,0.0,0.0,0.0,-0.20511899625333294,0.0712171559726212,0.024679683007475625
2017/03/28,2.0,万科A,万科A2016年度业绩投资者交流会,0.35842880523731585,0.7878553125558667,-0.023650626390352373,-0.021708448148397005,-0.017156030089783926,-0.04446881927514473,-0.00019348440189622749,0.05578613519096637,0.20221389381787488
2017/05/04,300168.0,万达信息,万达信息2016年度业绩网上说明会,0.4172276885896773,0.6727272727272727,0.0,0.0,0.0,-0.16440925447358604,-0.2013307349619537,-0.3139496968639245,-0.3193302633163363
2017/04/12,2739.0,万达院线,万达院线2016年度网上业绩说明会,0.3206681350954479,0.7423133235724744,-0.017183858141766914,-0.047402245567562944,-0.07062008543520253,-0.036785752997030415,-0.030115222132410826,-0.12787254155749106,-0.16446411774420008
2017/04/27,300055.0,万邦达,万邦达2016年度业绩网上说明会,0.7142857142857143,0.7326478149100257,0.0643633324045696,0.054987924948912914,-0.0007725882502866312,0.07561367174469047,0.08411268411268348,0.09981472805884242,0.06357476489745972
2017/04/18,2434.0,万里扬,万里扬2016年度业绩网上说明会,0.6066000868432478,0.7695473251028807,0.02143189936325532,0.012270539923358262,-0.01867811340472101,-0.09016237704798233,-0.05750827580695452,-0.11344550384992398,-0.13052922445601148
2017/05/02,2785.0,万里石,万里石2016年度业绩说明会,0.7846153846153846,0.9346938775510204,-0.026389116538272347,-0.05380566691210554,-0.1325222313752824,-0.23854495255420324,-0.27687876175089354,-0.3891588715624666,-0.4281228720117188
2017/04/27,300591.0,万里马,万里马2016年度业绩网上说明会,0.6184971098265896,0.7889243258915628,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/04/07,300552.0,万集科技,万集科技2016年度业绩说明会,0.5512820512820513,0.8783894823336073,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/04/17,300057.0,万顺股份,万顺股份2016年度业绩说明会,0.6803118908382066,0.802936996684036,0.0,0.0,0.0,0.0,-0.2578134369215529,-0.2642429259408348,-0.3103913993600665
2017/05/04,2276.0,万马股份,万马股份2016年度业绩说明会,0.18933333333333333,0.6849507735583685,-0.0028433323855560125,-0.046399055489964716,-0.12445141065830727,-0.2414640180969885,-0.2499945484734168,-0.32650550904444403,-0.42538759557565387
2017/03/17,2555.0,三七互娱,三七互娱2016年度业绩说明会,0.6084519189305735,0.7715909090909091,-0.009632469840082113,-0.011862458193979951,0.0008638079205296545,0.11469856819894485,0.2597728830451431,0.22175633529032046,0.17749127618206584
2017/03/28,300276.0,三丰智能,三丰智能2016年度业绩说明会,0.7226277372262774,0.7032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/04/10,300051.0,三五互联,三五互联2016年度业绩网上说明会,0.6516129032258065,0.6579925650557621,0.0,0.0,0.0,0.0,-0.2352749184399605,-0.3317502324925347,-0.37747479915112864
2017/04/10,2417.0,三元达,三元达2016年度业绩说明会,0.6190476190476191,0.6035678889990089,0.0,0.0,0.0,0.0,-0.2283003534004012,-0.2211888344443788,-0.22664533866800546
2017/05/04,2216.0,三全食品,三全食品2016年度业绩说明会,0.5396188565697091,0.7726465364120781,0.0020207852193995465,0.006148594460095993,0.015559584638206319,-0.060667687919285486,-0.11464938866975627,-0.10188461129555594,-0.09715035059846792
2017/04/21,300295.0,三六五网,三六五网2016年度业绩网上说明会,0.4048257372654155,0.5899569157628881,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/03/31,2224.0,三力士,三力士2016年度业绩说明会,0.553072625698324,0.3333333333333333,-0.012341374982568652,-0.02455006922011986,-0.07498357681358894,-0.18170829772910785,-0.2438349564329049,-0.3398560891578857,-0.4184341972729612
