,Question,Answer
0,公司去年财务费用和管理费用怎样？同财务费用相比呢？今年有没有折旧？请问管理费用今年会能稳定吗？,"尊敬的投资者，您好！
财务费用和管理费用支出情况，请您参见2016年度报告。
谢谢"
1,请问贵司今后有新增多少产能？下游客户能吸收的完吗？,"尊敬的投资者，您好！
除新业务外，我公司目前没有大规模增加产能的计划。
谢谢"
2,公司目前有哪些在建项目？建设进度如何？还需要多少资金？,"尊敬的投资者，您好！
公司2017年计划建设数字化档案存储中心，具体投资内容请您参见公司董事会决议公告。
谢谢"
3,投资者担心的心情更多，请问贵公司对此怎样给予更好的鼓励，加油,"尊敬的投资者，您好！
我公司经营情况稳定，正在积极的向信息服务业转型，我们对未来发展有信心。
谢谢"
4,请问公司明年净利润能做到多少？,"尊敬的投资者，您好！
我公司将努力做好经营工作，争取以良好的业绩回报广大股东，但明年的业绩情况目前还不好做出预测。
谢谢"
5,请问截至到目前公司的营销有没有什么新进展，有看点吗？,"尊敬的投资者，您好！
目前公司经营情况正常，各类产品都在积极的拓展市场，但目前没有需要公告的重大经营信息。
谢谢"
6,请问公司今年营收的增长能超过行业增速20%吗？,"尊敬的投资者，您好！
从一季度的经营情况来看，公司收入保持了稳定，但面临的市场竞争压力也比较大，公司将采取积极的营销策略，力争实现全年业绩的稳定。
谢谢"
7,新投资的项目今年能否为公司贡献利润？如有利润贡献，公司预计能实现多少利润？,"尊敬的投资者，您好！
新项目正在发展过程中，项目发展取得了一定的成果，但具体的利润完成情况目前还不好做具体的估计。请您谅解。"
8,您认为目前公司面临的最大问题是什么？,"尊敬的投资者，您好！
请您参见史总刚才就同类问题的回复。
谢谢。"
9,公司历次新增产能均能及时消化，公司一直保持了较高的产能利用率与产销率   这是过去，将来还会是这样吗？,"尊敬的投资者，您好！
我公司是订单驱动型的生产企业，将来预计仍能够保持较好的产能利用率和产销率。
谢谢"
10,对公司未来有前景吗？,"尊敬的投资者，您好！
公司目前传统业务稳定，正在向信息服务领域转型，我们对公司未来的发展充满信心
谢谢"
11,公司领导怎么看现在公司的股价，对我们这些看好公司的小散有什么忠告。谢谢,"尊敬的投资者，您好！
资本市场的股价受多种因素的影响，我公司将努力做好生产经营工作，用优秀的业绩回报广大股东。
谢谢"
12,"请问董事长,关于公司最新项目今年或以后有什么战略规划吗,如果有今年能进展到什么程度?","尊敬的投资者，您好！
在2017年公司将重点推进新业务的发展，通过集团销售平台提升销售竞争力，争取早日为公司贡献效益。谢谢"
13,我对贵公司是长期投资的，请问预计今年上半年会盈利多少？,"烦请您参见公司2017年一季度报告中关于1-6月份经营业绩的预测。
谢谢"
14,请问公司股票上市时期价格多少，现在多少，还具有投资价值吗？,"尊敬的投资者，您好！
我公司IPO时的发行价格为10.28元，从长期来看，是具有投资价值的。
谢谢"
15,公司有没有股权激励计划？,"尊敬的投资者，您好！
我公司已于2011年实施了限制性股票激励计划。
谢谢"
16,请问公司今年是否有对外扩张的打算？在环渤海地区是否有意向？今年公司在市场开拓方面有什么计划？能否详细谈谈？谢谢,"尊敬的投资者，您好！
除目前已经公告的股权收购和基础建设项目外，公司没有其他对外投资计划。关于市场开拓发面，公司将在保持传统业务稳定的基础上，积极推进新业务的发展。
谢谢"
17,在做项目之前是否对项目进行严谨的可行性研究？,"尊敬的投资者，您好！
公司投资的项目均经过严谨的可行性研究，重大投资决策还要根据投资决策程序提交董事会或股东大会审批。
谢谢"
18,公司目前面临的最大问题是什么？,"尊敬的投资者，您好！
我公司目前正在向信息服务领域转型，以进一步提高公司的竞争实力，在转型过程中将遇到人才、政策、技术实力等方面的风险。我们将根据市场变化情况，充分利用自身竞争优势，力争实现战略转型。谢谢。"
19,印刷业务是否有向高端市场拓展的考虑？类似雅昌艺术印刷的业务市场？,"尊敬的投资者，您好！
公司在2010年就投资建设了个性化彩色印刷项目，开展高档彩色印刷品的服务。
谢谢"
20,公司对新疆、内蒙、宁夏等西部同行竞争对手怎样的考量？你们的成本、管理、市场等优势体现在哪些方面？,"尊敬的投资者，您好！
我公司在新疆、青海均设有生产基地，为西部地区的客户提供服务。并取得了较好的经济效益。我们尊重每一个竞争对手，希望更好的发展各个区域市场。
谢谢"
21,公司现在负债总额是多少？每年负债的利息是多少？谢谢。,"尊敬的投资者，您好！
2016年度报告中，对于公司负债和财务费用均由详细披露，请您参阅。
谢谢"
22,公司投入技术服务业务的员工大概有多少人？,"尊敬的投资者，您好！
请您参阅2016年年度报告中，关于公司员工情况的介绍。
谢谢"
23,截至目前公司的同比销售额有增长吗？,尊敬的投资者，您好！烦请您参阅2017年一季度报告。谢谢
24,请问公司以后每年都会用现金分红的形式回馈股东吗？,公司多年来一直坚持现金分红回报股东。今后将根据企业经营实际情况，采取合适的方式回报股东。谢谢
25,技术服务类业务增长很快，今年营收占比估计能达到多少？,"尊敬的投资者，您好！
公司技术服务类业务是公司重点推进的项目，但这些业务受政策、国家监管要求的影响比较大。我们将积极的拓展业务服务范围，为公司创造更好的效益。但具体的营收情况目前不好估计。
谢谢"
26,电子发票业务和百望，航信相比，优势劣势如何？,"尊敬的投资者，您好！
电子发票服务供应商都有各自的优势，我们将努力做好专业领域的技术服务，为客户提供专业化定制服务。
谢谢。"
27,请问公司目前产能多少？,"尊敬的投资者，您好！
公司目前产品品种较多，产能标准不一，但目前的产能能够满足订单的需求。
谢谢。"
28,传统票据印刷业务市场前景如何？利润如何稳定？应收账款增幅较大是否存在客户资质降低的风险？,"尊敬的投资者，您好！
传统票据业务面临增速放缓的风险，我们将努力提升产品的技术含量，开发新产品，来保持利润空间。公司应收账款的增加主要是因为销售规模扩大后，有所增加，目前没有客户资质降低的风险。
谢谢"
29,一季度业绩怎么样？有没有机构来调查？,"尊敬的投资者，您好！
公司一季度报告已于4月25日披露，请您查阅。
谢谢。"
30,请问净利润的增长率和销售收入增长同步吗？,"尊敬的投资者，您好。
公司刚刚披露了一季度报告，请您参阅。
谢谢。"
31,请问今年的营销额，公司给的任务是多少？去年的有没有完成？,"尊敬的投资者，您好！
在2017年，公司力争实现业绩稳定，2016年的业绩情况，烦请您参阅<2016年年度报告>。
谢谢。"
