,Question,Answer
0,公司今年有新投资的项目吗？如果有，当年能否为公司贡献利润？如有利润贡献，公司预计能实现多少利润？,收购金燕、美国新工厂等新项目请参见公司公告。
1,请问公司今年营收的增长能超过行业的平均水平吗？,预计超过，请关注公司后续公告。
2,公司未来五年的目标是多少？能够实现吗？,成为全球行业第二名，我正为之而努力。
3,请问老总， 2016年存货是多少，存货增加的内容是哪些？,2016年公司存货是10170.04万元，存货较上年同期减少1335.07万元，谢谢！
4,公司截止目前的股东总人数是多少？,截至2017年4月30日，公司股东人数为12570，谢谢！
5,公司的发展战略是什么， 和公司现有的主营业态一致吗？  能否详细讲解一下？ 谢谢！,公司相当长的时间内将专注于滚动体元件的制造与销售。
6,请问：公司产品的技术含量如何？专利多吗？行业垄断地位如何？ 那些项目能给公司带来利润增长点？预计是否能保持3年的增长？,公司拥有专利144项， 在滚动体制造上拥有独特的企业特色，产品在主机行业有较强的声誉，不断得到国际著名客户的新项目的需求，在企业赢利及市场发展上保持强劲势头。
7,公司未来3年发展前景如何?,公司在未来的发展过程中，正在向集团化、国际化、股份化、自动化，信息化等方向发展，已收购金燕钢球，并在美国成立子公司，建有完善的人才激励制度，保持公司持续稳定发展。
8,"同行业内有哪些主要竞争对手？公司采取了什么样的应对措施,在保持稳定增长的前提下不断做大做强?",主要为美国日本等对手。公司抓紧中国制造能力快速发展的时机，不断提升公司信息化、自动化、智能化的能力及工艺过程革新，通过海外建立制造型分公司，不断拓展市场占有率及新领域的拓展。
9,在企业文化方面，公司有什么特色吗？,公司定期开展主题演讲、知识竞赛、集体旅游、年欢等多种文娱活动，谢谢！
10,你好，请问贵司目前产品的销售趋势如何？今年的销售目标是多少？公司有没有一个具体可行的持续增长计划？,目前本公司产品销售趋势持续增长，今年的销售目标增长10%以上，公司年初制定了持续增长计划，谢谢！
11,在给用户提供增值服务方面，公司做了哪些工作以增强对原有客户的锁定、新客户的拓展？,公司通过与大客户建立战略合作关系，在研、产、管、销等多方面实施持续改进，与大客户同步发展，为客户改善提供支持，并在行业标准化上作不懈努力，为新客户提供解决方案，不断拓展。
12,"公司采取了具体怎样的应对措施,在同业中不断做大做强?",公司已经完成对力星金燕钢球的收购，为企业做大做强奠定了基础，谢谢！
13,请问公司公司的核心竞争力是什么？,公司在钢球行业中处于行业领先地位，在研、产、管、销均有公司特色，客户为世界著名企业及国内著名企业。
14,希望公司在本专业领域专注于做强做大做实，提升公司的行业地位，给投资者以回报！,感谢你对公司的关心，我们会将做大做强企业，给投资者以回报！
15,公司生产经营的季节性如何?哪个季节是旺季?,我公司产品为机械基础零件，有较强的市场适应度，长年处于旺销状况。
16,请问公司目前的研发机构有哪些？公司未来产品的研发与创新将如何进行？,公司建有滚动体研发中心，专业研发滚动体元件，拥有世界一流的研发设备，具有产品及产品安装单元的综合测试能力。公司拥有专业的研发团队及外部研发合作机构，产品正不断向高精深度发展及开发。
17,"请问董事长,关于公司最新项目进展如何？达到预期了吗？",公司最新项目（非公开发行募投项目）正在按计划推实施，谢谢！
18,请问公司的分配预案达到承诺的分红比例吗？,公司的分配预案已经超过公司章程的利润分配比例，谢谢！
19,请问独立董事，您的履职情况如何，是否能真正保护了中小股东利益？,请参考我的述职报告。谢谢！
20,请问公司以后每年会用什么形式回馈股东？,每年会根据公司章程实施利润分配，谢谢！
21,公司在税收方面有没有相关的优惠政策？具体税率是多少？,公司是高新技术企业，享受所得税减免10%的优惠，谢谢。
22,请问2017年全年预计销售目标是多少？实现净利润的目标是多少？,2017年全年预计销售、利润增长10%以上，谢谢。
23,公司有没有股权激励计划？, 请关注公司后续公告，谢谢！
