,Question,Answer
0,申通快递是否持有 独角兽菜鸟网络以及丰巢科技的股份！各是多少持股  ？谢谢,您好、公司通过全资孙公司新加坡申通有限公司持有部分菜鸟网络股权，公司通过全资子公司申通快递有限公司持有丰巢科技股权为9.0948%。
1,贵公司近年来的申诉率是多少？与行业水平相比如何？,"您好！公司2017年的邮政申诉率为百万分之10.83,2018年3月份已降至百万分之2.75，预计4月份会进一步好转."
2,公司项目回款和现金流情况如何？回款风险如何？,公司项目回款正常，各项应收款项均在正常账期内回款，回款不存在风险。公司的现金流量也比较正常稳定。
3,公司业务量增速已经明显低于行业水平，如不及时改善经营策略，是否担心过会在同行中掉队，公司有什么具体措施来改进公司的服务质量，提升时效和客户体验,您好，公司将2018年定为公司的质量服务年，目前运营时效和服务质量均有明显提升，接下来公司也将进一步加大市场占有率提升力度。具体步骤如下：一是以“质量”为中心，提升快递时效、服务水平、三件质量、网络深度及密度等，全面推进企业高质量发展；二是加大基础建设投资和改造力度，推进仓储向智能化、分拣向自动化转变；三是加强密集化末端建设，实现网络健康、稳定、持续发展；四是狠抓质量的薄弱环节，扭转服务质量落后局面，主要是重点整治快件时效，根本解决时效落后问题和提升服务质量管控能力，降低国家邮政有效申诉率；五是加大市场销售力度，不断增加公司的业务量，提升市场占有份额。谢谢！
4,请问公司管理费用及现金流情况如何？费用控制情况如何？,您好，关于公司管理费用及现金流情况请参考公司于2018年4月26日在巨潮资讯网上披露的《公司2017年度财务决算报告》，谢谢。
5,作为申通快递的投资者，我就想问一下申通的领导和管理层；目前就是今天现在韵达的市值已经是申通的两倍了！请问申通的领导层和管理层有没有为此汗颜呢？上市的市值是一个企业的整体的表现，这个表现太让投资者伤心 同时也不利于申通的整体的形象！希望申通可以切实拿出来一些措施  比如回购股份  比如增持  比如引入战略投资者  等等一系列的措施  起码也该送股吧  谢谢,您好！申通近几年由于基础设施投资力度相对不足，及公司核心城市的转运中心直营化比率相对较低，一定程度上制约了公司的发展，公司自2016年开始加大了基础设施投资力度，同时公司2018年在核心城市转运中心的直营化上也取得了实质性的进展。目前公司的服务质量和时效、菜鸟指数等均已经有比较大的改善，市场认可度也在不断提升。接下来公司将进一步加入基础建设投资力度，提升质量和时效，并通过政策调整等手段加大市场占有率，提升公司的市场综合影响力。我们有信心给广大投资者带来更好的回报。谢谢！
6,目前快递行业的竞争态势是怎样的？是否还会爆发价格战？,您好，快递行业的同质化竞争导致快递价格持续下降，目前快递价格基本上处于阶段性底部，快递单价继续下行的幅度有限。基于目前快递运营中的人工和土地租金等成本刚性上涨的倒逼因素以及2017年部分快递企业提出提升派费等事项，均体现出价格已经处于较低水平，开始出现单价上涨的需求。
7,"去年有机构投资者去公司做调研吗,都是哪些？我们这些中小投资者在哪里能看到机构投资者的调研情况？",您好，如有投资者调研，公司将根据相关规定发布投资者调研情况，投资者可通过巨潮资讯网（http://www.cninfo.com.cn）查看。
8,一季度营业额与前三月月度公告数据相加总和有差异，请问是什么原因？,您好，2018年1-3月的经营简报为未经审计的数据，与定期报告披露的数据之间可能存在差异，因此月度经营简报的数据仅作为阶段性数据供投资者参考，相关数据以公司定期报告为准。
9,请问公司分红预案什么时候公布？公司是否考虑高转送来增加流动性？,您好，2017年度公司的利润分配方案为向全体股东每10股派发现金股利人民币2元（含税），本次不进行公积金转增股本、不送红股。公司的利润分配方案已经第四届董事会第十七次会议审议通过，本次利润分配方案尚待2017年度股东大会审议通过。
10,我是做跨境电商的，目前这一部分市场国内非常大，但是目前来看，传统的快递企业好像都没有做这一块，主要是邮政占比比较大，请问一下，公司是否有打算做跨境电商的物流？这部分利润比较高，比国内的传统物流利润率高很多,您好，公司已经成立国际事业部，专门负责开发和拓展跨境快递物流服务。
11,陈总好，刚刚公司提到将会多元化战略，这是否会分散在电商件上的精力，拉开与中通韵达的差距？,您好，公司多元化战略是基于公司现有体系基础的进一步拓展，一方面会争取在传统的快递业务层面继续拉开差距，获得较高的市场份额，另一方面会在快递行业细分领域进行拓展，电商件目前在我们业务中还是占据重要比例，多元化战略不会分散公司在电商上的精力，但会进一步优化我们的产品结构。谢谢！
