,Question,Answer
0,公司大股东近期有没有减持计划?,您好，公司未收到大股东的减持计划，截止目前大股东无减持计划。谢谢！
1,公司2017年的分配预案是什么？是否达到承诺的分红比例？,"您好，我司2017年利润分配预案为：以总股本461,002,575股为基数，向全体股东每10股派发现金红利0.50元（含税），剩余未分配利润153,348,667.67元转入下一年度。不送红股，不进行资本公积金转增股本。
公司严格按照相关法律、法规和公司章程的要求进行现金分红，并充分考虑了公司现阶段的经营状况、资金需求及未来发展等因素，达到证监会《上市公司监管指引第3号——上市公司现金分红》第五条的最低现金分红比例，符合公司《未来三年（2015-2017年）分红回报规划》的规定和要求。谢谢！
"
2,公司今年的利润增长点会是哪个业务板块？,尊敬的投资者，您好！2018年度，公司将继续坚持专注无缝服装的设计、研发、生产和营销，同时，公司将积极寻求新的利润增长点，借助资本市场和专业机构的各项资源，有序推进转型过程中的各项工作，积极推动向医疗健康产业转型的进程。谢谢！
3,开完股东会后，什么时候进行权益分派？,您好，公司会在股东大会审议通过方案后两个月内实施，完成权益分派事宜。谢谢！
4,公司如何控制成本？,"公司主要采取了以下措施进行成本控制：
（1）加强与原材料供应商的协调，通过建立长期合作关系，保证原材料供应品质、数量及价格稳定；
（2）加强公司生产的整体协调，推进精益生产，提高效率；
（3）提高生产工人技术熟练度，加强质量控制，减少不必要的材料与人工损耗；
（4）加强机器设备的日常维护，保证生产期间的正常运作，减少非必要的生产时间损耗、提高机器的利用率；
（5）制定合理的工资、奖金等激励制度，提高工人的生产积极性，以达到提高工作效率的目的。谢谢！"
5,公司关于医疗的投资，不要去投这些热门的互联网医疗，要对这个行业进行深度布局，收购省内的专科民营医院，快速的提高公司业绩。,您好！感谢您对公司的关注和建议。谢谢！
6,请问公司对国内市场有什么计划？,中国是全球无缝服装的重要消费市场，随着新型纤维的开发和运用，国内消费者对无缝服装产品的接受程度将逐渐提高，预计未来国内市场对无缝服装的需求将会逐步快速增长。在此背景下，公司将加大产品在国内市场的推广力度，依托公司在功能性、外观设计等方面的差异化竞争优势，通过广告宣传、增加渠道等措施，扩大国内市场的销售收入，进一步提高公司的盈利能力。谢谢！
7,公司募投项目进展情况？,"您好，“年产2,000吨锦纶DTY和1,200吨包覆纱的技改项目”（配股）处于建设期，因锦纶DTY和包覆纱市场供需不稳定，且同行业经济效益波动较大，公司考虑到项目风险和实际业务情况，放缓了项目实施进度，致使公司项目进度未达到预期。谢谢！"
8,公司如何应对劳动力成本上升的影响？,"您好，首先，公司坚持“专业化、高端化、国际化”的产品战略，通过不断的产品创新提高产品的附加值，公司通过“分厂管理模式”等方式，提高高端订单生产效率，扩大公司产品盈利空间，减小劳动力成本上升对生产经营的影响；
其次，通过继续引进全自动无缝针织机等先进生产设备，提高生产的自动化水平，减少生产对人工的依赖，稳定甚至降低劳动力成本在产品单位成本中的比例；
再次，通过加强员工培训，进一步完善激励制度等方法，提高劳动生产效率，从而降低成本。谢谢！
"
9,贵公司所处行业的发展前景如何？,您好，公司所属无缝服装行业是纺织服装行业下的一个细分行业，与其他纺织行业相比科技含量较高，能够通过个性化的设计、高附加值的面料及时尚的外观能满足人们对服装材质、设计、款型的高要求。经过近二十年的高速发展，现已在我国发展成为了一个较成熟的行业。近年来，整个无缝服装行业经历了困难形势的洗礼，新的商业模式、新技术、新应用的兴起为无缝服装行业的发展注入了新的活力，行业竞争力进一步提升，再加上国家对传统行业的政策支持，我们对无缝服装行业的继续成长和发展充满希望。谢谢！
