,Question,Answer
0,能介绍一下公司现在各大区域的销售和占有率等基本情况吗?,公司2016年度报告第四节经营情况分析中收入的章节，有披露各大区的销售情况。家具行业比较分散，无法给出占有率等数据。
1,公司今年有没有新产品和新业务拓展？,今年有新产品的拓展的。315已经推出了今年的新品“法式风情”。另外也推出了零添加甲醛板（MDI胶板）11种新花色。详情可以去门店咨询。
2,请问今年服务的客户数计划比去年增长多少？在旺季索菲亚是否面临着产能瓶颈？,2016年度的客户数比2015年度同期增长达到19%。公司目前的产能布局比较完善，现在外地子工厂的产能也没有完全释放，非公开增发的募投项目也正在建设，不会有产能瓶颈。目前的瓶颈主要是门店端的服务瓶颈。
3,能否去参加股东大会的时候同时有机会参观工厂呀？,感谢您对公司的关注。
4,怎么看欧派衣柜去年超二十亿销售额，照这个速度会不会撼动索菲亚的龙头地位？,定制家具上市企业已经有好几家了。未开可期待会是一个大板块。希望大家可以一同将蛋糕做大。
5,在IT建设方面，我们公司更多的是与自建还是与优秀的公司合作呢？印象中公司和甲骨文有合作？,公司已经组建了自己的IT部门。如果有比较成熟的IT平台，我们也会采购，降低开发成本。
6,是否无法推出全实木系列？是没有市场、或是其他原因？,市场和工艺的原因都有。目前公司的设备可以生产板式家具。若要推出全实木，设备需要相应调整，会增大资本性开支。
7,我个人还没有装修过一套房子。。。但是我觉得装修公司在某种程度上应该抢走的会是中低端客户偏多吧？中高端客户应该是会选牌子的？是这样吗？,"目前消费主力还是以60/70后为主。该部分人群因为消费力以及以往对成品家具的认识，还是倾向购买成品家具，或邀请木工打制家具，也愿意耗费更多的时间在装修环节上。
消费观念的升级需要比较长的时间，尤其是二、三线城市。"
8,您好，您是陈明的粉丝吧？公司的定制衣柜指的是什么？看好Sophia,定制衣柜是公司定制家具的其中一种空间解决方案。我们所说的定制家具是指自动化、规模化生产的个性化板式家具，也就是家具生产企业借助现代化信息技术及柔性化生产工艺，为消费者量身定制的满足消费者个性化需求的板式家具。
9,555，有事去了，请问能加个微信吗？我的手机号码是18358818686，微信号是charlesEchen，拜托了！,谢谢您的关注。
10,最经也在了解顺丰，也许我们公司在仓配一体化方面可以向其学习或与之合作呢。,谢谢你的建议。强大的供应链是公司品类拓展的基础。公司会重视的。感谢。
11,有些公司董事长会更偏向文化、方向、价值观的建立，总经理会更偏向具体事务的经营，我们公司也是这样吗？,是的。
12,索菲亚会扩产能吗？有计划在哪里建厂吗？,公司现已建立华南、华北、华东、西南、华中5大基地，产能布局分布全国东西南北中。2016年度月平均实际生产达到15万余单，年度平均产能利用率平均为80%。公司的非公开增发有两个募投项目是用于工厂生产效率的提升，未来几年使用募集资金投入6、7亿元。
13,我们现在对甲醛特别敏感。索菲亚未来有计划推出超低甲醛产品或者零甲醛产品吗？,目前店面的板材有E0刨花板以及零添加甲醛板（MDI胶板）。零添加甲醛板在2017年推出了11个花色，比上年花色增加了很多。消费者可选择余地大了比较多。
14,原先，潘姐您说实木受到原材料性能缺陷的原因，布点不够的话，在运输过程中可能发生爆裂，那未来什么时候布点会够呢？什么时候能开始做实木家具呢？,2016年度公司已经推出了三大实木系列产品系列（安纳西系列、卡尔卡松系列以及吉维尼系列）。上述系列产品是实木柜门结合实木颗粒板柜体的组合。
15,索菲亚也会像宜家那样，在门店销售其他成品家居用品吗？如果有，有没有相关的推广计划？,"在非定制类家具方面，从2015年开始，公司陆续推出了床、餐桌、书桌等实木类OEM产品，也与其他知名品牌合作，协同销售床垫、枕头、床上用品、茶几、沙发等产品。
索菲亚希望通过“一站式”的全屋家居服务，凭借着“索菲亚”的品牌实力，覆盖全国的服务体系和供应链，力求实现“为更多的家庭定制专业的全屋家具家品解决方案”的愿景。谢谢。"
16,最近广州也出了最新的房地产调控政策，请问这些房地产调控政策对索菲亚业绩的影响有多大？,目前来说，调控政策对公司的影响有限。一方面，从渠道网络布局方面，目前公司全屋定制专卖店全国进入约1200个城市，全国门店超过1900家。2016年度各级别门店分布数为省会城市门店数占比18%，地级城市门店数占比31%，四五线城市门店数占比51%。公司渠道布局比较广，受到的影响有限；另一方面，索菲亚2016年服务了约48.7万名客户。按照历史数据，每年的新房、二手房以及翻新房的装修需求约有1500万，由此测算我们的市占率约3%，市占率还有提升空间。谢谢您对公司的关注
17,要是我没记错，欧派橱柜的招股书里头应该没有提到过司米橱柜哦。如果最大的竞争对手是装修公司，难不成，公司的全屋定制方向在未来 也许会介入到装修设计？,"投资者，请您务必关注公司2016年度报告第三节“公司业务概要”。
公司主要从事全屋定制家具及配套家居产品的设计、生产及销售。依据中国证监会《上市公司行业分类指引》（2012年修订），公司属于家具制造业（C21）中的木制家具制造业（C211）中的集成创新行业——定制家具行业。
这里所指的定制家具是指自动化、规模化生产的个性化板式家具，也就是家具生产企业借助现代化信息技术及柔性化生产工艺，为消费者量身定制的满足消费者个性化需求的板式家具。
与传统的成品家具相比，定制家具因需要满足消费者的个性化需求，必须解决个性化产品大规模机械化生产的难题。随着现代信息技术的提升，部分家具生产厂商借助信息系统、自动加工系统等，将数字控制加工设备转变为能根据加工指令智能操作的自动化机械制造系统，实现了柔性化生产（Flexible Manufacturing System），解决了上述难题。
定制家具具有量身定做、个性化设计等特点，与成品家具、手工打制家具相比，具有明显的优势（请参见2016年度年报第13页表格）。刚刚我们提及最大的竞争对手是装修公司。目前手工打制家具一般都由装修公司向消费者提供。
在装修环节上，若消费者需要处理水、电等硬装，他需要联系装修公司处理。从接触消费者的时点上，装修公司比定制家具品牌商要早，可以抢占一部分客户资源。
"
18,个人比较来比较去，最后还是选了索菲亚呢，那潘姐您觉得索菲亚未来最大的竞争对手会是谁呢？,主要的竞争对手是装修公司。谢谢您对公司的支持。
19,其实我很想问问欧派橱柜在橱柜方面和我们的橱柜在未来的情况，还有尚品宅配的全屋定制，能否给出一个不那么官方的答复呢？,欧派橱柜、尚品均已经上市并披露了招股说明书。投资者您可以阅读上述公开资料进行投资决策。感谢您对公司的关注。
20,关于店中vr的体验，个人觉得蛮糟糕的，虽然用了oculus的头显，您们怎么看呢？,谢谢您提出的建议。我们会转达给店面电子化项目组参考。感谢。
21,亲，在下的提问是未来三到五年的开店计划哦~,请继续关注公司后续的公告。开店计划每年均会在定期报告披露的。谢谢您的关注。
22,关于橱柜业务，是否会附带厨房电器一同销售？,感谢您的关注。公司旗下的司米橱柜品牌有跟西门子厨电合作。消费者在门店终端可以实现司米橱柜西门子厨房电子的一站式采购。感谢您的关注。
23,董事长和总经理各自主要的工作是什么？,公司董事会以及经营管理层按照公司法赋予其的权利和义务进行履职。感谢您的关注。
24,请问公司有无通过发行公司债券等形式进行募资的计划？有无设立并购基金收购标的的计划？,谢谢关注
25,预计未来3-5年还会开多少家门店？,公司开店都比较稳定。2017年度的开店计划，索菲亚定制家具是200~300家，司米橱柜是200~300家。
