,Question,Answer
0,自从微博出现后，对于舆情的关注和扩散在一定程度上都有所放大，关于舆情的监控，公司有些什么样的手段？而在应对负面舆情的时候，又有什么样的应急措施？,您好，公司定期有专职人员搜集舆情信息，建立舆情收集、整理、防控工作体系，及时汇报处理，如有异常情况将合法合规处理并通过法定媒体澄清或公告。感谢关注。
1,公司现有产品最近价格是否稳定，最近公司产品出货量怎样？上游的企业是否大量备货？,您好，谢谢关注！在新消费、新用户、新渠道和新模式等要素的驱动下，文化娱乐行业将迎来新一轮的创新升级。
2,你好，请问贵司目前产品的销售趋势如何？今年的销售目标是多少？公司有没有一个具体可行的持续增长计划？,"您好，谢谢关注！2016年，公司实现营业收入257,486.40万元，比上年同期增加36.61%；利润总额为39,024.17万元，较上年同期增长 41.33%；归属于母公司所有者净利润为37,845.78万元，较上年同期增长41.80%。 公司发展战略稳步推进，公司坚持精品内容的发展战略，不断深化影视、综艺、体育之间的横向协同，内容、 媒体、客户之间的纵向协同，基本建立起了以传媒娱乐内容为核心，多板块协同发展的战略布局。 "
3,"国家要求实行经济节约型政策,公司具体是怎么做的?",您好，感谢您的关注！公司将通过一如既往、兢兢业业的经营，努力为投资者创造中长期收益。 
4,公司及管理层是否鼓励员工长期持股？会不会任由员工和大小非减持？,您好，谢谢关注！公司经营团队的核心刘德宏、胡刚均是公司核心股东，有着良好的战略视野和丰厚的业内资源。稳定的管理团队是公司长期发展的基石。
5,做大、做好市值管理是每个公司成长的必然追求，公司是如何进行市值管理的？,您好，感谢您的关注！公司将通过一如既往、兢兢业业的经营，努力为投资者创造中长期收益。 
6,请问孙总，今年全年体育板块营收占比会有明显变化吗？,您好，2017年公司体育业务板块继续秉持体育+娱乐的经营理念，充分发挥资源整合优势，继续围绕体育营销、体育IP与媒体运营进行深耕，并在体育内容创新领域积极布局。关于体育业务板块的业绩情况还请关注公司在法定信披媒体上发布的相关公告。感谢您的关注。
7,在企业文化方面，公司有什么特色吗？,您好，感谢您的关注！公司秉持以创新求突破、以真诚建团队、树责任肯担当、善合作谋共赢的企业文化。公司文化理念体现在公司经营、客户维护、业务拓展的过程中，并在这种文化背景下公司开展员工招聘、员工培训以及团队建设工作。
8,若存货中2016拍摄的《来吧，兄弟》，将减值处理吗？将做怎样的减值处理？,您好，感谢您的关注！《来吧兄弟（第一季）》预计于2017年三季度在江苏卫视首播。 
9,请问：公司产品的技术含量如何？专利多吗？行业垄断地位如何？ 那些项目能给公司带来利润增长点？预计是否能保持3年的增长？,您好，公司的主要业务包括影视、综艺、体育、营销等，亦是公司经营业绩的主要来源，主要的产品是电视剧作品及综艺栏目，其相关知识产权主要为影视、综艺作品版权。关于公司各业务板块（产品）对公司业绩的贡献程度详见公司在法定信披媒体上发布的年度报告。感谢关注。
10,2017年三季度在江苏卫视首播《来吧，兄弟》是2017年5月拍的还是2016年拍的版本呢？,您好，感谢您的关注！《来吧，兄弟》第一季将于近期开机。
11,今年人工费用是否还会出现阶段性上涨？,您好，公司人工费用将与公司整体业务经营规模相匹配。感谢您的关注。
12,2017年三季度在江苏卫视首播《来吧，兄弟》是2017年5月拍的还是2016年拍的版本呢？,您好，感谢您的关注！来吧兄弟（第一季）将于近期开机。	
13,公司现阶段发展过程中有何不足？面临的最大挑战是什么？如果新客户在磨合期放弃与公司合作，公司有无应对措施？,您好，感谢您的关注！公司主要从事影视、综艺、体育等业务，这些领域均属于充分竞争、推陈出新速度较快的细分行业，受行业监管政策影响较大，且应收账款和存货余额较高。利用行业变革契机，创新经营模式，有效挖掘产业链横向、纵向价值，增加抗风险能力。客户方面，在商业客户内容营销需求不断提升的驱动下，优质且充足的客户资源将为公司传媒娱乐板块内容制作业务的变现提供强大支撑。
14,刘总，你好，今年影视剧有类似《人民的名义》剧的计划吗？,您好，感谢您的关注！《深夜食堂》、《丽姬传》作为公司影视剧向年轻化网络化转型的标杆剧目，得到市场的一致认可。都市情感剧《深夜食堂》改编自日漫超级IP，由蔡岳勋导演、黄磊主演，自拍摄期就引起多方热议，并将于2017年6月份在北京卫视、浙江卫视、爱奇艺等平台播出；古装武侠剧《丽姬传》改编自作家温世仁的著作《秦时明月前传》，由由刘新执导，迪丽热巴、张彬彬等主演，并将于2017年8月份登陆浙江卫视、优酷等平台。
15,刘总，你好，今年影视剧有类似《人民的权利》剧的计划吗？,您好，感谢您的关注！《深夜食堂》、《丽姬传》作为公司影视剧向年轻化网络化转型的标杆剧目，得到市场的一致认可。都市情感剧《深夜食堂》改编自日漫超级IP，由蔡岳勋导演、黄磊主演，自拍摄期就引起多方热议，并将于2017年6月份在北京卫视、浙江卫视、爱奇艺等平台播出；古装武侠剧《丽姬传》改编自作家温世仁的著作《秦时明月前传》，由由刘新执导，迪丽热巴、张彬彬等主演，并将于2017年8月份登陆浙江卫视、优酷等平台。
