,Question,Answer
0,请问：公司产品的技术含量如何？专利多吗？行业垄断地位如何？ 那些项目能给公司带来利润增长点？预计是否能保持3年的增长？,您好！公司产品研发皆基于丰富的经验积累，有较高的技术含量，并有一定量的专利储备，研发子公司有获得双软认证。在泛娱乐行业，我们处于领先地位。《三国志2017》、《龙珠Z》、《龙符》、《锦绣未央》、《银之守墓人》、《从前有座灵剑山》、《玄界之门》等项目将会成为公司利润增长点。随着未来更多新项目上线，预计持续保持增长。
1,在给用户提供增值服务方面，公司做了哪些工作以增强对原有客户的锁定、新客户的拓展？,您好！我们致力于打造精品IP产品，目前正在努力尝试将游戏、影视、动漫三个方向的粉丝用户横向打通，以粉丝经济为精品IP带来更大的产出效应，以此进一步提高IP知名度，扩大关注度，形成聚合效应。
2,公司未来3年发展前景如何?,您好！公司2016年基本完成从网文、动漫、影视到手游的泛娱乐闭环布局，从2017年开始，公司的网剧、动画电影将逐步上线，进一步丰富其泛娱乐产品布局；在海外市场方面，公司将启动全球战略布局，依靠领先的游戏研发能力以及本地化能力，通过与优秀海外发行商合作，拓展海外业务，新增海外市场收益，前景看好，我非常有信心。
3,"同行业内有哪些主要竞争对手？公司采取了什么样的应对措施,在保持稳定增长的前提下不断做大做强?",同行业内有较强研发能力的游戏开发商均属于公司的竞争对手。公司将在IP、动漫、影视、游戏各个环节进行布局，加强泛娱乐全产业链运作；发挥子公司间研发能力的协同效应，开发优质游戏；加强行业优秀人才的储备等方式保持稳定发展
4,在企业文化方面，公司有什么特色吗？,您好。公司追求的是高专业、高品质，高服务，竞争、创新、发展，努力回报广大股东的文化理念和特色。谢谢！
5,行业有没有周期性？,您好！我们是一家泛娱乐全产业链上布局的企业，针对同一IP可以在一定的时期内根据用户趋向做不仅限于游戏、电影、电视剧、动漫、周边等多品类产品的推送，这种推送可以是同一时段的，也可以是长期迭代的。谢谢！
6,请问公司公司的核心竞争力是什么？,您好！凯撒文化是一家以精品IP为核心的泛娱乐一体化运营商，我们的全产业链布局、优质IP储备量都是支撑我们不断前进的有效保障。谢谢！
7,公司是否考虑过更改分红方案后股东的损失,您好！公司更改分红方案，是为强化上市公司责任意识，更进一步积极响应市场理念和导向。谢谢！
8,"公司采取了具体怎样的应对措施,在同业中不断做大做强?",你好：针对目前互联网娱乐行业趋势，我司采取顶级IP的一体化运营开发，并以精品IP+优质研发的路线研发精品手游产品为核心竞争力。谢谢！
9,你好，请问贵司目前产品的销售趋势如何？今年的销售目标是多少？公司有没有一个具体可行的持续增长计划？,您好，本公司的销售趋势，从一季度的情况分析，无论从收入，还是归属母公司的净利润情况，较去年同期均有较大幅度的增长；同样，2017年度的销售目标，会同样较2016年度有可预期的幅度较为乐观的增长。至于公司具体可行的增长目标，涉及公司的商业机密和战略布局，在此不好说明，请谅解。谢谢您的提问。
10,做大、做好市值管理是每个公司成长的必然追求，公司是如何进行市值管理的？,你好，将公司做强做大是公司和股东共同的目标，公司也将会合理利用上市平台，扩充公司业务，以回报广大股东。谢谢。
11,公司生产经营的季节性如何?哪个季节是旺季?,你好，我司已完成产业转型，现主营业务为互联网行业，现主营业务季节性并不明显。谢谢！
12,希望公司在本专业领域专注于做强做大做实，提升公司的行业地位，给投资者以回报！,您好！首先感谢您的建议！公司自2014年确立转型泛娱乐领域以来，三年内完成三次并购，迅速切入泛娱乐领域，且公司在去年完成了传统服装业务的授权经营，公司一些列的动作都彰显公司希望在泛娱乐行业做强做大做实的决心，以回馈广大投资者。
13,请问公司目前的研发机构有哪些？公司未来产品的研发与创新将如何进行？,"
您好！我们的研发机构除了全资子公司酷牛和天上友嘉外，经过过往一年时间的遴选，已挑选出十余家具备相当研发能力的公司作为我们的战略合作伙伴。
在产品研发创新方面，我们将围绕IP泛娱乐布局，持续获取顶级动漫、网文、影视IP，然后精耕各细分市场，如儿童市场、女性市场、枪战射击市场、重度游戏用户市场。
谢谢！"
14,公司在税收方面有没有相关的优惠政策？具体税率是多少？,公司按照规定享受税收优惠政策，目前，按照国家规定，根据不同行业分别享受零税率、12.5%和15%的优惠。谢谢。
15,"请问董事长,关于公司最新项目进展如何？达到预期了吗？",你好，今年公司项目基本都按计划在进行。比如《玄界之门》的ip开发计划，今年按计划持续会推出漫画上线连载、启动手游产品研发、立项影视连续剧等。谢谢！
16,请问公司会进入新的细分领域吗？这一领域与公司现有业务的相关性？,你好：目前公司以精品IP为核心进行泛娱乐的开发，涉及动漫、影视、游戏、IP运营等领域，业务板块都有业务联动。谢谢！
17,请问公司的分配预案达到承诺的分红比例吗？,您好！2016年的分红都达到了公司承诺比例，且超过监管层的分红要求。谢谢！
