,Question,Answer
0,公司一季度归属于母公司所有者的净利润为2623.33万元，较上年同期增39.10%，如何看待这一数据？,您好，公司一季度各项业务发展稳定，具体详见公司一季度报告全文，谢谢。
1,"公司预计2018年1-6月归属于上市公司股东的净利润5,000-6,800万元,同比增长32.57%-80.29%，请详细解释一下上述数据？",您好，上述是公司根据业务情况对2018年半年度的业绩预测，不构成公司对投资者的实质性承诺。是否能够实现，受市场环境、政策因素及公司业务开展实际情况影响较大，存在不确定性。
2,版权业务是公司发展的核心业务，公司在版权服务领域建立哪些优势？,"您好，感谢关注安妮股份。版权业务是公司发展的核心业务，公司在版权服务领域已建立了技术及资源优势、综合平台优势、内容和渠道优势。
"
3,公司在行业中的地位是怎么样的？盈利水平与同行相比怎么样？,您好，感谢关注安妮股份。公司是国内数字版权服务专业服务商。公司致力打造中国版权服务领导企业，聚焦版权人，从版权保护到版权交易、版权运营，为版权人提供一站式的版权服务。公司依托DCI数字版权技术为基础，并加载大数据、区块链技术及人工智能技术，建立涵盖版权确权、版权交易、盗版维权、IP孵化和IP增值等版权全产业链服务体系。
4,公司近期有啥新产品推出？,您好，感谢关注安妮股份，公司不断优化更新“版权家”平台，“版权家”平台已成为可为版权人提供版权登记、版权存证、版权授权、版权监测等一系列服务的综合平台。 公司为不同的版权人搭建不同的版权服务平台，“就爱就玩”服务于游戏客户，“华云音乐”服务于音客户，“稿稿”平台为新媒体原创人提供原创作品的交易平台，版权领域的百度“版权百科”，致力为客户扎寻求版权的合法授权交易提供快捷、安全平台。 
5,公司一季度经营情况怎么样？,您好，公司一季度各项业务发展稳定，具体详见公司2018年度一季度报告，谢谢
6,在同行业中，公司与上下游的渠道关系怎样？,您好，感谢关注安妮股份，公司与电信运营商、互联网平台、内容生产企业之间保持了良好的合作关系，公司为合作伙伴提供版权审核、版权登记、盗版维权、内容分发、版权孵化等服务，而这些合作平台同时也是公司版权内容交易服务的重要渠道。
7,公司积极推进智能AI技术、区块链技术在版权领域的应用研究，请详细介绍下具体进展？,"您好，抱歉全景网出故障不能及时回复问题。感谢您关注安妮股份。公司将AI智能技术、区块链技术已经应用于具体的产品，您可以持续关注公司旗下“版权家“、“稿稿”、“版权百科”等产品，这些产品是国内首批将AI智能、区块链技术在版权领域落地应用的产品，未来公司将持续创新、不断迭代。同时在版权领域扩展更多的产品应用。
"
8,供给侧改革背景下，公司生产和经营发生哪些变化？,您好，感谢关注安妮股份，公司将抓住有利的战略机遇期，全面聚焦版权服务的核心业务，通过打造平台、技术等核心能力，推动业务高速增长，同时后续将持续建设，加强区块链建设推进“创作即确权”“使用即授权”“发现即维权”的版权综合服务。
9,请介绍下今年计划开发的新项目？,您好，感谢关注安妮股份，公司不断优化更新“版权家”平台，“版权家”平台已成为可为版权人提供版权登记、版权存证、版权授权、版权监测等一系列服务的综合平台。 公司为不同的版权人搭建不同的版权服务平台，“就爱就玩”服务于游戏客户，“华云音乐”服务于音客户，“稿稿”平台为新媒体原创人提供原创作品的交易平台，版权领域的百度“版权百科”，致力为客户扎寻求版权的合法授权交易提供快捷、安全平台。 
10,请问公司在市场方面的开拓有什么计划？,您好，感谢关注安妮股份，版权业务方面，公司将持续投入版权服务基础建设，形成版权保护、运营及交易的协同效应，构建版权大数据平台，同时加强技术研发能力，优化产品体验、驱动业务增长，并积极拓展合作渠道，储备优质版权内容；互联网营销方面，公司将进一步加快产品升级速度，提升内容创作能力和内容展现方式，聚合优质原创内容，吸引用户；商务信息用纸方面，公司将继续保持产品优势及生产优势，为客户提供优质服务。
11,公司今年有无开发新业务的计划？,您好，感谢关注安妮股份，公司不断优化更新“版权家”平台，“版权家”平台已成为可为版权人提供版权登记、版权存证、版权授权、版权监测等一系列服务的综合平台。 公司为不同的版权人搭建不同的版权服务平台，“就爱就玩”服务于游戏客户，“华云音乐”服务于音客户，“稿稿”平台为新媒体原创人提供原创作品的交易平台，版权领域的百度“版权百科”，致力为客户扎寻求版权的合法授权交易提供快捷、安全平台。
12,公司持有的股份是否进行质押、私下转让、存在股权纠纷或潜在纠纷等其他有争议的情况？,您好！感谢您关注安妮股份。张杰先生，林旭曦女士及杨超先生均质押了部分公司股票，具体见公司公告，其质押设立风险预警线和平仓线。若因股价下跌，达到履约保障预警线或最低线时，都将采取追加保证金、提前回购等方式，避免触及平仓线而引发平仓风险。其余没有潜在风险。谢谢！
13,请详细介绍公司的业务体系？,您好，感谢关注安妮股份。公司业务体系核心分为2个版块：版权服务业务、商务信息用纸业务、数字营销业务。其中版权服务业务：版权保护服务、版权交易服务、版权增值服务。
14,公司产品出口比例多少？主要有哪些海外市场？,您好，公司目前产品未出口海外市场，谢谢。
15,公司近期在产品及业务结构优化方面作出了哪些努力？,"您好，感谢您关注安妮股份。公司投资设立了北京版全家科技发展有限公司及北京安妮全版权科技发展有限公司，推进版权大数据平台的建设。公司持续推进DCI体系的先发优势，上线“版权家”平台，""版权家""平台成为中国版权保护中心DCI体系首批示范应用平台，为版权人提供专业、安全、快捷的数字作品版权登记接入服务通道；公司不断优化更新“版权家”平台，“版权家”平台已成为可为版权人提供版权登记、版权存证、版权授权、版权监测等一系列服务的综合平台。截止2017年年末，“版权家”平台累计为专业版权人提供百万次的版权服务，同时基于区块链技术的版权家数字版权服务平台也为海量数字版权解决了随时随地快速存证问题。
    公司为不同的版权人搭建不同的版权服务平台，“就爱就玩”服务于游戏客户，“华云音乐”服务于音客户，“稿稿”平台为新媒体原创人提供原创作品的交易平台，版权领域的百度“版权百科”，致力为客户扎寻求版权的合法授权交易提供快捷、安全平台。
"
16,请介绍一下公司目前的技术研发团队？,您好，感谢您关注安妮股份。公司技术研发团队规模近200人，建有北京研发中心、成都研发中心、厦门研发中心。
17,公司今年研发投入金额预计将达到多少，是否有新的研发产品或技术？,您好，感谢您关注安妮股份。公司2018年会持续在区块链、大数据、云计算、AI智能等技术运用于版权服务上持续投入。
18,未来市场空间是否会持续增长？,"您好，感谢关注安妮股份。2017年整个文化产业飞速发展，文化产业再次实现腾飞。营业收入实现91950亿元，比上年增长10.8%，增速提高3.3个百分点，继续保持较快增长。
国家版权局网络版权产业研究基地发布了《中国网络版权产业发展报告（2018）》。报告显示，2017年中国网络版权产业的市场规模达6365亿元，相较2016年增长27.2%。其中，网络版权产业用户付费规模达3184亿，占比规模突破50%。 
2017年国内生产总值(GDP)等重磅经济数据。初步核算，2017年全年国内生产总值827122亿元，按可比价格计算，比上年增长6.9%。显而易见，文化产业的发展已经高于GDP的发展。2017年中国网络版权产值突破6000亿元。我国网络版权产业继续保持快速增长趋势。
目前，文化产业已经进入了黄金发展期；文化发展已经成为了现阶段发展的重中之重。文化创作也已经进入了空前繁荣的阶段。那么，随之而来的就是伴随文化发展的版权保护的需求。文化发展的这个趋势必然会让更多的人有了版权保护的意识。
"
19,公司有哪些技术上的优势？,您好！感谢您关注安妮股份。公司的核心技术优势：区块链技术、AI智能、大数据、云计算。
