,Question,Answer
0,你如何看待同行业其他公司的经营情况？在同行业竞争中，公司排名第几？你认为公司业绩增长的主要优势或障碍在哪里？,您好，公司多元化发展，业务范围较广，各行业竞争对手也不同，没有具体排名。公司的主要优势请查阅《2016年年度报告》相关内容，感谢您的关注！
1,"同行业内有哪些主要竞争对手？公司采取了什么样的应对措施,在保持稳定增长的前提下不断做大做强?",您好！公司多元化发展，业务范围较广，各行业竞争对手也不同。母公司主要从事提供客户数控钣金结构件解决方案，公司拥有一支强大的研发设计团队和先进的加工检测设备，稳定的管理和专业技术团队，专注于设计开发、生产制造精密钣金结构件产品，并提供技术支持、性能测试、成套装配、售后维护等全方位服务。在行业内确立了专业领先的品牌形象，具有稳固的竞争优势。公司利用钣金制造优势，引进了太阳能湿法设备的核心工程和生产团队，组建了自动化设备部，专注于研发制造用于光伏产业的湿化学设备制造。公司还向节能环保产业链方面，不断提升公司的盈利能力。谢谢关注！
2,公司现阶段发展过程中有何不足？面临的最大挑战是什么？如果新客户在磨合期放弃与公司合作，公司有无应对措施？,您好，随着近年来公司通过收购导致公司规模的进一步扩大以及子公司数目的逐步增加，公司日常管理工作难度趋增，同时监管部门对上市公司的规范要求也日益提高和深化，公司不仅需要在原有基础上进一步加强管理，同时更要关注新增业务以及新增子公司能否在合规的基础上良好融入公司体系，从而实现整体健康、有序地发展。公司在客户开拓方面，提供针对性的设计、研发新品服务，提高产品附加值。感谢您对公司的关注！
3,在给用户提供增值服务方面，公司做了哪些工作以增强对原有客户的锁定、新客户的拓展？,您好！公司拥有强大的技术研发团队，根据客户需求，提供专业的设计方案、技术支持、性能测试、成套装配、售后维护等全方位服务。公司和主要客户之间建立了长期稳定的战略合作伙伴关系。谢谢关注！
4,贵公司员工一个月能挣多少？,您好，公司制定了《薪酬管理办法》，员工的薪酬标准主要按其在公司所任岗位和职务核定，感谢您对公司的关注！
5,请问公司在财务结构上有什么不足，打算采取哪些举措。,您好！公司目前财务结构稳健。谢谢！
6,虽然说公司的股价由二级市场决定，但股价是公司经营的一个表象，请问管理层对回报投资者持有怎样的态度？,您好，公司将积极落实发展战略，加强经营管理，控制经营风险，努力提高经营业绩，回报投资者。感谢您对公司的关注！
7,今年人工费用是否还会出现阶段性上涨？,您好！从公司目前经营状况看，今年人工费用会略有增长，但不会出现阶段性上涨。谢谢！
8,"公司采取了具体怎样的应对措施,在同业中不断做大做强?",您好！母公司主要从事提供客户数控钣金结构件解决方案，公司拥有一支强大的研发设计团队和先进的加工检测设备，稳定的管理和专业技术团队，专注于设计开发、生产制造精密钣金结构件产品，并提供技术支持、性能测试、成套装配、售后维护等全方位服务。在行业内确立了专业领先的品牌形象，具有稳固的竞争优势。公司利用钣金制造优势，引进了太阳能湿法设备的核心工程和生产团队，组建了自动化设备部，专注于研发制造用于光伏产业的湿化学设备制造。公司还向节能环保产业链方面，不断提升公司的盈利能力。谢谢关注！
9,公司募集资金投向项目进展如何，是否顺利?预计多久可以收回投资?,您好！请关注我们已披露的《2016年度募集资金存放与使用情况专项报告》。谢谢！
