,Question,Answer
0,2017年公司终止购买关联方持有的纺织服装企业，请问今年还会继续谋求对这家企业的收购吗？,您好！非常感谢您对公司的关注，如公司继续收购该资产，将会严格履行信息披露制度，及时披露相关信息。谢谢！
1,金鹰基金减持完毕了吗？,您好！截止2017年底，金鹰基金持有公司7.01%股权，对于5%以上的股东，减持都要发预披露公告及减持完成的公告。谢谢！
2,预计今年公司整体电商收入是多少？,您好！公司定期报告将会披露详细的财务数据，如想了解财务指标，请关注公司定期报告。谢谢！
3,公司原材料价格走势如何？对公司业绩是否有所影响？,您好：公司主要原材料为羊毛，羊毛价格随着澳洲市场拍卖价格的变化而变化。而公司产品对外定价也依据羊毛价格来定。总体对公司影响不大。
4,公司有没有计划扩大经营范围？,您好！截止目前公司无此计划。谢谢！
5,公司有哪些创新发展领域？如何推进多元化经营？,您好！公司一直专注纺织服装主业发展，始终坚持走科技创新之路，建立了完整的技术创新体系，是国家级高新技术企业，拥有首批国家级技术研发中心、毛纺行业国家级新产品开发基地、院士工作站、博士后工作站等科研基地。2016年非公开发行股票收购下游服装资产，公司积极发挥上游纺织原料和下游服装生产的协同效应，提升公司可持续发展能力。
6,预计第二季度公司经营业绩情况如何？,您好：公司1季度对外披露的报告将会预计，烦请关注1季度对外公告。谢谢！
7,公司的上游采购商，是以国内厂商为主还是国外厂商为主？,您好：公司主要原料（羊毛）为进口，其他原材料为国内采购。
8,目前产能利用率如何？是否满产满销？,您好：公司营销策略是以销定产，根据客户所需产品的需求，产能发挥最大效率满足客户交期。
9,公司对于未来行业有什么看法？,2018年是全面贯彻落实党的十九大精神的开局之年，纺织工业也跟国家设定的目标和途径一样，正由高速增长阶段向高质量发展阶段转变，整个行业经济发展将持续升温。谢谢！
10,公司对于目前的股价是否感到合理？,您好！二级市场股价除受公司基本面影响外，还受各种经济、政策因素，行业性质，投资心理和交易技术等的影响。相信广大投资者会对公司的估值水平进行理性判断。谢谢！
11,如意科技集团海外并购LYCRA 的融资计划怎样? 除了LYCRA 发高息债外有那些机构融资这次收购？,您好！公司对于关联方如意科技集团海外并购融资问题尚不清楚，后续可安排人员向如意科技集团作进一步了解。谢谢！
12,预计法国SMCP集团年营收是多少？,您好！法国SMCP集团已在巴黎泛欧交易所上市，您可查阅相关公告。谢谢！
13,酒店及楼市的不景气，会不会影响到公司的销量？,2017年，我国毛纺行业保持了稳中向好的发展态势，总体呈现“稳中向好、质效领跑”的特征。2017年度，公司经营业绩大幅提升，就目前来看，您所说的因素不会影响到公司产品的销量。
14,公司近期有没有融资的打算？以何种方式实现融资？,你好：公司近期没有融资的打算。
15,2018年公司将实施怎样的市场销售策略？,2018年，公司将继续坚定不移地坚持大客户、大项目战略，以全球化视野，整合资源，以企业实力为依托，调动资源，开辟大客户生产专线，实行“一对一”服务，提供快速交付和增值服务，为大客户提供全流程服务。扩大企业市场影响力和号召力。
16,公司最近有没有大的收购动作？,您好！公司如有相关收购动作，将会按照信息披露规则进行披露。谢谢！
17,目前公司在海外并购项目有哪些？进展情况如何？,您好！截止目前公司尚未有海外并购项目。近年来，公司大股东如意科技集团及关联方如意投资控股集团实施了一系列海外并购项目。谢谢！
