,Question,Answer
0,公司现在股价是否已经低估了？大股东有没有打算释放部分股权转让给马云，然后大家一起来做？蚂蚁金服下面的支付宝在c端厉害着，你们应该考虑和蚂蚁金服合作，希望徐总能听进去,谢谢您对公司的关注！
1,你们的回答怎么很多都是三大要素啊？,您好，谢谢您的关注！
2,公司区块链技术提现在哪些方面？目前公司区块链技术在中国处于什么阶段,您好，目前公司的区块链开发主要是使用了IBM的联盟链，并完成了登记平台的开发。在应用方面开发团队需要在熟悉各项业务的基础上开展，目前主要是在易货嘀的冷链运输和新安化工采购等业务上有所应用，所有的资产、设备包括车辆等信息都可以在平台上登记，涉及业务的上下游和供应商、货主都可以看得到。后续的开发和在其他业务的应用，团队都在积极推进中。感谢您的关注。
3,公司的产能利用率怎么样？,您好，公司2016年度产能利用率为67.06%，如需了解公司化工业务有产能利用率数据，请后续关注公司债券跟踪评级报告披露数据，谢谢！
4,公司预计今年的研发投入会达到什么水平？,您好，公司近两年的研发投入均保持50%左右的增长，公司将保持持续性的的研发投入，以推进公司业务发展。
5,公司今年有无开发新产品或新技术的计划？,您好，敬请您更多关注公司新品发布会。4月24日，“服务产业·普惠金融”2018传化金融服务创新合作伙伴峰会在杭州举办。会议上，传化金融推出了“仓配运+支付+金融”一体化供应链金融系统解决方案。同时，传化金融与中国银联强强联手，联合对外发布了行业首款为物流企业定制的账户托管服务产品——“物流钱包”。 作为智能代收付产品的2.0版，物流钱包将向发货方和收货方两端延伸的，打通资金流、信息流、物流，实现三流合一，实现了发货人、物流企业和收货人的高效连接，让发货更简单，让财务管理更轻松，让付款更安全、更便捷，这款产品将赋能物流企业，有力提升客户服务体验。谢谢！
6,公司股票价格很死，不知道徐总感觉到了吗？,感谢您的关注，我个人也比较关注公司二级市场表现。
7,技术驱动数据公司能成吗？,能成！谢谢！
8,强烈要求公司回购股票？股票真的太差了,感谢您的建议，欢迎您来公司调研，实地了解公司情况。
9,请问徐总，您很早就提出了“命运共同体”的概念，传化在股权激励、合伙人机制方面有哪些尝试和做法？,您好，公司从2015年以来已推出二期期权激励计划，具体内容可详见巨潮咨询网站，谢谢关注。
