,Question,Answer
0,请问公司收购康铭盛剩余股权后，李迪初团队拟向公司承诺康铭盛 2018年度、2019年度、2020年度实现的净利润分别不低于人民币1.25亿元、1.40亿元、1.55 亿元。按如此计算，请问长方母公司是否2018年利润1.25亿保底？还是康铭盛1.25亿利润，也不够长方母公司弥补亏,"您好，感谢您的关注！
    请关注相关业绩公告。"
1,您好，李总。2018年公司的主要经营指标是什么？,"您好，感谢您的关注！
    公司主要经营指标是：营业收入、净利润、经营性现金流、每股收益、净资产收益率等。"
2,公司教育产业后市方向如何？,"您好，感谢您的关注！
    公司正在积极寻找优质的教育标的，以寻求标的落地。进展情况请关注公司后续公告。"
3,LED产能持续过剩，这是否会对公司2018年业绩产生负面影响？,"您好，感谢您的关注！
    公司目前产销基本平衡。"
4,"017年8月22日，长方集团与北京环球艺盟国际教育咨询股份有限公司签订了《合作框架协议》。公司拟向环球艺盟战略投资，拟投资金额为人民币10,000万元。请问进展如何？","您好，感谢您的关注！
    公司一直与环球艺盟就合作事宜进行沟通，相关进展公司将及时进行披露，详情请查看公司后续公告。"
5,请问公司的主要合作客户分布在哪些行业？能否举例几家合作商？,"您好，感谢您的关注！
    公司主要合作客户有贸易商、经销商、商超等。如人人乐、华润、沃尔玛等等。"
6,公司2018的业绩目标是怎样的？,"您好，感谢您的关注！
    公司对2018年业绩已做规划，业绩目标完成请关注后续公司公告。"
7,您好，张总。2017年公司存货减值6000多万元，主要是什么产品造成的，公司准备采取什么措施应对？,"您好，感谢您的关注！
    存货减值主要是光源产品，业务部门将提升产品品质，主要靠严控来料品质和改进制造工艺。"
8,公司产品的市场占有率情况如何？ 同行业内最有竞争力的对手是哪些？,"您好，感谢您的关注！
    公司产品市场占有率国内10%，国外1%。同行业内最有竞争力的对手为：木林森、雅阁、玖量。"
9,去年公司高层大变动的原因有哪些？,"您好，感谢您的关注！
    首先因个人原因，其次公司为更好的发展，打造一支强有力的管理团队，适当的进行人才更替。"
10,公司是否有区块链方面的应用？,"您好，感谢您的关注！
    公司没有区块链方面的应用。"
11,您好，李总。请问公司在LED市场的地位？,"您好，感谢您的关注！
    成为全球LED离网照明领导者。"
12,您好，张总。长方教育2017年销售额只有67.6万元，亏损448万元。请问有什么盈利计划吗？,"您好，感谢您的关注！
    公司将持续关注教育产业；积极寻找优质标的。"
13,公司有计划多元化发展吗？,"您好，感谢您的关注！
    公司目前没有计划多元化发展。"
14,并购贝壳金宝幼儿园事项进展怎么样了？,"您好，感谢您的关注！
    2017年5月公司长方易德与北京蝉鸣签订了《股权转让协议》，长方易德与北京蝉鸣经协商后一致同意 ，北京蝉鸣在原投资协议约定的价格基础上溢价人民币700万元（即总价格人民币6,700万元）购买长方易德持有的贝壳金宝34%的股权，长方易德愿意以该价格向北京蝉鸣转让该股权。 具体内容请查看公司公告。"
15,公司今年有哪些LED应用新产品研发、生产和销售？,"您好，感谢您的关注！
    公司LED应用新产品研发有200款左右，生产和销售达30%以上。"
