,Question,Answer
0,目前公司业绩受哪方面影响较大？,您好！国家进入高质量发展阶段，为服装行业消费升级提供了新机遇，“运动＋休闲”服饰的细分市场开始得到热捧。目前公司发展态势良好，正处于高速增长阶段，业绩持续稳定增长。感谢关注！
1,公司近期是否有签订重大项目？,您好！公司近期没有签订重大项目。如有，公司将按规定进行披露。感谢您的关注！
2,请问申总：公司是否了解在国内的主要竞争对手？相比于竞争对手，公司有何优势？,您好，公司目前在终端门店数量方面已超过高尔夫服饰领域的竞争对手，我们会继续坚持“三高一新”的品牌发展理念，做大做强我们的品牌，以优秀的业绩回报广大股民，谢谢您的提问，请继续关注我们的发展。
3,预计今年公司新开门店数量是多少？,您好！今年会按照渠道资源的优化配置有选择性的开拓市场，新增一些优质店铺，具体数量请关注定期报告，感谢您对我们品牌的关注！
4,公司对员工有股权激励政策？,您好，公司暂未实施股权激励计划，感谢您的关注。
5,公司今年有运用哪些新技术、新工艺和高科技面料？成本是多少？,公司自成立以来始终坚持高品质、高品位、高科技和创新精神，新的工艺和面料主要包括纳米纤维零束缚无缝提臀休闲裤的设计、吸湿速干高尔夫运动衣的研发以及新型调温纤维针织面料的研发与应用等十二项，公司在款式和版型方面坚持不断创新，满足消费者不同的穿着体验，并得到市场的充分认可。
6,最近有无机构到公司调研？,您好！公司若有调研，将会按照深交所规定及时披露在互动平台上，谢谢！
7,公司预计全年线上销售收入占比是多少？,您好，公司销售收入主要来源于线下，线上销售收入占比较低。预计2018年全年线上销售收入占比1%左右。谢谢关注！
8,董事长先生：本人是比音勒芬的投资者，也是全家忠实的消费者，但身着衣服有80%以上人，不认识此品牌，请问公司在视频、网络媒体上品牌营销有何举措？,您好！非常感谢您对比音勒芬品牌的认可和关注。公司续签国家高尔夫球队，成功植入热播大剧《恋爱先生》，签约影视明星杨烁作为代言人、江一燕作为品牌挚友，全面提升公司品牌影响力。未来，公司将在品牌推广方面进一步加大投入力度，全面提升品牌的知名度和美誉度。
9,请问董事长，2018年还有员工增持计划吗？,您好！公司于2017年8月18日召开第二届董事会第十八次会议及2017年9月8日召开2017年第二次临时股东大会，审议通过了《公司第一期员工持股计划（草案）及摘要》等相关议案。2018年1月31日第一期员工持股计划完成股票购买。详情请查阅2017年8月21日、2017年9月9日、2018年1月31日刊登在中国证监会指定信息披露网站（巨潮资讯网http://www.cninfo.com.cn）的相关公告。除上述情况外，2018年暂时不存在其他员工增持计划。谢谢！
10,公司2018年有无解禁股上市，有多少，具体时间？,您好，公司首发前限售股已于2017年底部分解禁，2018年无解禁情况，感谢您的关注。
11,请问尊敬的董事长：公司存货不断增加，达到4.39亿元，公司是如何考虑的？,您好！公司产品定位高端，高端品牌服装企业存货占资产总额比重较高以及存货周转率偏低是与高端品牌服装企业的经营模式相适应的。公司存货一直保持正常生产经营所需合理水平，且库龄较短，存货周转率也高于品牌定位类似的同行业上市公司。
12,公司今年对多少家店铺形象改造升级？,您好！2018年公司将继续致力于营销网络建设与店铺形象改造升级，实行“调位置、扩面积”的店铺改造计划，注重精品店和大型体验店的打造，具体进展情况请关注公司定期报告。
13,啥时候分红  啊,您好，公司2017年度权益分派方案尚需经2017年度股东大会审议通过后实施，详情请关注公司后续的公告，感谢您的关注！
14,公司高管持股详细情况如何？,您好，公司董监高持股具体情况请参阅2018年4月23日刊登在中国证监会指定信息披露网站巨潮资讯网（http://www.cninfo.com.cn）上的《2017年年度报告》第八节的相关内容，感谢您的关注。
15,预计第二季度公司净利润是多少？,您好！预计公司2018年1-6月的净利润为10100万-12600万，详情请查阅公司2018年4月23日刊登在中国证监会指定信息披露网站（巨潮资讯网http://www.cninfo.com.cn）的《2018年第一季度报告》。谢谢。
16,公司大股东有没有股权质押？,您好，截至目前，公司股东谢秉政先生所持本公司股份622万股处于质押状态，暂无其他大股东所持股份被质押的情况。
17,公司今后发展重点放在哪里？,您好！公司会继续坚持以产品质量和创新为导向，坚持“三高一新”的产品设计理念，加强营销网络建设和零售终端管理，继续提升单店业绩，聚焦“运动+休闲”细分领域，积极推动高端化与细分化的市场布局，做好主营业务发展，争取以优异的业绩回报广大投资者!
18,目前公司有哪些并购项目？进展情况如何？,您好，目前公司致力于做大做强比音勒芬品牌的设计、研发和销售，暂无并购规划，如未来有并购计划会按照相关法规及时公告，感谢您的关注！
19,公司十大股东近期有无减持计划？,您好，公司股东陈俊岭先生已经于2018年1月预披露减持计划，目前尚在实施中，截至目前，公司暂未收到其他股东的减持计划。
20,公司在海外市场业务拓展情况如何？,您好！公司暂无海外市场业务拓展情况。
21,公司目前主营业务毛利率大概多少？,您好，2017年度主营业务毛利率为65.4%。
