,Question,Answer
0,分散式污水处理产品是针对集中供水的吗？,您好！公司研发的小型光伏生活污水处理系统，结合农村实际的排污情况及排放规律，具有独特的结构设计、最小的能耗，符合相关环保法规、标准的规定。装置模块化，小巧轻便、有利于运输及安装；装置成本低、且系统运行管理简单，无需委派专人维护，无需外接市电来维持装置的运行，特别适合于农村分散污水的处理和净化。谢谢！
1,公司和华为的合作有什么成效吗？进展如何？,您好！公司与华为合作是共同拓展物联网、大数据在智慧环境系统的应用。谢谢！
2,公司从设备制造往数据服务上靠是为什么？但又为什么进军民品净化？,您好！在环境监测仪器市场价格竞争日趋激烈的情况下，公司积极谋划转型，投入大量经费进行理论和产品上的全面创新，并于2015年开发出基于环境监测、物联网和大数据技术，组合布设微型化、小型化监测设备，形成大范围、高密度的环境监控网络系统。2016年公司收购卫家环境，进一步整合民品市场领域的资源，形成各业务链条的有机互补。谢谢！
3,你们的技术水平怎么样，研发实力在国内排第几？,您好！公司一直坚持以自主研发为先导，加大科研投入，加强科技创新人才队伍建设。通过建立省级企业技术中心、省级工程技术研究中心、国家工程实验室，承担国家项目，同时与国内各大院校建立紧密的技术合作，形成了大量的科技成果、科技奖励和专利；根据市场的发展趋势，公司对技术、产品进行及时更新和优化，带动了公司技术进步。谢谢您对公司关注！
4,公司在美国的公司是做什么的？,您好！两家美国子公司是做ECOC 在线监测和重金属在线监测产品的，这两家公司的技术和产品是居于全球行业前列的。目前，已经完成两家子公司的合并整合，公司将落实产品向美国子公司转移的部署，同时将通过子公司建设全球主要目标市场的销售网络，逐步将公司产品推向国际市场。谢谢您对公司关注！
5,国家从2018年5月1日起，将制造业等行业增值税税率从17%降至16%，请问对公司的业绩有无影响？谢谢。,您好，国家从2018年5月1日起，将制造业等行业增值税税率从17%降至16%，可有效降低公司增值税税负，在售价不变的情况下可有效提升公司收入和盈利水平，谢谢
6,最近股价是怎么回事？你们有做市值管理吗？,您好！二级市场股价受多种因素影响。公司继续努力做好生产经营，提升公司的盈利水平，以优良的业绩来回报投资者。同时，公司将严格按照法律法规的规定及监管机构的要求，不断完善治理结构，规范运作，切实维护广大投资者的利益。谢谢！
7,公司的环保理念是人工还是智能？,您好！公司的网格化系统是基于环境监测、物联网和大数据技术而开发的，网格化系统融合多元化数据来源，提高大数据综合分析能力，着眼于构建天地一体的生态环境监测体系，助力打造和完善“智慧城市”总体改善方案，实现对城市环境实现全面感知、智能控制、广泛交互和深度融合。谢谢您对公司关注！
8,公司产品有出口的吗？,您好，公司产品暂时没有出口；目前公司正在实施国际化战略，谋划产品出口事宜。谢谢！
9,贵公司与同行业企业比有何优势和劣势？贵公司的主要竞争对手是哪些？,您好！公司作为国内高端环境监测仪器仪表领军企业，已发展成为集环境监测、治理、服务为一体的集团化公司，业务涵盖生态环境监测装备、运维服务、社会化检测、环境大数据分析及决策支持服务、VOCs治理、农村分散污水治理以及民用净化七大领域。特别值得提出的是，公司是网格化监控系统的开创者和领航者，通过不断迭代、更新、优化、提升，形成了完备的产品体系、科学的质控体系、全面的应用体系、专家人才支撑体系、服务和硬件设施保障体系、规范的标准体系等六大支撑体系。谢谢您对公司关注！
