,Question,Answer
0,请问去年初的时候（2016年），公司制定的2016年经营增长目标是什么？,30%-50%。感谢！
1,请问截止至2017年一季度电动汽车电机控制器、中低压变频器、伺服驱动器的产能各是多少？,公司目前产能完全能满足2017年的经营战略，具体数据暂不便回复，谢谢！
2,请问邱总2014年在所有产品产能利用率都超100%的情况下，2015年电动汽车电机控制器产量从2014年的7533台迅速增长至36636台，而2015年公司并没有新增厂房或者新租厂房，这是何原因？,尊敬的投资者您好，公司在生产场地有限的情况下，对生产线优化设计采用作业岛和流水线结合的生产以及产品结构调整，实现应对产能激增。感谢关注。
3,您好，公司的产能利用率和产能扩张情况能介绍一下吗？公司在新能源电机控制器上面的市场占有率是多少呢？行业排名有吗？谢谢！,尊敬的投资者您好，公司目前的产能能满足订单需求，2016年公司新增租赁厂房8200多平米，应对产能需求。由于目前行业缺乏权威的数据统计，因此无法取得准确的市场占有率及排名。感谢关注。
4,一：请问厦门募投项目2017年6月30日前能否确认建设完成进入试投产？二：请问厦门项目分别新增中低压、电动汽车电机控制器、伺服驱动器产能分别是6.7、0.55、0.75万台/年，而目前公司主要产品是电动汽车电机控制器，请问实际未来会以生产电动汽车电机控制器为主？,尊敬的投资者您好，公司目前在积极推进募投项目建设，公司未来投产不排除会根据实际情况设置产能。感谢关注。
5,贵公司2017年一季度营业收入同比增速56.65％，销售费用同比增加71.5％，销售费用的增速超过了营业收入的增速。请问销售费用增长快于营收增长的原因是什么？公司加大的销售努力有没有取得理想的效果？,"随着销售规模扩大，本期运输费、差旅费、售后服务费用及销售返利等费用增加，取得的效果是明显的，理想的。谢谢关注。
"
6,邱总您好，请问在新能源专用车电控方面，蓝海华腾的主要竞争对手是谁，一季度电控器均价是否出现了下降的现象？,尊敬的投资者您好，公司所处行业多家公司均有电控相关业务，公司一季度产品价格控制在合理范围。感谢关注。
7,邱叔叔好，介绍一下公司的业务情况,尊敬的投资者您好，公司是一家专业致力于工业自动化控制产品研发、生产和销售的企业，主要产品为电动汽车电机控制器、中低压变频器和伺服驱动器等。感谢关注。
8,公司向上游原材料供应商支付的定金一般占用采购金额的百分比是多少？公司一季度预付款项同比增速较快，公司是在为二季度的新能源专用汽车放量做准备吗？,您好！不同的供应商有不同的付款方式，一般情况下，初次合作的供应商，对预付款要求较高。
9,请问邱总，贵公司在新能源物流车电控领域的主要竞争对手是哪几家？公司的竞争优势主要是什么？,尊敬的投资者您好，公司所处行业多家公司均有电控相关业务，公司的竞争优势主要体现在技术、产品及客户等，感谢关注。
10,公司二级市场投资者无一获利，对于近期股价大幅下跌有什么稳定措施吗？,尊敬的投资者您好，公司持续做好经营，夯实基础，以良好的业绩回报投资者。感谢关注。
11,尊敬的董事长，您好。沃特玛联盟  对公司  有帮助吗？具体体现在哪些方面？,公司的技术提升和业务发展受益于创新联盟的市场影响力。
12,请站在独立董事的角度评价一下这家公司。您的专业态度对我很重要！,投资者您好，从我的角度看，公司经营稳健，管理层高效务实，内控治理规范，公司所处行业前景乐观。
13,有券商研报认为，新能源物流车未来5年的复合增速将达到45％以上，请问邱总怎么看？,尊敬的投资者您好，以纯电动物流车为代表的专用车型已被纳入补贴目录，内生需求将得到一定程度的释放，新能源专用车市场有望迎来较乐观的增长态势。
14,有人说新能源专用车销量今年会前低后高，请问邱总怎么看？,尊敬的投资者您好，以纯电动物流车为代表的专用车型已被纳入补贴目录，内生需求将得到一定程度的释放，新能源专用车市场有望迎来较乐观的增长态势。
15,请问贵公司对今年新能源专用车电控市场的判断是什么？据说新能源专用车的销量今年会呈现前低后高的状态，请问您怎么看,尊敬的投资者您好，以纯电动物流车为代表的专用车型已被纳入补贴目录，内生需求将得到一定程度的释放，新能源专用车市场有望迎来较乐观的增长态势。
16,除了在巨潮网上查看公司公告，还可以在哪里了解公司的日常经营情况？,"尊敬的投资者您好，你还可以关注公司的官方网站以及拨打公司投资者热线。感谢关注。
"
17,公司如何规避各种风险，如产品质量、资金、管理等，减少各种负面事件？,公司将通过加强技术创新、加快市场拓展力度、不断完善公司治理制度、进一步优化经营管理和内部控制制度、提高公司日常运营效率，降低公司运营成本，从而提升公司经营业绩，实现可持续发展。
18,"公司的持续良性发展是投资者投资信心的有力保证,愿公司的发展能为投资者带来良好的回报!请问公司领导对今年有信心吗？",必须的！
19,对于公司现在的估值有什么看法，现在的股价充分反映了吗？,尊敬的投资者您好，公司不便对股价做评论。感谢关注。
