,Question,Answer
0,有观点表示公司受房地产周期影响较大，公司对此如何看待？,您好，国家房地产调控政策对住宅精装修业务的发展有影响，但影响有限。房地产调控的另一方面是长租公寓市场的兴起，住宅全装修将迎来一个广阔的市场空间。特别是装修龙头企业具备相对优势，将获得新的发展契机，公司在全国建筑装饰行业的排名中位列前五，在业内享有很高的知名度和影响力，在行业竞争中处于第一梯队。公司会紧抓机遇，争取更好的发展，谢谢关注！
1,公司产品市场占有率如何？,您好，公司2017年实现营业总收入达到71.6亿，国内业务覆盖各省市，海外业务已延伸到包括印尼，越南，缅甸，柬埔寨等在内的东南亚国家以及美洲，澳洲国家和地区。谢谢关注！
2,管理层近期有没有增持计划？,您好！公司目前未收到管理层的增持计划，但公司近日已推出股份回购计划，详见公司相关公告。谢谢！
3,公司的人才梯队建设情况是怎样的？,"您好！人才是企业成长发展的基石，公司根据行业特性及自身发展实际，持续加大人才培养、人才引进、人才成长投入。业已形成以专业技术人才为支撑，专业管理人才及高、精、尖人才为重点，后备人才建设为辅助的综合人才体系。特别是后备人才培育方面，公司提倡产、学、研一体化和多所专业技术学院合作办学，培育专业技术人才。在一带一路后备人才培育方面已与广东外语外贸大学建立了完善的合作机制。谢谢！
"
4,公司回购股份进展如何？,您好！关于公司回购股份预案已于2018年5月5日对外披露，该预案尚需提交公司股东大会审议通过，以及报中国证监会备案无异议后方可实施。谢谢！
5,公司17年净利小幅增长，请问18年能否继续保持增长？,您好！请参阅公司2018年一季度报告中的业绩预告相关内容。谢谢关注！
6,公司在国家一带一路建设上的布局有哪些?,您好！ 公司积极响应国家“一带一路”倡议，深耕“一带一路”市场，倾力发展宝鹰国际建设、印尼宝鹰等海外业务平台，扎实有效地推进公司海外市场的开拓，实现主营业务的增量发展。 目前公司已在缅甸、越南、马来西亚、印度尼西亚、柬埔寨、澳大利亚等地开展项目。此外，公司在“一带一路”沿线国家，特别是东盟国家中突出的业务表现，获评了“2017中国走进东盟成功企业”，以及获评“中国最佳海外形象企业”，是建筑业获奖唯一民营企业。公司的建筑装饰设计与施工水平、国际商业经验和能力、财务稳定性已得到了海外市场的高度肯定和认可，已成为我国在海外建筑装饰行业少数具有国际影响力的民营企业之一。谢谢关注！
7,和同业公司比核心竞争力体现在哪里？,"您好！我司和同行业比, 核心竞争力主要体现在：公司资质品牌, 先进管理、专业设计等方面具有领先优势，尤其是海外市场开拓，以人文引领企业发展方面更具有竞争力。谢谢您的提问。"
8,国家现在提倡发展高科技企业、互联网企业，公司年报多次提到互联网+和互联网思维，请问在实际业务中带来的直接影响有哪些？,"您好，公司管理层坚定认为，紧跟国家“互联网+”的发展战略，结合公司自身发展的实际规划，通过产业整合、资本并购的方式，持续发展高新技术产业，至少可以给公司带来以下几方面的积极意义，为此公司将长期坚持实施这一发展战略： 
（1）通过高新技术与传统产业的有机结合，实现双方优势互补，资源共享，有效实现高科技成果的转化和应用，推动公司主营业务往战略纵深方向进行延伸和发展，力促公司主营业务转型升级，为公司传统业务转型升级带来新的附加值和业务增长点以及拓宽发展空间。 
（2）通过投资发展高新技术产业，公司大力加强了在高新技术产业领域的新利润点布局，并逐步形成日趋完善的高新技术产业链，有利于抵御周期性经济风险，且能够不断增强公司的整体资产质量、盈利能力和抗风险能力。 
（3）公司持续实施“互联网+”战略和发展高新技术产业，有利于公司在短时间内汇聚更多优秀的高科技人才，不断增强公司科研能力和人才储备能力，夯实由传统产业向高科技产业转型升级的各项软、硬件基础。谢谢您的关注！
"
9,公司参股的鸿洋电商经营如何？,您好！鸿洋电商经营情况正常，详情请参阅公司年报。谢谢关注！
10,请问公司的发展战略是什么，和公司现有的主营业态一致吗？ 能否详细讲解一下？ 谢谢。,您好！报告期内，公司的主营业务未发生重大变化，坚持纵深发展综合建筑装饰业务的战略定位，紧紧围绕“做强建筑装饰、深耕一带一路、培育高新产业”三大主线开展企业经营活动。第一是大力发展国内综合建筑装饰业务，进一步强化企业管理、完善营销网络、厚植工匠文化、打造精品工程、有效推进互联网家装和整体家居宅配业务，从市场的深度、广度和高度综合立体做大做强主营业务；第二是积极响应国家“一带一路”倡议，深耕“一带一路”市场，倾力发展宝鹰国际建设、印尼宝鹰等海外业务平台，扎实有效地推进公司海外市场的开拓，实现主营业务的增量发展；第三是持续培育高新技术产业，一方面推动公司主营业务往战略纵深方向延伸和发展，另一方面不断增强科技人才储备和运营科技企业能力，夯实发展高科技产业的各项软硬件基础，更多详细情况请查阅年报。谢谢！
11,为何一季度净利润同比增长快，其他几个季度业绩比较平稳？,您好！公司2017年第四季度出售原非全资子公司股权，导致2018年一季度归母净利润同比增长较快。谢谢关注！
12,公司和恒大在房地产业务上有合作么？恒大未来对公司还有没有继续增持的计划？,您好，公司与恒大有装饰装修业务合作，是宝鹰的战略合作伙伴。其是否继续增持由恒大公司做出决定，如涉及到信息披露，公司将会发布相关公告，谢谢您的提问。
13,国创智联网络系统公司对公司业务有何提升意义？,"您好！关于国创智联公司的股权投资事宜，公司在2017年度年报中已有了详细披露：结合国创通信过往发展轨迹和当前现状，尤其是2017年度国创通信业绩完成情况，公司谨慎判断国创通信的技术优势转化为经济价值的能力仍未能有效体现，使得国创通信当前实际经营业绩与公司当时增资时的预期业绩保持较大差距，而且短期内该能力和差距得以改善的情形存在一定不确定性，对此，公司从自身发展经营需要的角度出发，为有效维护上市公司和全体股东利益，拟定转让国创通信股权，针对该次股权转让相关事项公司管理层于2018年2月28日召开专项工作会议，并一致同意公司将持有国创通信20%股权予以转让。
2018年4月10日，公司与深圳市荣海达实业有限公司（以下简称“荣海达”）就国创通信股权转让事宜达成协议，双方经协商一致，荣海达同意以人民币10,000万元受让公司持国创通信20%的股权，荣海达应于本协议生效之日起10个工作日内将本次股权转让价款的50%即人民币5,000万元支付给本公司，本次股权转让国创通信其他股东书面放弃优先购买权。
本次交易完成后，公司将不再持有国创通信股权，既消除了国创通信经营业绩对公司产生的不利影响，也避免了公司未来可能承担长期股权投资的减值风险，以此最大程度保证上市公司和全体股东利益。如您想了解更详细请参阅公司年报。谢谢！"
14,公司在参与一带一路建设方面做了哪些事情？效果如何？,"您好！
      公司积极响应国家“一带一路”倡议，深耕“一带一路”市场，倾力发展宝鹰国际建设、印尼宝鹰等海外业务平台，扎实有效地推进公司海外市场的开拓，实现主营业务的增量发展。
       目前公司已在缅甸、越南、马来西亚、印度尼西亚、柬埔寨、澳大利亚等地开展项目。此外，公司在“一带一路”沿线国家，特别是东盟国家中突出的业务表现，获评了“2017中国走进东盟成功企业”，以及获评“中国最佳海外形象企业”，是建筑业获奖唯一民营企业。公司的建筑装饰设计与施工水平、国际商业经验和能力、财务稳定性已得到了海外市场的高度肯定和认可，已成为我国在海外建筑装饰行业少数具有国际影响力的民营企业之一。谢谢关注！"
15,公司近期是否有融资计划？,您好！公司将根据企业发展需要，适时推出具体融资计划。谢谢关注！
