,Question,Answer
0,尊敬的齐总，目前国内彩票增速很快，建议公司把彩票机作为搭上新经济一个重点项目大力推进，多配置的人力和物力，公司对彩票机发展是怎么定位的？,尊敬的投资者：您好！我们认为彩票机业务的市场前景广阔，已经投入了大量的资源，力争保持在行业中的领先优势。感谢您的关注！
1,尊敬的史总，东港去年市值下跌很多，今年东港有什么举措，让投资者恢复信心？,"尊敬的投资者，您好！
我公司将做好生产经营工作，提升经营业绩，以实际业绩来提升投资者信心。
感谢您对我公司的关注。"
2,请问公司是否已经为京东、小米以及阿里旗下支付宝等独角兽企业提供电子发票服务？,"尊敬的投资者，您好！
瑞宏网与京东、小米及支付宝、腾讯均有合作业务。
感谢您对我公司的关注。"
3,尊敬的齐总，目前，我国的彩票销售增速很快，我们推广的彩票小黄人可以算作无人销售的新经济销售模式，我建议可以在高铁站，动车站，大型商超，发型店，银行，电信，餐饮店等地方，大力推广。如果大奖开出，应该大力宣传。今年，东港在推广福利彩票有什么动作？,"尊敬的投资者，您好！
感谢您的建议，我们将扩大宣传力度，并配合各地彩票发行部门采取多种措施进行推广。"
4,18626891166:史总，请问公司未来是否会开发区块链技术在本行业的应用,尊敬的投资者：您好！我们在研发区块链技术在我们业务领域中的应用。感谢您的关注！
5,请问齐总，东港的彩票业务发展的如何？我们的彩票小黄人，是否打算想全国推广？东港的彩票业务，今年能取得利润吗？,"尊敬的投资者，您好！
我公司正在全国范围内进行自助彩票终端设备的推广工作，并获得了市场和用户的认可。新渠道彩票销售业务，开展情况良好，我们希望在2018年度为公司创造好的效益。
感谢您对我公司的关注。"
6,是否计划推出第二期员工持股计划,尊敬的投资者：您好！关于您的问题，我在此不方便答复，请谅解。谢谢！
7,浪潮集团几年来一直在减持贵公司股票 是否意味着双方合作趋于终止,"尊敬的投资者，您好！
浪潮信息产业股份有限公司作为我公司的发起人股东，多年来与公司保持了良好的合作关系，浪潮信息减持本公司股票是出于其自身经营的需要，目前与我公司在多个领域仍保持合作关系。
感谢您对我公司的关注。"
8,您好，请问公司今天彩票机业务能盈利吗，预计盈利情况如何？,尊敬的投资者：您好！公司今年彩票机业务发展良好，预计将实现盈利。感谢您的关注！
9,尊敬的史总，我们东港的电子档案目前发展的如何？在2018年能取得大约多少收入？利润大致多少？东港在电子档案的市场份额多少？市场前景如何？,尊敬的投资者：您好！我公司电子档案业务发展良好，业务规模居行业前列，市场前景广阔，我们认为未来几年会有较快的发展。感谢您的关注！
10,大股东香港喜多来集团是否考虑一次性第三方股权转让出去不要一点一点的减持,"尊敬的投资者，您好！
我公司目前未接到公司股东有关减持的通知。
感谢您对我公司的关注。"
11,您好，请问贵司现在彩票机在全国的布设情况如何 ？,尊敬的投资者：您好！我们的彩票机目前在山东、重庆、新疆、甘肃、辽宁、安徽等十几个省市运营，运营地点集中在购物中心、影院、商超等场所。感谢您的关注！
12,预计电子发票业务今年能取得多少增长？,"尊敬的投资者，您好！
在电子发票方面，2018年将加强重点区域、重点客户的开发，为客户提供专业化、个性化的服务解决方案，并依托电子发票服务平台，为客户提供多样性的数据及税务服务。具体增长数据目前还无法做出准确估计。
感谢您对我公司的关注。"
