code,short,tfidf0,lsi0
002069,ST獐岛,0.06917394422463576,0.10643325062433526
002029,七匹狼,0.18215342284549202,0.18188241739803657
002085,万丰奥威,0.13587675815835196,0.15499007150635355
002543,万和电气,0.14481012894536918,0.14597863315333456
300482,万孚生物,0.215382552574639,0.23202890474390625
002590,万安科技,,
002654,万润科技,0.2060343753529634,0.2055899499303952
002643,万润股份,0.0645471005699897,0.10838273008666598
300268,万福生科,0.09793340167246546,0.10332036149628201
000002,万科A,0.14683031358923915,0.20158190620350494
300168,万达信息,0.15630095019411674,0.1658395610340547
002739,万达院线,0.16122249445781064,0.1910275567554728
300055,万邦达,0.21716817851360792,0.2416735091138474
002434,万里扬,0.141753427546121,0.1296992807068492
002785,万里石,0.17577953325727513,0.1958517328179271
300591,万里马,0.11970739534763696,0.15884930730281036
300552,万集科技,0.16097644351406176,0.1801930687904326
300057,万顺股份,0.14188508272770647,0.17613831569327135
002276,万马股份,0.11582601273964327,0.14312958308013274
002555,三七互娱,0.1366019367014451,0.1584403079127173
300276,三丰智能,0.15768750023388484,0.16389346283405087
300051,三五互联,,
002417,三元达,0.1394376986118131,0.1554565089365579
002216,三全食品,0.18470646869078347,0.1843811781760163
300295,三六五网,0.1484611266168889,0.16449474037018236
002224,三力士,0.0469256449225254,0.08326020063038493
002112,三变科技,0.16621158001519243,0.17968839378304682
002621,三垒股份,0.09295419657249838,0.11031203782177165
002780,三夫户外,0.13068769052369433,0.1440033875405221
300066,三川智慧,0.16319005490680236,0.19293029654545743
300515,三德科技,0.17543147675035764,0.18007418232736705
002857,三晖电气,0.5934986040984996,0.596557538623387
002312,三泰控股,0.14226399488141792,0.1606812728283413
002159,三特索道,0.2082781773110765,0.24902208695044795
300408,三环集团,0.2015518572682014,0.24331370559010543
300056,三维丝,0.14563145712813821,0.15488151759791968
002469,三维工程,0.07582022183017302,0.10326035644930594
002115,三维通信,0.1099867491118139,0.14005875833890852
300384,三联虹普,0.14406937373140605,0.14749960306983317
300072,三聚环保,0.15902560134077048,0.19656416955350312
002050,三花智控,0.127376799639937,0.16510116701451721
300298,三诺生物,0.1364175616964489,0.16287424914739948
002110,三钢闽光,0.1796882078440439,0.1972161959074822
300236,上海新阳,0.22606092801959268,0.2630828990074352
002252,上海莱士,0.1369995409515609,0.1295803939012863
300226,上海钢联,0.1935992537725229,0.22218648898332796
300522,世名科技,0.09668683755169158,0.1128540984476947
002796,世嘉科技,0.09601883390069278,0.14217911439123124
002558,世纪游轮,0.10513080093737577,0.1403061442377901
300150,世纪瑞尔,0.10330792147455851,0.13515218097793386
300050,世纪鼎利,0.16871940286121026,0.21428502684342277
002285,世联行,0.11670932598248468,0.15134333784374762
002016,世荣兆业,0.14953020048757182,0.14521115906921156
002748,世龙实业,0.24002248623264655,0.25442553151991043
002017,东信和平,0.1656318940355845,0.16871141749623994
300354,东华测试,0.18089189740862238,0.1799717416730893
002140,东华科技,0.13377102562550194,0.14327904999401697
002221,东华能源,0.10616802351920485,0.14117308446500385
002065,东华软件,0.15885368545610026,0.20128704529602306
300353,东土科技,0.12503927404835313,0.14575997198746032
300239,东宝生物,0.13059465311767154,0.13434621850308012
300171,东富龙,0.0865302301048468,0.11142443844344847
002384,东山精密,0.13264864012717917,0.13775075275158508
002819,东方中科,0.17327429028302993,0.18805977225944148
002310,东方园林,,
300166,东方国信,0.14742929535005406,0.1758188983597178
002755,东方新星,0.16965882486504152,0.18286792884697772
