date,code,short,full,tfidf0,lsi0,day5,day10,day20,day60,day120,day250,day364
2017/04/06,2069.0,ST獐岛,ST獐岛2016年度业绩说明会,0.06917394422463577,0.10643325062433526,-0.01958224543080937,-0.05846379647749484,-0.1104162264948237,-0.1480513785801372,-0.15343622760502545,-0.15775718963383084,-0.2131233785033408
2017/04/13,2029.0,七匹狼,七匹狼2016年年度业绩网上说明会,0.182153422845492,0.18188241739803654,-0.015753585704208834,-0.02802479116141202,-0.037428194054258235,-0.053384986225895666,-0.05788956061606799,-0.09351632608866788,-0.10003451373926237
2017/04/14,2085.0,万丰奥威,万丰奥威2016年度业绩说明会,0.13587675815835196,0.15499007150635355,-0.034774169112773284,-0.04624437347549469,-0.060721807732124426,-0.05721036675979326,-0.08604761053803077,-0.07180208258869232,-0.08230008077392002
2017/04/26,2543.0,万和电气,万和电气2016年度业绩网上说明会,0.14481012894536918,0.14597863315333456,-0.013704994192799148,0.02006700056386612,0.04028532822172643,0.14369749851863026,0.22207793911252788,0.18956254094216948,0.21942702013333493
2017/03/14,300482.0,万孚生物,万孚生物2016年度业绩说明会,0.21538255257463898,0.23202890474390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/05/05,2590.0,万安科技,万安科技2016年度业绩说明会,,,-0.0257539817011182,-0.05138607167004743,-0.10666977249786473,-0.2097520835319444,-0.229147781476746,-0.3041889821663016,-0.4175777605065608
2017/04/24,2654.0,万润科技,万润科技2016年度业绩网上说明会,0.2060343753529634,0.2055899499303952,-0.036274509803921495,-0.0708970369368151,-0.12181818181818195,-0.15384451043647315,-0.15197244138237564,-0.31426295126784154,-0.3934829785306235
2017/03/06,2643.0,万润股份,万润股份2016年度业绩说明会,0.0645471005699897,0.10838273008666598,0.021548241838288986,0.027083648846483985,0.02480509006183344,0.022933302880602642,-0.26639117199741114,-0.5090357258987431,-0.5821196302532471
2017/04/28,300268.0,万福生科,万福生科2016年度业绩网上说明会,0.09793340167246546,0.103320361496282,0.0,0.0,0.0,0.0,-0.20511899625333294,0.0712171559726212,0.024679683007475625
2017/03/28,2.0,万科A,万科A2016年度业绩投资者交流会,0.14683031358923915,0.2015819062035049,-0.023650626390352373,-0.021708448148397005,-0.017156030089783926,-0.04446881927514473,-0.00019348440189622749,0.05578613519096637,0.20221389381787488
