»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2018-04-13,'002303,√¿”Ø…≠,6.48,6.58,6.38,6.38,6.36,0.12,1.8868,0.4703,7253617,47155592.29,9994257478.8,9994257478.8
2018-04-12,'002303,√¿”Ø…≠,6.36,6.47,6.35,6.44,6.45,-0.09,-1.3953,0.2844,4386241,28058622.96,9809178636.6,9809178636.6
2018-04-11,'002303,√¿”Ø…≠,6.45,6.48,6.37,6.39,6.36,0.09,1.4151,0.3299,5088762,32730951.76,9947987768.25,9947987768.25
2018-04-10,'002303,√¿”Ø…≠,6.36,6.47,6.33,6.43,6.43,-0.07,-1.0886,0.4375,6747809,42977887.61,9809178636.6,9809178636.6
2018-04-09,'002303,√¿”Ø…≠,6.43,6.5,6.38,6.46,6.53,-0.1,-1.5314,0.34,5243882,33769180.97,9917141294.55,9917141294.55
2018-04-04,'002303,√¿”Ø…≠,6.53,6.58,6.5,6.55,6.52,0.01,0.1534,0.2715,4187033,27369626.3,10071373663.0,10071373663.0
2018-04-03,'002303,√¿”Ø…≠,6.52,6.55,6.43,6.46,6.53,-0.01,-0.1531,0.3257,5023846,32656611.57,10055950426.2,10055950426.2
2018-04-02,'002303,√¿”Ø…≠,6.53,6.63,6.41,6.53,6.53,0.0,0.0,0.569,8775767,57528678.66,10071373663.0,10071373663.0
2018-03-30,'002303,√¿”Ø…≠,6.53,6.61,6.37,6.51,6.48,0.05,0.7716,0.8726,13458918,86925955.68,10071373663.0,10071373663.0
2018-03-29,'002303,√¿”Ø…≠,6.48,6.61,6.45,6.54,6.53,-0.05,-0.7657,0.3883,5989001,38884556.49,9994257478.8,9994257478.8
2018-03-28,'002303,√¿”Ø…≠,6.53,6.62,6.4,6.5,6.51,0.02,0.3072,0.366,5644600,36717549.76,10071373663.0,10071373663.0
2018-03-27,'002303,√¿”Ø…≠,6.51,6.61,6.41,6.41,6.35,0.16,2.5197,0.4958,7647048,49811459.56,10040527189.4,10040527189.4
2018-03-26,'002303,√¿”Ø…≠,6.35,6.38,6.03,6.15,6.26,0.09,1.4377,0.4017,6195500,38594859.0,9793755399.75,9793755399.75
2018-03-23,'002303,√¿”Ø…≠,6.26,6.57,6.17,6.49,6.7,-0.44,-6.5672,0.7281,11229416,71355796.56,9654946268.1,9654946268.1
2018-03-22,'002303,√¿”Ø…≠,6.7,6.83,6.69,6.81,6.79,-0.09,-1.3255,0.2669,4116359,27734714.24,10333568689.5,10333568689.5
2018-03-21,'002303,√¿”Ø…≠,6.79,7.01,6.77,6.92,6.9,-0.11,-1.5942,0.4447,6859188,47439407.22,10472377821.1,10472377821.1
2018-03-20,'002303,√¿”Ø…≠,6.9,6.9,6.76,6.8,6.85,0.05,0.7299,0.2805,4326553,29595041.83,10642033426.5,10642033426.5
2018-03-19,'002303,√¿”Ø…≠,6.85,6.96,6.8,6.92,6.93,-0.08,-1.1544,0.3411,5261373,36195374.05,10564917242.2,10564917242.2
2018-03-16,'002303,√¿”Ø…≠,6.93,7.06,6.86,6.9,6.93,0.0,0.0,0.5714,8813319,61418496.53,10688303137.0,10688303137.0
2018-03-15,'002303,√¿”Ø…≠,6.93,7.08,6.84,7.01,7.05,-0.12,-1.7021,0.9686,14938688,103177481.29,10688303137.0,10688303137.0
2018-03-14,'002303,√¿”Ø…≠,7.05,7.31,7.05,7.19,7.25,-0.2,-2.7586,0.5811,8962700,63976977.17,10873381979.2,10873381979.2
2018-03-13,'002303,√¿”Ø…≠,7.25,7.29,7.14,7.28,7.25,0.0,0.0,0.6612,10198475,73617989.36,11181846716.2,11181846716.2
2018-03-12,'002303,√¿”Ø…≠,7.25,7.48,6.99,6.99,6.89,0.36,5.225,1.4987,23115115,167467672.25,11181846716.2,11181846716.2
2018-03-09,'002303,√¿”Ø…≠,6.89,6.9,6.66,6.69,6.65,0.24,3.609,0.6748,10408215,71061637.41,10626610189.6,10626610189.6
2018-03-08,'002303,√¿”Ø…≠,6.65,6.69,6.6,6.67,6.6,0.05,0.7576,0.1741,2685600,17826158.0,10256452505.2,10256452505.2
2018-03-07,'002303,√¿”Ø…≠,6.6,6.77,6.59,6.73,6.72,-0.12,-1.7857,0.2599,4009001,26692982.62,10179336321.0,10179336321.0
2018-03-06,'002303,√¿”Ø…≠,6.72,6.72,6.62,6.64,6.64,0.08,1.2048,0.2681,4135608,27650002.36,10364415163.2,10364415163.2
2018-03-05,'002303,√¿”Ø…≠,6.64,6.7,6.6,6.63,6.61,0.03,0.4539,0.2305,3555396,23617562.68,10241029268.4,10241029268.4
2018-03-02,'002303,√¿”Ø…≠,6.61,6.72,6.56,6.7,6.74,-0.13,-1.9288,0.3784,5835573,38712910.83,10194759557.9,10194759557.9
2018-03-01,'002303,√¿”Ø…≠,6.74,6.81,6.63,6.66,6.7,0.04,0.597,0.4163,6419944,43219339.32,10395261636.9,10395261636.9
2018-02-28,'002303,√¿”Ø…≠,6.7,6.83,6.66,6.78,6.76,-0.06,-0.8876,0.3479,5364998,36117105.64,10333568689.5,10333568689.5
2018-02-27,'002303,√¿”Ø…≠,6.76,6.92,6.63,6.66,6.67,0.09,1.3493,0.7109,10964000,74612939.87,10426108110.6,10426108110.6
2018-02-26,'002303,√¿”Ø…≠,6.67,6.73,6.56,6.58,6.56,0.11,1.6768,0.5342,8238968,54796972.72,10287298979.0,10287298979.0
2018-02-23,'002303,√¿”Ø…≠,6.56,6.64,6.48,6.56,6.58,-0.02,-0.304,0.4477,6904683,45293278.78,10117643373.6,10117643373.6
2018-02-22,'002303,√¿”Ø…≠,6.58,6.59,6.28,6.33,6.28,0.3,4.7771,0.6766,10434957,67741741.49,10148489847.3,10148489847.3
2018-02-14,'002303,√¿”Ø…≠,6.28,6.41,6.22,6.41,6.37,-0.09,-1.4129,0.2542,3920100,24639624.52,9685792741.8,9685792741.8
2018-02-13,'002303,√¿”Ø…≠,6.37,6.44,6.29,6.41,6.38,-0.01,-0.1567,0.424,6539094,41594480.9,9824601873.45,9824601873.45
2018-02-12,'002303,√¿”Ø…≠,6.38,6.41,6.26,6.26,6.25,0.13,2.08,0.3288,5071028,32233374.18,9840025110.3,9840025110.3
2018-02-09,'002303,√¿”Ø…≠,6.25,6.36,6.11,6.19,6.29,-0.04,-0.6359,0.614,9469772,59066568.88,9639523031.25,9639523031.25
2018-02-08,'002303,√¿”Ø…≠,6.29,6.44,6.07,6.1,6.11,0.18,2.946,0.4263,6574400,41447080.0,9701215978.65,9701215978.65
2018-02-07,'002303,√¿”Ø…≠,6.11,6.21,5.95,5.97,5.92,0.19,3.2095,0.5751,8869399,54287035.0,9423597715.35,9423597715.35
2018-02-06,'002303,√¿”Ø…≠,5.92,6.29,5.9,6.22,6.36,-0.44,-6.9182,0.5642,8702535,53452970.55,9130556215.2,9130556215.2
2018-02-05,'002303,√¿”Ø…≠,6.36,6.56,6.2,6.2,6.45,-0.09,-1.3953,0.5198,8016600,51028867.65,9809178636.6,9809178636.6
2018-02-02,'002303,√¿”Ø…≠,6.45,6.59,6.0,6.17,6.19,0.26,4.2003,1.3323,20548210,130279197.36,9947987768.25,9947987768.25
2018-02-01,'002303,√¿”Ø…≠,6.19,6.29,5.79,6.25,6.26,-0.07,-1.1182,1.0141,15640660,93818647.25,9546983610.15,9546983610.15
2018-01-31,'002303,√¿”Ø…≠,6.26,6.44,6.24,6.42,6.44,-0.18,-2.795,0.5248,8094400,51068003.92,9654946268.1,9654946268.1
2018-01-30,'002303,√¿”Ø…≠,6.44,6.52,6.41,6.48,6.5,-0.06,-0.9231,0.4733,7300108,47304053.04,9932564531.4,9932564531.4
2018-01-29,'002303,√¿”Ø…≠,6.5,6.53,6.4,6.4,6.42,0.08,1.2461,0.5445,8397900,54167876.75,10025103952.5,10025103952.5
2018-01-26,'002303,√¿”Ø…≠,6.42,6.55,6.4,6.55,6.54,-0.12,-1.8349,0.5056,7797278,50337109.4,9901718057.7,9901718057.7
2018-01-25,'002303,√¿”Ø…≠,6.54,6.6,6.51,6.56,6.56,-0.02,-0.3049,0.5088,7846719,51370854.11,10086796899.9,10086796899.9
2018-01-24,'002303,√¿”Ø…≠,6.56,6.63,6.33,6.36,6.36,0.2,3.1447,1.2609,19446487,126343484.26,10117643373.6,10117643373.6
2018-01-23,'002303,√¿”Ø…≠,6.36,6.48,6.35,6.48,6.47,-0.11,-1.7002,0.548,8451707,54039203.17,9809178636.6,9809178636.6
2018-01-22,'002303,√¿”Ø…≠,6.47,6.48,6.37,6.45,6.45,0.02,0.3101,0.4934,7609095,48905690.3,9978834241.95,9978834241.95
2018-01-19,'002303,√¿”Ø…≠,6.45,6.45,6.36,6.45,6.45,0.0,0.0,0.4721,7281997,46610973.47,9947987768.25,9947987768.25
2018-01-18,'002303,√¿”Ø…≠,6.45,6.48,6.33,6.39,6.38,0.07,1.0972,0.4948,7632162,49001705.79,9947987768.25,9947987768.25
2018-01-17,'002303,√¿”Ø…≠,6.38,6.56,6.3,6.54,6.54,-0.16,-2.4465,0.7055,10881289,69357039.22,9840025110.3,9840025110.3
2018-01-16,'002303,√¿”Ø…≠,6.54,6.66,6.52,6.61,6.63,-0.09,-1.3575,0.4056,6255711,41188872.95,10086796899.9,10086796899.9
2018-01-15,'002303,√¿”Ø…≠,6.63,6.73,6.61,6.67,6.67,-0.04,-0.5997,0.4033,6220685,41512487.8,10225606031.5,10225606031.5
2018-01-12,'002303,√¿”Ø…≠,6.67,6.75,6.61,6.73,6.71,-0.04,-0.5961,0.4621,7127194,47486677.55,10287298979.0,10287298979.0
2018-01-11,'002303,√¿”Ø…≠,6.71,6.74,6.58,6.58,6.62,0.09,1.3595,0.4031,6217835,41634190.36,10348991926.4,10348991926.4
2018-01-10,'002303,√¿”Ø…≠,6.62,6.73,6.6,6.68,6.7,-0.08,-1.194,0.4603,7099017,47148964.04,10210182794.7,10210182794.7
2018-01-09,'002303,√¿”Ø…≠,6.7,6.79,6.66,6.75,6.78,-0.08,-1.1799,0.5364,8273412,55614922.37,10333568689.5,10333568689.5
2018-01-08,'002303,√¿”Ø…≠,6.78,6.89,6.75,6.87,6.91,-0.13,-1.8813,0.4787,7383747,50075366.66,10456954584.3,10456954584.3
2018-01-05,'002303,√¿”Ø…≠,6.91,6.98,6.8,6.98,6.93,-0.02,-0.2886,0.4403,6791253,46727287.45,10657456663.4,10657456663.4
2018-01-04,'002303,√¿”Ø…≠,6.93,7.03,6.92,6.95,7.01,-0.08,-1.1412,0.2701,4165595,29008749.66,10688303137.0,10688303137.0
2018-01-03,'002303,√¿”Ø…≠,7.01,7.1,6.95,7.01,7.03,-0.02,-0.2845,0.4312,6650650,46789521.42,10811689031.9,10811689031.9
2018-01-02,'002303,√¿”Ø…≠,7.03,7.1,6.86,6.94,7.0,0.03,0.4286,0.5753,8872226,61874922.96,10842535505.5,10842535505.5
2017-12-29,'002303,√¿”Ø…≠,7.0,7.05,6.57,6.69,6.74,0.26,3.8576,0.7767,11979869,80858812.18,10796265795.0,10796265795.0
2017-12-28,'002303,√¿”Ø…≠,6.74,6.76,6.55,6.71,6.71,0.03,0.4471,0.7248,11178966,74152742.25,10395261636.9,10395261636.9
2017-12-27,'002303,√¿”Ø…≠,6.71,6.83,6.68,6.8,6.79,-0.08,-1.1782,0.3458,5333844,35924677.64,10348991926.4,10348991926.4
2017-12-26,'002303,√¿”Ø…≠,6.79,6.82,6.65,6.66,6.65,0.14,2.1053,0.3604,5558486,37495609.08,10472377821.1,10472377821.1
2017-12-25,'002303,√¿”Ø…≠,6.65,6.86,6.6,6.85,6.86,-0.21,-3.0612,0.5225,8058757,53951346.27,10256452505.2,10256452505.2
2017-12-22,'002303,√¿”Ø…≠,6.86,7.13,6.78,7.09,7.09,-0.23,-3.244,0.7332,11308903,78294658.12,10580340479.1,10580340479.1
2017-12-21,'002303,√¿”Ø…≠,7.09,7.13,7.05,7.09,7.09,0.0,0.0,0.2676,4126920,29269657.31,10935074926.6,10935074926.6
2017-12-20,'002303,√¿”Ø…≠,7.09,7.27,7.07,7.27,7.27,-0.18,-2.4759,0.446,6878510,49048641.6,10935074926.6,10935074926.6
2017-12-19,'002303,√¿”Ø…≠,7.27,7.36,7.23,7.32,7.32,-0.05,-0.6831,0.2741,4226945,30815485.71,11212693190.0,11212693190.0
2017-12-18,'002303,√¿”Ø…≠,7.32,7.44,7.26,7.4,7.39,-0.07,-0.9472,0.2316,3572096,26144492.84,11289809374.2,11289809374.2
2017-12-15,'002303,√¿”Ø…≠,7.39,7.49,7.33,7.47,7.52,-0.13,-1.7287,0.2397,3696300,27397229.0,11397772032.1,11397772032.1
2017-12-14,'002303,√¿”Ø…≠,7.52,7.55,7.42,7.54,7.52,0.0,0.0,0.1729,2666702,19924296.0,11598274111.2,11598274111.2
2017-12-13,'002303,√¿”Ø…≠,7.52,7.58,7.46,7.51,7.5,0.02,0.2667,0.1826,2816187,21140907.76,11598274111.2,11598274111.2
2017-12-12,'002303,√¿”Ø…≠,7.5,7.64,7.5,7.61,7.61,-0.11,-1.4455,0.1726,2661700,20092507.0,11567427637.5,11567427637.5
2017-12-11,'002303,√¿”Ø…≠,7.61,7.73,7.5,7.72,7.65,-0.04,-0.5229,0.379,5844900,44355918.0,11737083242.9,11737083242.9
2017-12-08,'002303,√¿”Ø…≠,7.65,7.69,7.48,7.52,7.49,0.16,2.1362,0.3503,5402537,41067944.4,11798776190.2,11798776190.2
2017-12-07,'002303,√¿”Ø…≠,7.49,7.62,7.46,7.54,7.58,-0.09,-1.1873,0.2638,4069203,30554658.41,11552004400.6,11552004400.6
2017-12-06,'002303,√¿”Ø…≠,7.58,7.68,7.42,7.6,7.6,-0.02,-0.2632,0.4205,6485833,48881931.21,11690813532.3,11690813532.3
2017-12-05,'002303,√¿”Ø…≠,7.6,7.81,7.5,7.68,7.65,-0.05,-0.6536,0.3168,4886194,37366697.53,11721660006.0,11721660006.0
2017-12-04,'002303,√¿”Ø…≠,7.65,7.89,7.65,7.75,7.8,-0.15,-1.9231,0.3184,4910604,38161966.54,11798776190.2,11798776190.2
2017-12-01,'002303,√¿”Ø…≠,7.8,7.81,7.71,7.76,7.76,0.04,0.5155,0.3324,5126621,39754700.75,12030124743.0,12030124743.0
2017-11-30,'002303,√¿”Ø…≠,7.76,7.93,7.73,7.85,7.87,-0.11,-1.3977,0.214,3301208,25859125.06,11968431795.6,11968431795.6
2017-11-29,'002303,√¿”Ø…≠,7.87,7.99,7.72,7.96,7.96,-0.09,-1.1307,0.3124,4817523,37796190.68,12138087401.0,12138087401.0
2017-11-28,'002303,√¿”Ø…≠,7.96,8.0,7.75,7.88,7.89,0.07,0.8872,0.2567,3958667,31193223.81,12276896532.6,12276896532.6
2017-11-27,'002303,√¿”Ø…≠,7.89,8.14,7.87,8.12,8.1,-0.21,-2.5926,0.3429,5288723,42177311.59,12168933874.6,12168933874.6
2017-11-24,'002303,√¿”Ø…≠,8.1,8.18,8.04,8.16,8.17,-0.07,-0.8568,0.3513,5418345,43885207.09,12492821848.5,12492821848.5
2017-11-23,'002303,√¿”Ø…≠,8.17,8.45,8.15,8.44,8.45,-0.28,-3.3136,0.395,6092153,50529619.8,12600784506.5,12600784506.5
2017-11-22,'002303,√¿”Ø…≠,8.45,8.56,8.31,8.47,8.46,-0.01,-0.1182,0.3673,5665040,47744138.57,13032635138.2,13032635138.2
