хуфз,╧иф╠╢ЗбК,цШЁф,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,©╙ел╪ш,г╟йуел,уг╣Ь╤Н,уг╣Ь╥Ы,╩╩йжбй,Ёи╫╩а©,Ёи╫╩╫П╤Н,вэйпж╣,аВм╗йпж╣
2018-04-13,'002842,оХПьныр╣,41.24,41.83,41.07,41.56,41.14,0.1,0.2431,2.0902,883105,36582463.3,4124000000.0,1742390000.0
2018-04-12,'002842,оХПьныр╣,41.14,42.1,41.0,42.1,42.1,-0.96,-2.2803,3.1366,1325204,54910157.78,4114000000.0,1738165000.0
2018-04-11,'002842,оХПьныр╣,42.1,42.17,41.25,41.25,41.05,1.05,2.5579,5.915,2499101,104445539.96,4210000000.0,1778725000.0
2018-04-10,'002842,оХПьныр╣,41.05,41.5,40.4,40.4,40.64,0.41,1.0089,2.5202,1064800,43661449.94,4105000000.0,1734362500.0
2018-04-09,'002842,оХПьныр╣,40.64,40.99,39.85,40.12,40.44,0.2,0.4946,2.4784,1047113,42510279.88,4064000000.0,1717040000.0
2018-04-04,'002842,оХПьныр╣,40.44,41.5,40.38,41.23,41.2,-0.76,-1.8447,2.1439,905800,37026219.0,4044000000.0,1708590000.0
2018-04-03,'002842,оХПьныр╣,41.2,41.9,40.01,40.39,41.14,0.06,0.1458,3.1714,1339900,54704067.0,4120000000.0,1740700000.0
2018-04-02,'002842,оХПьныр╣,41.14,41.89,41.0,41.71,41.62,-0.48,-1.1533,2.996,1265800,52402769.0,4114000000.0,1738165000.0
2018-03-30,'002842,оХПьныр╣,41.62,41.96,41.1,41.1,41.25,0.37,0.897,2.3797,1005406,41808784.04,4162000000.0,1758445000.0
2018-03-29,'002842,оХПьныр╣,41.25,41.66,40.78,40.78,40.65,0.6,1.476,2.3401,988700,40777962.0,4125000000.0,1742812500.0
2018-03-28,'002842,оХПьныр╣,40.65,41.25,40.62,40.8,41.23,-0.58,-1.4067,1.822,769800,31442468.0,4065000000.0,1717462500.0
2018-03-27,'002842,оХПьныр╣,41.23,41.88,40.5,41.0,40.43,0.8,1.9787,2.3311,984908,40554744.72,4123000000.0,1741967500.0
2018-03-26,'002842,оХПьныр╣,40.43,40.47,38.54,38.54,39.61,0.82,2.0702,2.2489,950166,37941939.14,4043000000.0,1708167500.0
2018-03-23,'002842,оХПьныр╣,39.61,41.45,38.25,40.3,42.05,-2.44,-5.8026,4.1976,1773502,71294260.02,3961000000.0,1673522500.0
2018-03-22,'002842,оХПьныр╣,42.05,42.93,41.98,42.39,42.94,-0.89,-2.0727,4.4538,1881750,79841441.96,4205000000.0,1776612500.0
2018-03-21,'002842,оХПьныр╣,42.94,43.18,41.55,41.55,41.53,1.41,3.3951,5.6705,2395769,101301292.93,4294000000.0,1814215000.0
2018-03-20,'002842,оХПьныр╣,41.53,41.7,41.02,41.39,41.75,-0.22,-0.5269,1.8858,796756,32945577.88,4153000000.0,1754642500.0
2018-03-19,'002842,оХПьныр╣,41.75,41.96,40.53,41.12,41.34,0.41,0.9918,2.2973,970600,40236521.0,4175000000.0,1763937500.0
2018-03-16,'002842,оХПьныр╣,41.34,42.12,41.28,41.6,41.69,-0.35,-0.8395,2.5316,1069600,44549197.0,4134000000.0,1746615000.0
2018-03-15,'002842,оХПьныр╣,41.69,43.3,40.2,42.9,43.38,-1.69,-3.8958,5.4154,2288015,95988165.26,4169000000.0,1761402500.0
2018-03-14,'002842,оХПьныр╣,43.38,44.68,43.21,43.8,43.55,-0.17,-0.3904,5.0367,2128000,93840457.5,4338000000.0,1832805000.0
2018-03-13,'002842,оХПьныр╣,43.55,45.1,43.52,44.9,45.29,-1.74,-3.8419,7.0104,2961900,130924070.35,4355000000.0,1839987500.0
2018-03-12,'002842,оХПьныр╣,45.29,45.66,44.24,44.24,44.21,1.08,2.4429,8.5776,3624032,163482232.32,4529000000.0,1913502500.0
2018-03-09,'002842,оХПьныр╣,44.21,44.39,43.58,43.9,43.96,0.25,0.5687,4.9549,2093432,92119015.84,4421000000.0,1867872500.0
2018-03-08,'002842,оХПьныр╣,43.96,44.42,43.43,43.61,44.02,-0.06,-0.1363,5.1222,2164148,94978211.04,4396000000.0,1857310000.0
2018-03-07,'002842,оХПьныр╣,44.02,44.9,43.55,44.02,44.6,-0.58,-1.3004,7.06,2982854,131826031.08,4402000000.0,1859845000.0
2018-03-06,'002842,оХПьныр╣,44.6,45.2,43.11,43.11,43.15,1.45,3.3604,9.466,3999381,176529872.9,4460000000.0,1884350000.0
2018-03-05,'002842,оХПьныр╣,43.15,43.77,42.55,42.55,42.68,0.47,1.1012,4.3314,1830002,79044020.76,4315000000.0,1823087500.0
2018-03-02,'002842,оХПьныр╣,42.68,43.85,42.22,42.5,43.11,-0.43,-0.9974,6.0317,2548400,110103124.56,4268000000.0,1803230000.0
2018-03-01,'002842,оХПьныр╣,43.11,43.61,42.0,42.53,43.3,-0.19,-0.4388,4.9037,2071800,88849055.0,4311000000.0,1821397500.0
2018-02-28,'002842,оХПьныр╣,43.3,44.29,41.73,42.2,42.27,1.03,2.4367,7.56,3194117,137240387.84,4330000000.0,1829425000.0
2018-02-27,'002842,оХПьныр╣,42.27,42.58,41.51,41.99,43.5,-1.23,-2.8276,7.8308,3308524,139091324.82,4227000000.0,1785907500.0
2018-02-26,'002842,оХПьныр╣,43.5,44.19,42.16,43.08,42.59,0.91,2.1367,7.3851,3120221,134757728.66,4350000000.0,1837875000.0
2018-02-23,'002842,оХПьныр╣,42.59,42.88,41.72,42.64,41.89,0.7,1.671,6.1828,2612222,110379534.08,4259000000.0,1799427500.0
2018-02-22,'002842,оХПьныр╣,41.89,42.7,39.87,40.2,39.73,2.16,5.4367,5.7942,2448036,101804629.04,4189000000.0,1769852500.0
2018-02-14,'002842,оХПьныр╣,39.73,40.36,39.5,39.73,40.01,-0.28,-0.6998,2.2812,963816,38366913.6,3973000000.0,1678592500.0
2018-02-13,'002842,оХПьныр╣,40.01,42.29,39.82,41.2,40.8,-0.79,-1.9363,4.9387,2086590,85496009.08,4001000000.0,1690422500.0
2018-02-12,'002842,оХПьныр╣,40.8,41.28,39.5,39.86,39.4,1.4,3.5533,4.6735,1974534,80096349.78,4080000000.0,1723800000.0
2018-02-09,'002842,оХПьныр╣,39.4,41.89,38.8,40.4,42.14,-2.74,-6.5021,4.2607,1800158,72249306.4,3940000000.0,1664650000.0
2018-02-08,'002842,оХПьныр╣,42.14,43.14,40.51,40.52,42.0,0.14,0.3333,5.0976,2153720,90468828.0,4214000000.0,1780415000.0
2018-02-07,'002842,оХПьныр╣,42.0,43.96,41.15,42.0,40.29,1.71,4.2442,6.2156,2626106,111658622.88,4200000000.0,1774500000.0
2018-02-06,'002842,оХПьныр╣,40.29,41.78,38.0,38.0,42.2,-1.91,-4.5261,3.9326,1661532,66968460.8,4029000000.0,1702252500.0
2018-02-05,'002842,оХПьныр╣,42.2,43.9,42.06,43.9,40.18,2.02,5.0274,5.4652,2309050,98753799.46,4220000000.0,1782950000.0
2018-02-02,'002842,оХПьныр╣,40.18,40.64,37.5,38.61,39.13,1.05,2.6834,1.867,788804,31077293.42,4018000000.0,1697605000.0
2018-02-01,'002842,оХПьныр╣,39.13,40.68,38.62,40.64,40.06,-0.93,-2.3215,1.6282,687934,27259199.46,3913000000.0,1653242500.0
2018-01-31,'002842,оХПьныр╣,40.06,41.63,38.85,41.15,41.87,-1.81,-4.3229,3.3276,1405913,56563472.96,4006000000.0,1692535000.0
2018-01-30,'002842,оХПьныр╣,41.87,42.85,41.74,42.7,42.79,-0.92,-2.15,2.1328,901100,37977219.0,4187000000.0,1769007500.0
2018-01-29,'002842,оХПьныр╣,42.79,43.47,41.74,43.0,42.81,-0.02,-0.0467,2.2243,939748,40185180.86,4279000000.0,1807877500.0
2018-01-26,'002842,оХПьныр╣,42.81,43.48,42.53,43.27,43.92,-1.11,-2.5273,2.5675,1084748,46626244.68,4281000000.0,1808722500.0
2018-01-25,'002842,оХПьныр╣,43.92,45.55,43.58,43.72,43.81,0.11,0.2511,4.2554,1797924,80006420.4,4392000000.0,1855620000.0
2018-01-24,'002842,оХПьныр╣,43.81,43.88,42.83,43.33,44.26,-0.45,-1.0167,3.1341,1324147,57632387.14,4381000000.0,1850972500.0
2018-01-23,'002842,оХПьныр╣,44.26,45.9,41.83,42.58,42.33,1.93,4.5594,5.8281,2462355,107985180.36,4426000000.0,1869985000.0
2018-01-22,'002842,оХПьныр╣,42.33,42.33,40.58,41.44,41.45,0.88,2.123,2.807,1185973,49302705.64,4233000000.0,1788442500.0
2018-01-19,'002842,оХПьныр╣,41.45,42.22,41.0,41.2,41.41,0.04,0.0966,2.0607,870654,36199416.82,4145000000.0,1751262500.0
2018-01-18,'002842,оХПьныр╣,41.41,42.3,41.0,41.0,41.59,-0.18,-0.4328,4.3932,1098302,45705489.16,4141000000.0,1035250000.0
2018-01-17,'002842,оХПьныр╣,41.59,43.57,41.01,43.05,43.6,-2.01,-4.6101,8.0061,2001528,83682198.78,4159000000.0,1039750000.0
2018-01-16,'002842,оХПьныр╣,43.6,44.42,42.84,44.24,43.99,-0.39,-0.8866,8.7772,2194292,95536231.32,4360000000.0,1090000000.0
2018-01-15,'002842,оХПьныр╣,43.99,45.69,43.2,45.13,45.32,-1.33,-2.9347,8.914,2228504,98641976.64,4399000000.0,1099750000.0
2018-01-12,'002842,оХПьныр╣,45.32,47.55,45.0,46.2,46.2,-0.88,-1.9048,16.8349,4208726,195484862.92,4532000000.0,1133000000.0
