хуфз,╧иф╠╢ЗбК,цШЁф,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,©╙ел╪ш,г╟йуел,уг╣Ь╤Н,уг╣Ь╥Ы,╩╩йжбй,Ёи╫╩а©,Ёи╫╩╫П╤Н,вэйпж╣,аВм╗йпж╣
2018-04-13,'002213,ль ╤Ш ╪я,12.58,12.68,12.42,12.65,12.58,0.0,0.0,0.7927,1632944,20465347.54,2591480000.0,2591480000.0
2018-04-12,'002213,ль ╤Ш ╪я,12.58,12.82,12.52,12.82,12.83,-0.25,-1.9486,1.0727,2209746,27926332.14,2591480000.0,2591480000.0
2018-04-11,'002213,ль ╤Ш ╪я,12.83,12.98,12.53,12.7,12.65,0.18,1.4229,1.7612,3627978,46376188.45,2642980000.0,2642980000.0
2018-04-10,'002213,ль ╤Ш ╪я,12.65,13.38,12.51,13.1,13.38,-0.73,-5.4559,2.7671,5700300,73031561.97,2605900000.0,2605900000.0
2018-04-09,'002213,ль ╤Ш ╪я,13.38,14.2,13.29,14.2,14.14,-0.76,-5.3748,2.0627,4249200,57490399.0,2756280000.0,2756280000.0
2018-04-04,'002213,ль ╤Ш ╪я,14.14,14.98,14.06,14.28,15.27,-1.13,-7.4001,3.5293,7270365,104696777.32,2912840000.0,2912840000.0
2018-04-03,'002213,ль ╤Ш ╪я,15.27,16.48,15.25,15.7,14.98,0.29,1.9359,5.514,11358877,179707578.98,3145620000.0,3145620000.0
2018-04-02,'002213,ль ╤Ш ╪я,14.98,14.98,14.38,14.5,13.62,1.36,9.9853,2.2371,4608442,68404829.26,3085880000.0,3085880000.0
2018-03-30,'002213,ль ╤Ш ╪я,13.62,13.62,13.12,13.33,12.38,1.24,10.0162,1.0884,2242120,30429125.4,2805720000.0,2805720000.0
2018-03-29,'002213,ль ╤Ш ╪я,0.0,0.0,0.0,0.0,12.38,None,None,0.0,0,0.0,2550280000.0,2550280000.0
