хуфз,╧иф╠╢ЗбК,цШЁф,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,©╙ел╪ш,г╟йуел,уг╣Ь╤Н,уг╣Ь╥Ы,╩╩йжбй,Ёи╫╩а©,Ёи╫╩╫П╤Н,вэйпж╣,аВм╗йпж╣
2018-04-13,'002745,д╬ажи╜,20.46,20.73,20.11,20.5,20.54,-0.08,-0.3895,0.4788,5059452,103367587.22,21619178404.6,21619178404.6
2018-04-12,'002745,д╬ажи╜,20.54,21.25,20.23,21.0,21.31,-0.77,-3.6133,0.8016,8470290,175073120.24,21703710871.4,21703710871.4
2018-04-11,'002745,д╬ажи╜,21.31,21.87,20.0,21.87,21.67,-0.36,-1.6613,0.8727,9221918,195957718.4,22517335865.2,22517335865.2
2018-04-10,'002745,д╬ажи╜,43.59,43.99,41.88,43.21,42.89,0.7,1.6321,0.9077,4795551,205797630.48,23029813945.6,23029813945.6
2018-04-09,'002745,д╬ажи╜,42.89,44.0,42.05,43.45,43.48,-0.59,-1.3569,0.6696,3537823,152338308.64,22659984403.0,22659984403.0
2018-04-04,'002745,д╬ажи╜,43.48,44.47,43.1,44.1,43.4,0.08,0.1843,0.85,4490807,196315902.15,22971697874.6,22971697874.6
2018-04-03,'002745,д╬ажи╜,43.4,44.0,42.0,42.5,43.4,0.0,0.0,0.9571,5056525,218182370.38,22929431641.2,22929431641.2
2018-04-02,'002745,д╬ажи╜,43.4,44.48,41.85,42.0,41.41,1.99,4.8056,1.7483,9236884,396184049.36,22929431641.2,22929431641.2
2018-03-30,'002745,д╬ажи╜,41.41,41.9,38.91,39.7,38.88,2.53,6.5072,1.2094,6389573,257212304.55,21878059084.4,21878059084.4
2018-03-29,'002745,д╬ажи╜,38.88,39.27,38.38,38.8,38.9,-0.02,-0.0514,0.3692,1950654,75631856.7,20541389451.8,20541389451.8
2018-03-28,'002745,д╬ажи╜,38.9,39.47,38.52,38.85,39.38,-0.48,-1.2189,0.4663,2463656,96070927.88,20551956010.2,20551956010.2
2018-03-27,'002745,д╬ажи╜,39.38,40.05,38.9,39.4,38.9,0.48,1.2339,0.8285,4377448,172460148.16,20805553410.8,20805553410.8
2018-03-26,'002745,д╬ажи╜,38.9,38.97,37.34,37.34,38.6,0.3,0.7772,0.4728,2497718,95632700.83,20551956010.2,20551956010.2
2018-03-23,'002745,д╬ажи╜,38.6,39.7,37.24,39.25,40.7,-2.1,-5.1597,0.8854,4678078,181272739.94,20393457634.8,20393457634.8
2018-03-22,'002745,д╬ажи╜,40.7,41.45,40.09,41.01,41.31,-0.61,-1.4766,0.8159,4310805,174557610.18,21502946262.6,21502946262.6
2018-03-21,'002745,д╬ажи╜,41.31,41.7,40.68,41.48,41.49,-0.18,-0.4338,0.847,4474754,183912984.89,21825226292.6,21825226292.6
2018-03-20,'002745,д╬ажи╜,41.49,41.93,39.66,39.66,40.44,1.05,2.5964,0.8554,4519091,185321760.92,21920325317.8,21920325317.8
2018-03-19,'002745,д╬ажи╜,40.44,40.66,39.4,39.78,39.78,0.66,1.6591,0.4538,2397539,96542349.27,21365581003.9,21365581003.9
2018-03-16,'002745,д╬ажи╜,39.78,40.66,39.76,40.02,40.0,-0.22,-0.55,0.3672,1939778,78158257.64,21016884578.0,21016884578.0
2018-03-15,'002745,д╬ажи╜,40.0,41.12,39.13,40.98,41.17,-1.17,-2.8419,0.7741,4089906,163663424.32,21133116720.0,21133116720.0
2018-03-14,'002745,д╬ажи╜,41.17,41.86,40.71,41.16,41.48,-0.31,-0.7473,0.696,3677413,151646614.32,21751260384.1,21751260384.1
