»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2018-04-13,'300442,∆’¿ˆ ¢,20.02,20.35,19.83,19.83,19.86,0.16,0.8056,1.4943,880010,17686947.76,2002000000.0,1179027850.0
2018-04-12,'300442,∆’¿ˆ ¢,19.86,20.27,19.7,20.0,20.07,-0.21,-1.0463,1.2008,707191,14162159.55,1986000000.0,1169605050.0
2018-04-11,'300442,∆’¿ˆ ¢,20.07,20.28,19.6,19.6,19.61,0.46,2.3457,1.0869,640081,12818367.9,2007000000.0,1181972475.0
2018-04-10,'300442,∆’¿ˆ ¢,19.61,20.11,19.25,20.03,20.1,-0.49,-2.4378,1.2657,745400,14687588.0,1961000000.0,1154881925.0
2018-04-09,'300442,∆’¿ˆ ¢,20.1,20.39,19.81,20.08,20.22,-0.12,-0.5935,0.917,540017,10847090.64,2010000000.0,1183739250.0
2018-04-04,'300442,∆’¿ˆ ¢,20.22,20.65,20.01,20.04,20.01,0.21,1.0495,1.7881,1053031,21461962.2,2022000000.0,1190806350.0
2018-04-03,'300442,∆’¿ˆ ¢,20.01,20.04,19.51,19.81,19.95,0.06,0.3008,1.3841,815131,16149439.39,2001000000.0,1178438925.0
2018-04-02,'300442,∆’¿ˆ ¢,19.95,20.19,19.9,20.19,19.99,-0.04,-0.2001,1.536,904600,18116088.0,1995000000.0,1174905375.0
2018-03-30,'300442,∆’¿ˆ ¢,19.99,20.2,19.6,19.76,19.74,0.25,1.2665,1.6714,984300,19652449.6,1999000000.0,1177261075.0
2018-03-29,'300442,∆’¿ˆ ¢,19.74,20.98,19.05,19.14,19.27,0.47,2.439,2.8681,1689070,33784032.9,1974000000.0,1162537950.0
2018-03-28,'300442,∆’¿ˆ ¢,19.27,19.45,18.65,18.88,19.14,0.13,0.6792,1.6873,993700,18990427.0,1927000000.0,1134858475.0
2018-03-27,'300442,∆’¿ˆ ¢,19.14,19.48,18.75,18.97,18.78,0.36,1.9169,2.2043,1298170,24775914.85,1914000000.0,1127202450.0
2018-03-26,'300442,∆’¿ˆ ¢,18.78,19.0,17.77,17.9,18.02,0.76,4.2175,1.562,919880,16913521.2,1878000000.0,1106001150.0
2018-03-23,'300442,∆’¿ˆ ¢,18.02,18.97,17.51,18.71,19.26,-1.24,-6.4382,2.1395,1260008,22882426.38,1802000000.0,1061242850.0
2018-03-22,'300442,∆’¿ˆ ¢,19.26,19.42,19.03,19.21,19.21,0.05,0.2603,0.6334,373038,7169602.88,1926000000.0,1134269550.0
2018-03-21,'300442,∆’¿ˆ ¢,19.21,19.58,19.2,19.31,19.32,-0.11,-0.5694,0.8049,474000,9204469.0,1921000000.0,1131324925.0
2018-03-20,'300442,∆’¿ˆ ¢,19.32,19.33,18.96,19.33,19.38,-0.06,-0.3096,0.7468,439820,8407265.38,1932000000.0,1137803100.0
2018-03-19,'300442,∆’¿ˆ ¢,19.38,19.55,19.02,19.3,19.37,0.01,0.0516,0.9587,564580,10882504.0,1938000000.0,1141336650.0
2018-03-16,'300442,∆’¿ˆ ¢,19.37,19.82,18.63,18.65,18.65,0.72,3.8606,2.3242,1368781,26620218.7,1937000000.0,1140747725.0
2018-03-15,'300442,∆’¿ˆ ¢,18.65,18.94,18.47,18.89,18.92,-0.27,-1.4271,0.8534,502588,9387304.4,1865000000.0,1098345125.0
2018-03-14,'300442,∆’¿ˆ ¢,18.92,19.31,18.77,19.3,19.43,-0.51,-2.6248,1.1913,701570,13337688.52,1892000000.0,1114246100.0
2018-03-13,'300442,∆’¿ˆ ¢,19.43,19.79,19.43,19.5,19.52,-0.09,-0.4611,0.8551,503600,9879131.29,1943000000.0,1144281275.0
2018-03-12,'300442,∆’¿ˆ ¢,19.52,19.79,19.1,19.1,19.25,0.27,1.4026,1.0524,619791,12067246.1,1952000000.0,1149581600.0
2018-03-09,'300442,∆’¿ˆ ¢,19.25,19.37,18.76,18.76,18.76,0.49,2.6119,1.183,696691,13380490.27,1925000000.0,1133680625.0
2018-03-08,'300442,∆’¿ˆ ¢,18.76,18.76,18.51,18.51,18.62,0.14,0.7519,0.4992,293994,5493571.68,1876000000.0,1104823300.0
2018-03-07,'300442,∆’¿ˆ ¢,18.62,18.87,18.58,18.87,18.74,-0.12,-0.6403,0.2968,174800,3261145.6,1862000000.0,1096578350.0
2018-03-06,'300442,∆’¿ˆ ¢,18.74,18.83,18.59,18.59,18.67,0.07,0.3749,0.5283,311104,5817535.48,1874000000.0,1103645450.0
2018-03-05,'300442,∆’¿ˆ ¢,18.67,18.7,18.5,18.5,18.57,0.1,0.5385,0.5718,336719,6264401.63,1867000000.0,1099522975.0
2018-03-02,'300442,∆’¿ˆ ¢,18.57,18.77,18.43,18.77,18.87,-0.3,-1.5898,0.7592,447100,8324776.0,1857000000.0,1093633725.0
2018-03-01,'300442,∆’¿ˆ ¢,18.87,19.0,18.1,18.24,18.38,0.49,2.6659,1.3404,789402,14709958.47,1887000000.0,1111301475.0
2018-02-28,'300442,∆’¿ˆ ¢,18.38,18.42,18.01,18.11,18.23,0.15,0.8228,0.7073,416519,7597589.19,1838000000.0,1082444150.0
2018-02-27,'300442,∆’¿ˆ ¢,18.23,18.39,18.09,18.29,18.28,-0.05,-0.2735,0.7638,449801,8204024.18,1823000000.0,1073610275.0
2018-02-26,'300442,∆’¿ˆ ¢,18.28,18.35,17.86,17.97,17.88,0.4,2.2371,0.8843,520781,9468254.39,1828000000.0,1076554900.0
2018-02-23,'300442,∆’¿ˆ ¢,17.88,18.03,17.72,18.02,17.96,-0.08,-0.4454,0.5858,344988,6166299.92,1788000000.0,1052997900.0
2018-02-22,'300442,∆’¿ˆ ¢,17.96,18.07,17.66,17.84,17.84,0.12,0.6726,0.5213,307025,5503977.81,1796000000.0,1057709300.0
2018-02-14,'300442,∆’¿ˆ ¢,17.84,17.9,17.5,17.54,17.55,0.29,1.6524,0.54,317991,5613208.06,1784000000.0,1050642200.0
2018-02-13,'300442,∆’¿ˆ ¢,17.55,17.89,17.52,17.89,17.73,-0.18,-1.0152,0.4305,253542,4471735.0,1755000000.0,1033563375.0
2018-02-12,'300442,∆’¿ˆ ¢,17.73,17.89,17.31,17.39,17.22,0.51,2.9617,0.4691,276246,4876290.36,1773000000.0,1044164025.0
2018-02-09,'300442,∆’¿ˆ ¢,17.22,17.96,16.6,16.88,17.27,-0.05,-0.2895,1.2188,717804,12496932.28,1722000000.0,1014128850.0
2018-02-08,'300442,∆’¿ˆ ¢,17.27,17.6,17.0,17.03,17.07,0.2,1.1716,0.6334,373039,6472321.7,1727000000.0,1017073475.0
2018-02-07,'300442,∆’¿ˆ ¢,17.07,17.25,16.68,16.9,16.64,0.43,2.5841,1.0246,603395,10252356.5,1707000000.0,1005294975.0
2018-02-06,'300442,∆’¿ˆ ¢,16.64,17.9,16.64,17.9,18.13,-1.49,-8.2184,1.2821,755046,13098208.47,1664000000.0,979971200.0
2018-02-05,'300442,∆’¿ˆ ¢,18.13,18.41,17.82,18.21,18.22,-0.09,-0.494,0.5955,350700,6363678.0,1813000000.0,1067721025.0
2018-02-02,'300442,∆’¿ˆ ¢,18.22,18.42,17.7,18.35,18.3,-0.08,-0.4372,0.6808,400940,7285873.4,1822000000.0,1073021350.0
2018-02-01,'300442,∆’¿ˆ ¢,18.3,19.49,18.27,19.26,19.43,-1.13,-5.8157,1.3233,779325,14650387.25,1830000000.0,1077732750.0
2018-01-31,'300442,∆’¿ˆ ¢,19.43,20.5,19.36,20.43,20.56,-1.13,-5.4961,1.5128,890900,17657010.0,1943000000.0,1144281275.0
