»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2018-04-13,'002253,¥®¥Û÷« §,18.93,18.94,18.62,18.69,18.63,0.3,1.6103,1.9526,4405478,82870362.32,4271101978.35,4271101978.35
2018-04-12,'002253,¥®¥Û÷« §,18.63,19.09,18.6,18.98,18.9,-0.27,-1.4286,2.3799,5369697,101155873.2,4203414149.85,4203414149.85
2018-04-11,'002253,¥®¥Û÷« §,18.9,18.95,18.2,18.49,18.25,0.65,3.5616,2.686,6060357,112700875.29,4264333195.5,4264333195.5
2018-04-10,'002253,¥®¥Û÷« §,18.25,18.63,17.91,18.45,18.38,-0.13,-0.7073,1.7155,3870672,70421681.39,4117676233.75,4117676233.75
2018-04-09,'002253,¥®¥Û÷« §,18.38,18.69,18.0,18.08,18.3,0.08,0.4372,2.0227,4563742,83603687.1,4147007626.1,4147007626.1
2018-04-04,'002253,¥®¥Û÷« §,18.3,18.88,18.15,18.64,18.5,-0.2,-1.0811,1.8031,4068261,75129110.78,4128957538.5,4128957538.5
2018-04-03,'002253,¥®¥Û÷« §,18.5,18.98,18.31,18.7,19.0,-0.5,-2.6316,2.7572,6220874,115676369.31,4174082757.5,4174082757.5
2018-04-02,'002253,¥®¥Û÷« §,19.0,19.45,18.18,18.8,18.51,0.49,2.6472,5.3755,12128571,228705648.39,4286895805.0,4286895805.0
2018-03-30,'002253,¥®¥Û÷« §,18.51,18.68,17.47,17.5,17.38,1.13,6.5017,3.6107,8146592,146914635.15,4176339018.45,4176339018.45
2018-03-29,'002253,¥®¥Û÷« §,17.38,17.88,17.13,17.42,17.42,-0.04,-0.2296,1.5536,3505385,61223115.08,3921381531.1,3921381531.1
2018-03-28,'002253,¥®¥Û÷« §,17.42,17.6,16.82,17.0,17.19,0.23,1.338,2.0334,4587837,79635203.45,3930406574.9,3930406574.9
2018-03-27,'002253,¥®¥Û÷« §,17.19,17.47,16.68,16.68,16.49,0.7,4.245,2.0571,4641381,79409172.14,3878512573.05,3878512573.05
2018-03-26,'002253,¥®¥Û÷« §,16.49,16.54,15.21,15.85,16.22,0.27,1.6646,1.6419,3704602,59254483.62,3720574306.55,3720574306.55
2018-03-23,'002253,¥®¥Û÷« §,16.22,17.38,16.19,17.31,17.99,-1.77,-9.8388,2.8063,6331834,106216237.11,3659655260.9,3659655260.9
2018-03-22,'002253,¥®¥Û÷« §,17.99,18.03,17.38,17.56,17.61,0.38,2.1579,1.8972,4280671,76146085.98,4059013449.05,4059013449.05
2018-03-21,'002253,¥®¥Û÷« §,17.61,18.14,17.6,17.9,17.79,-0.18,-1.0118,1.7998,4060758,72864857.81,3973275532.95,3973275532.95
2018-03-20,'002253,¥®¥Û÷« §,17.79,17.83,17.36,17.5,17.66,0.13,0.7361,1.2419,2801985,49432058.05,4013888230.05,4013888230.05
2018-03-19,'002253,¥®¥Û÷« §,17.66,17.91,17.41,17.56,17.57,0.09,0.5122,1.1178,2522150,44726462.5,3984556837.7,3984556837.7
2018-03-16,'002253,¥®¥Û÷« §,17.57,17.87,17.5,17.5,17.6,-0.03,-0.1705,1.1861,2676244,47430217.72,3964250489.15,3964250489.15
2018-03-15,'002253,¥®¥Û÷« §,17.6,17.89,17.09,17.74,17.96,-0.36,-2.0045,1.8149,4095000,71653753.5,3971019272.0,3971019272.0
2018-03-14,'002253,¥®¥Û÷« §,17.96,18.5,17.96,18.06,18.3,-0.34,-1.8579,1.5649,3530737,64154239.03,4052244666.2,4052244666.2
