日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-04-13,'300339,润和软件,11.82,11.96,11.44,11.56,11.37,0.45,3.9578,3.697,21063896,246239106.43,9413576140.62,6734522397.36
2018-04-12,'300339,润和软件,11.37,11.68,11.32,11.36,11.48,-0.11,-0.9582,2.0778,11838198,135968132.44,9055191262.17,6478131950.76
2018-04-11,'300339,润和软件,11.48,11.67,11.3,11.35,11.38,0.1,0.8787,2.0904,11909995,137027766.53,9142796454.68,6540805171.04
2018-04-10,'300339,润和软件,11.38,11.54,11.02,11.54,11.45,-0.07,-0.6114,2.3011,13110391,147220711.26,9063155370.58,6483829516.24
2018-04-09,'300339,润和软件,11.45,11.58,11.11,11.2,11.25,0.2,1.7778,1.8176,10356068,117909882.88,9118904129.45,6523712474.6
2018-04-04,'300339,润和软件,11.25,11.7,11.22,11.66,11.67,-0.42,-3.599,1.9275,10982249,125597578.71,8959621961.25,6409761165.0
2018-04-03,'300339,润和软件,11.67,11.67,11.28,11.49,11.79,-0.12,-1.0178,2.7802,15840628,182350268.39,9294114514.47,6649058915.16
2018-04-02,'300339,润和软件,11.79,12.44,11.72,11.95,11.84,-0.05,-0.4223,5.3455,30456216,366980052.61,9389683815.39,6717429700.92
2018-03-30,'300339,润和软件,11.84,11.94,11.4,11.53,11.42,0.42,3.6778,4.1638,23723667,277497078.93,9429504357.44,6745917528.32
2018-03-29,'300339,润和软件,11.42,11.65,11.13,11.25,11.28,0.14,1.2411,3.2593,18570040,211653656.9,9095011804.22,6506619778.16
2018-03-28,'300339,润和软件,11.28,11.38,11.03,11.24,11.44,-0.16,-1.3986,3.3477,19073550,214366249.01,8983514286.48,6426853861.44
2018-03-27,'300339,润和软件,11.44,11.44,10.43,10.53,10.4,1.04,10.0,4.1075,23402968,257757305.9,9110940021.04,6518014909.12
2018-03-26,'300339,润和软件,10.4,10.49,9.62,9.92,10.14,0.26,2.5641,2.1276,12122230,123648483.98,8282672746.4,5925468099.2
2018-03-23,'300339,润和软件,10.14,10.88,9.95,10.66,11.04,-0.9,-8.1522,3.1026,17677465,185786107.41,8075605927.74,5777331396.72
2018-03-22,'300339,润和软件,11.04,11.26,10.5,10.5,10.79,0.25,2.317,3.5833,20416194,224077530.52,8792375684.64,6290112289.92
2018-03-21,'300339,润和软件,10.79,11.02,10.43,10.67,10.55,0.24,2.2749,2.919,16630987,179359361.63,8593272974.39,6147673152.92
2018-03-20,'300339,润和软件,10.55,10.6,10.31,10.52,10.66,-0.11,-1.0319,1.0707,6100335,63717848.2,8402134372.55,6010931581.4
2018-03-19,'300339,润和软件,10.66,10.84,10.41,10.54,10.57,0.09,0.8515,1.3671,7789377,83231154.32,8489739565.06,6073604801.68
2018-03-16,'300339,润和软件,10.57,10.77,10.45,10.45,10.51,0.06,0.5709,1.4857,8465006,90128108.0,8418062589.37,6022326712.36
2018-03-15,'300339,润和软件,10.51,10.58,10.19,10.48,10.52,-0.01,-0.0951,1.1789,6716674,69880840.57,8370277938.91,5988141319.48
2018-03-14,'300339,润和软件,10.52,10.78,10.49,10.73,10.87,-0.35,-3.2199,1.2623,7192247,76570853.57,8378242047.32,5993838884.96
2018-03-13,'300339,润和软件,10.87,11.1,10.51,10.65,10.71,0.16,1.4939,2.7908,15900888,171888894.58,8656985841.67,6193253676.76
2018-03-12,'300339,润和软件,10.71,10.96,10.57,10.69,10.63,0.08,0.7526,2.3066,13141873,141379407.72,8529560107.11,6102092629.08
2018-03-09,'300339,润和软件,10.63,10.84,10.31,10.52,10.38,0.25,2.4085,2.4922,14199222,150111466.5,8465847239.83,6056512105.24
2018-03-08,'300339,润和软件,10.38,10.7,10.04,10.14,10.16,0.22,2.1654,1.9676,11210778,116321495.4,8266744529.58,5914072968.24
2018-03-07,'300339,润和软件,10.16,10.32,10.06,10.09,10.12,0.04,0.3953,0.774,4410000,44863890.0,8091534144.56,5788726527.68
2018-03-06,'300339,润和软件,10.12,10.36,10.01,10.21,10.25,-0.13,-1.2683,1.2036,6857600,69777552.0,8059677710.92,5765936265.76
2018-03-05,'300339,润和软件,10.25,10.47,9.98,10.28,10.01,0.24,2.3976,1.4834,8452019,86244977.26,8167126620.25,5840004617.0
2018-03-02,'300339,润和软件,10.01,10.23,9.85,9.9,10.01,0.0,0.0,1.7215,9808216,98541118.02,7975896338.41,5703263045.48
2018-03-01,'300339,润和软件,10.01,10.1,9.36,9.4,9.46,0.55,5.814,1.7299,9856322,96353421.13,7975896338.41,5703263045.48
2018-02-28,'300339,润和软件,9.46,9.64,9.27,9.39,9.48,-0.02,-0.211,0.7793,4440245,42172823.51,7537660275.86,5389896944.08
2018-02-27,'300339,润和软件,9.48,9.66,9.43,9.47,9.47,0.01,0.1056,0.6329,3605985,34332256.73,7553596132.68,5401292075.04
2018-02-26,'300339,润和软件,9.47,9.51,9.28,9.38,9.27,0.2,2.1575,0.6743,3842050,36185933.97,7545628204.27,5395594509.56
2018-02-23,'300339,润和软件,9.27,9.41,9.24,9.32,9.37,-0.1,-1.0672,0.2525,1438518,13390246.5,7386269636.07,5281643199.96
2018-02-22,'300339,润和软件,9.37,9.4,9.26,9.29,9.31,0.06,0.6445,0.2992,1704800,15928905.0,7465948920.17,5338618854.76
2018-02-14,'300339,润和软件,9.31,9.39,9.03,9.2,9.25,0.06,0.6486,0.4226,2407800,22164145.68,7418141349.71,5304433461.88
2018-02-13,'300339,润和软件,9.25,9.32,9.1,9.22,9.21,0.04,0.4343,0.4366,2487820,22945498.1,7370333779.25,5270248069.0
2018-02-12,'300339,润和软件,9.21,9.32,9.0,9.05,9.03,0.18,1.9934,0.4956,2823918,25955625.6,7338462065.61,5247457807.08
2018-02-09,'300339,润和软件,9.03,9.06,8.68,8.82,9.09,-0.06,-0.6601,0.6938,3953114,35041491.13,7195039354.23,5144901628.44
2018-02-08,'300339,润和软件,9.09,9.13,8.85,8.99,9.04,0.05,0.5531,0.4574,2606350,23610238.18,7242846924.69,5179087021.32
2018-02-07,'300339,润和软件,9.04,9.1,8.51,9.05,8.94,0.1,1.1186,0.9769,5565697,49405585.19,7203007282.64,5150599193.92
2018-02-06,'300339,润和软件,8.94,9.23,8.78,9.23,9.33,-0.39,-4.1801,1.1413,6502555,58277290.13,7123327998.54,5093623539.12
2018-02-05,'300339,润和软件,9.33,9.44,9.21,9.21,9.38,-0.05,-0.533,0.5014,2856700,26645770.17,7434077206.53,5315828592.84
2018-02-02,'300339,润和软件,9.38,9.76,9.36,9.68,9.77,-0.39,-3.9918,0.8457,4818200,45981380.06,7473916848.58,5344316420.24
2018-02-01,'300339,润和软件,9.77,9.87,9.51,9.8,9.92,-0.15,-1.5121,0.8855,5045431,48929949.27,7784666056.57,5566521473.96
2018-01-31,'300339,润和软件,9.92,10.05,9.62,10.02,10.01,-0.09,-0.8991,1.7626,10042668,98448819.7,7904184982.72,5651984956.16
2018-01-30,'300339,润和软件,10.01,10.17,9.93,10.15,10.35,-0.34,-3.285,1.9396,11050897,110869282.56,7975896338.41,5703263045.48
2018-01-29,'300339,润和软件,10.35,11.3,10.26,11.0,10.78,-0.43,-3.9889,3.4026,19386295,209407509.72,8246805904.35,5896980271.8
2018-01-26,'300339,润和软件,10.78,10.99,10.74,10.76,10.77,0.01,0.0929,0.9366,5336490,57992809.83,8589426825.98,6141975587.44
2018-01-25,'300339,润和软件,10.77,11.17,10.76,10.8,10.84,-0.07,-0.6458,1.1211,6387528,69856635.94,7705576359.0,6136278021.96
2018-01-24,'300339,润和软件,10.84,10.89,10.5,10.51,10.54,0.3,2.8463,1.1236,6401959,68865986.28,7755659028.0,6176160980.32
2018-01-23,'300339,润和软件,10.54,10.77,10.5,10.6,10.59,-0.05,-0.4721,0.6128,3491196,37135287.96,7541019018.0,6005234015.92
2018-01-22,'300339,润和软件,10.59,10.76,10.28,10.46,10.43,0.16,1.534,1.0149,5782492,61082147.59,7576792353.0,6033721843.32
2018-01-19,'300339,润和软件,10.43,10.61,10.35,10.46,10.46,-0.03,-0.2868,0.5906,3364865,35363336.89,7462317681.0,5942560795.64
2018-01-18,'300339,润和软件,10.46,10.58,10.41,10.47,10.51,-0.05,-0.4757,0.4635,2641002,27709915.66,7483781682.0,5959653492.08
2018-01-17,'300339,润和软件,10.51,10.65,10.27,10.51,10.57,-0.06,-0.5676,0.9488,5320110,55664207.88,7519555017.0,5893088879.48
2018-01-16,'300339,润和软件,10.57,10.73,10.54,10.62,10.57,0.0,0.0,0.5681,3185273,33795755.26,7562483019.0,5926731632.36
2018-01-15,'300339,润和软件,10.57,11.1,10.56,11.07,11.2,-0.63,-5.625,1.1089,6217891,67372405.43,7562483019.0,5926731632.36
2018-01-12,'300339,润和软件,11.2,11.61,11.2,11.45,11.57,-0.37,-3.1979,1.5267,8560453,97319477.86,8013227040.0,6279980537.6
2018-01-11,'300339,润和软件,11.57,11.66,11.05,11.15,11.23,0.34,3.0276,2.2267,12485291,142420610.34,8277949719.0,6487444180.36
2018-01-10,'300339,润和软件,11.23,11.26,10.8,10.81,10.76,0.47,4.368,1.8163,10184465,112348107.64,8034691041.0,6296801914.04
