日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-04-13,'300508,维宏股份,68.08,69.09,67.1,67.11,67.06,1.02,1.521,5.4964,908627,61881621.87,3868305600.0,1125447500.0
2018-04-12,'300508,维宏股份,67.06,68.0,65.0,65.01,65.2,1.86,2.8528,6.5776,1087363,73001665.02,3810349200.0,1108585625.0
2018-04-11,'300508,维宏股份,65.2,65.86,64.43,64.82,64.61,0.59,0.9132,5.0343,832228,54357952.75,3704664000.0,1077837500.0
2018-04-10,'300508,维宏股份,64.61,68.0,63.8,67.0,70.6,-5.99,-8.4844,11.4886,1899201,124296663.88,3671140200.0,1068084062.5
2018-04-09,'300508,维宏股份,70.6,71.76,69.89,70.4,70.51,0.09,0.1276,5.7251,946433,66967208.38,4011492000.0,1167106250.0
2018-04-04,'300508,维宏股份,70.51,74.19,70.32,73.67,73.84,-3.33,-4.5098,9.672,1598907,115698709.2,4006378200.0,1165618437.5
2018-04-03,'300508,维宏股份,73.84,76.51,68.5,68.8,69.55,4.29,6.1682,13.4715,2227001,164092125.15,4195588800.0,1220667500.0
2018-04-02,'300508,维宏股份,69.55,71.88,69.13,71.11,69.9,-0.35,-0.5007,8.3393,1378594,96995338.89,3951831000.0,1149748437.5
2018-03-30,'300508,维宏股份,69.9,70.64,67.04,67.3,66.02,3.88,5.877,8.5968,1421153,97749624.06,3971718000.0,1155534375.0
2018-03-29,'300508,维宏股份,66.02,68.7,65.8,66.63,66.0,0.02,0.0303,5.9802,988605,66294292.24,3751256400.0,1091393125.0
2018-03-28,'300508,维宏股份,66.0,66.57,63.58,63.72,64.81,1.19,1.8361,5.528,913845,59777008.41,3750120000.0,1091062500.0
2018-03-27,'300508,维宏股份,64.81,65.18,62.6,62.6,62.33,2.48,3.9788,5.2829,873334,56079951.08,3682504200.0,1071390312.5
2018-03-26,'300508,维宏股份,62.33,62.4,59.14,59.9,61.16,1.17,1.913,4.2522,702943,43030647.48,3541590600.0,1030392812.5
2018-03-23,'300508,维宏股份,61.16,65.5,60.83,64.94,67.55,-6.39,-9.4597,6.0887,1006538,63491229.56,3475111200.0,1011051250.0
2018-03-22,'300508,维宏股份,67.55,68.5,66.0,66.06,66.65,0.9,1.3503,4.2843,708255,47616233.01,3838191000.0,1116685937.5
2018-03-21,'300508,维宏股份,66.65,68.98,66.56,66.96,66.83,-0.18,-0.2693,4.4511,735826,50014104.77,3787053000.0,1101807812.5
2018-03-20,'300508,维宏股份,66.83,67.26,65.69,67.0,67.66,-0.83,-1.2267,3.3918,560706,37296423.27,3797280600.0,1104783437.5
2018-03-19,'300508,维宏股份,67.66,67.96,65.3,65.3,65.3,2.36,3.6141,4.3504,719182,48289508.83,3844441200.0,1118504375.0
2018-03-16,'300508,维宏股份,65.3,66.6,65.29,65.61,65.62,-0.32,-0.4877,3.4856,576216,38055195.45,3710346000.0,1079490625.0
2018-03-15,'300508,维宏股份,65.62,68.34,63.7,68.02,68.0,-2.38,-3.5,6.562,1084785,71101317.16,3728528400.0,1084780625.0
