»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2018-04-13,'002808,À’÷›∫„æ√,12.63,13.11,12.51,12.81,12.92,-0.29,-2.2446,1.7977,1605501,20546888.85,2424960000.0,1127994393.6
2018-04-12,'002808,À’÷›∫„æ√,12.92,13.19,12.66,12.77,12.88,0.04,0.3106,2.4754,2210790,28563747.8,2480640000.0,1153894502.4
2018-04-11,'002808,À’÷›∫„æ√,12.88,13.63,12.45,12.52,12.53,0.35,2.7933,4.5132,4030799,52315150.05,2472960000.0,1150322073.6
2018-04-10,'002808,À’÷›∫„æ√,12.53,12.73,12.31,12.5,12.68,-0.15,-1.183,2.4651,2201590,27482210.1,2405760000.0,1119063321.6
2018-04-09,'002808,À’÷›∫„æ√,12.68,12.7,11.86,12.19,12.3,0.38,3.0894,2.4316,2171722,26799671.7,2434560000.0,1132459929.6
2018-04-04,'002808,À’÷›∫„æ√,12.3,12.78,11.94,11.95,11.95,0.35,2.9289,2.6139,2334455,28728249.46,2361600000.0,1098521856.0
2018-04-03,'002808,À’÷›∫„æ√,11.95,11.95,11.68,11.88,12.02,-0.07,-0.5824,1.6685,1490131,17560202.8,2294400000.0,1067263104.0
2018-04-02,'002808,À’÷›∫„æ√,12.02,12.28,12.0,12.28,12.3,-0.28,-2.2764,1.8342,1638106,19869357.14,2307840000.0,1073514854.4
2018-03-30,'002808,À’÷›∫„æ√,12.3,12.36,12.17,12.17,12.29,0.01,0.0814,1.5238,1360880,16678647.4,2361600000.0,1098521856.0
2018-03-29,'002808,À’÷›∫„æ√,12.29,12.51,11.85,11.85,11.9,0.39,3.2773,2.3657,2112810,25753634.51,2359680000.0,1097628748.8
2018-03-28,'002808,À’÷›∫„æ√,11.9,12.42,11.85,11.89,12.31,-0.41,-3.3306,2.7798,2482646,30008515.7,2284800000.0,1062797568.0
2018-03-27,'002808,À’÷›∫„æ√,12.31,12.85,12.27,12.59,12.02,0.29,2.4126,5.3726,4798321,60357981.86,2363520000.0,1099414963.2
2018-03-26,'002808,À’÷›∫„æ√,12.02,12.02,10.45,10.77,10.93,1.09,9.9726,2.614,2334618,26972770.99,2307840000.0,1073514854.4
2018-03-23,'002808,À’÷›∫„æ√,10.93,11.65,10.55,11.65,11.65,-0.72,-6.1803,1.06,946722,10393867.54,2098560000.0,976166169.6
2018-03-22,'002808,À’÷›∫„æ√,11.65,11.93,11.53,11.62,11.61,0.04,0.3445,0.7609,679573,7955575.42,2236800000.0,1040469888.0
2018-03-21,'002808,À’÷›∫„æ√,11.61,11.78,11.36,11.36,11.52,0.09,0.7813,0.8446,754289,8784989.16,2229120000.0,1036897459.2
2018-03-20,'002808,À’÷›∫„æ√,11.52,11.6,11.22,11.22,11.32,0.2,1.7668,0.7041,628880,7174678.38,2211840000.0,1028859494.4
2018-03-19,'002808,À’÷›∫„æ√,11.32,11.39,11.12,11.2,11.2,0.12,1.0714,0.4466,398865,4502948.55,2173440000.0,1010997350.4
2018-03-16,'002808,À’÷›∫„æ√,11.2,11.35,11.1,11.19,11.2,0.0,0.0,0.5645,504200,5654486.0,2150400000.0,1000280064.0
2018-03-15,'002808,À’÷›∫„æ√,11.2,11.48,11.07,11.48,11.55,-0.35,-3.0303,0.7343,655800,7374558.8,2150400000.0,1000280064.0
2018-03-14,'002808,À’÷›∫„æ√,11.55,12.08,11.54,11.89,11.83,-0.28,-2.3669,0.8665,773862,9136087.4,2217600000.0,1031538816.0
2018-03-13,'002808,À’÷›∫„æ√,11.83,11.83,11.56,11.74,11.82,0.01,0.0846,0.8603,768360,9021228.2,2271360000.0,1056545817.6
2018-03-12,'002808,À’÷›∫„æ√,11.82,11.89,11.45,11.45,11.45,0.37,3.2314,1.5012,1340714,15744760.82,2269440000.0,1055652710.4
2018-03-09,'002808,À’÷›∫„æ√,11.45,11.59,11.26,11.33,11.26,0.19,1.6874,1.3652,1219254,14001420.47,2198400000.0,1022607744.0
2018-03-08,'002808,À’÷›∫„æ√,11.26,11.41,11.16,11.27,11.28,-0.02,-0.1773,0.5228,466960,5251089.6,2161920000.0,1005638707.2
2018-03-07,'002808,À’÷›∫„æ√,11.28,11.56,11.22,11.49,11.49,-0.21,-1.8277,0.9793,874655,9973286.9,2165760000.0,1007424921.6
2018-03-06,'002808,À’÷›∫„æ√,11.49,11.67,11.36,11.48,11.34,0.15,1.3228,1.0547,941984,10838723.39,2206080000.0,1026180172.8
2018-03-05,'002808,À’÷›∫„æ√,11.34,11.57,11.04,11.1,11.29,0.05,0.4429,1.1889,1061850,12106857.1,2177280000.0,1012783564.8
2018-03-02,'002808,À’÷›∫„æ√,11.29,11.73,11.24,11.36,11.42,-0.13,-1.1384,1.3032,1163929,13351694.57,2167680000.0,1008318028.8
2018-03-01,'002808,À’÷›∫„æ√,11.42,11.45,10.8,10.8,10.91,0.51,4.6746,1.8596,1660799,18812498.99,2192640000.0,1019928422.4
2018-02-28,'002808,À’÷›∫„æ√,10.91,11.05,10.5,10.68,10.7,0.21,1.9626,1.2711,1135220,12386203.66,2094720000.0,974379955.2
2018-02-27,'002808,À’÷›∫„æ√,10.7,10.72,10.52,10.6,10.52,0.18,1.711,0.9525,850688,9069842.32,2054400000.0,955624704.0
2018-02-26,'002808,À’÷›∫„æ√,10.52,10.53,10.18,10.19,10.21,0.31,3.0362,0.8115,724740,7571379.8,2019840000.0,939548774.4
2018-02-23,'002808,À’÷›∫„æ√,10.21,10.25,10.08,10.25,10.17,0.04,0.3933,0.284,253633,2584746.48,1960320000.0,911862451.2
2018-02-22,'002808,À’÷›∫„æ√,10.17,10.26,10.03,10.08,10.02,0.15,1.497,0.3312,295776,3010381.76,1952640000.0,908290022.4
2018-02-14,'002808,À’÷›∫„æ√,10.02,10.08,9.95,9.99,9.95,0.07,0.7035,0.3044,271860,2723748.2,1923840000.0,894893414.4
2018-02-13,'002808,À’÷›∫„æ√,9.95,10.19,9.95,10.19,10.07,-0.12,-1.1917,0.5377,480240,4832348.04,1910400000.0,888641664.0
2018-02-12,'002808,À’÷›∫„æ√,10.07,10.14,9.81,9.88,9.81,0.26,2.6504,0.4497,401640,4024837.6,1933440000.0,899358950.4
2018-02-09,'002808,À’÷›∫„æ√,9.81,10.0,9.7,10.0,10.13,-0.32,-3.1589,0.429,383140,3785890.6,1883520000.0,876138163.2
2018-02-08,'002808,À’÷›∫„æ√,10.13,10.19,9.9,10.0,10.01,0.12,1.1988,0.3679,328560,3322946.72,1944960000.0,904717593.6
2018-02-07,'002808,À’÷›∫„æ√,10.01,10.1,9.52,10.01,9.86,0.15,1.5213,0.6746,602448,5983358.32,1921920000.0,894000307.2
2018-02-06,'002808,À’÷›∫„æ√,9.86,10.39,9.7,10.1,10.5,-0.64,-6.0952,0.8961,800343,8072807.3,1893120000.0,880603699.2
2018-02-05,'002808,À’÷›∫„æ√,10.5,10.72,10.49,10.7,10.73,-0.23,-2.1435,0.5954,531728,5635267.6,2016000000.0,937762560.0
2018-02-02,'002808,À’÷›∫„æ√,10.73,10.86,10.57,10.86,10.86,-0.13,-1.1971,0.7662,684340,7330755.2,2060160000.0,958304025.6
2018-02-01,'002808,À’÷›∫„æ√,10.86,11.32,10.81,11.22,11.32,-0.46,-4.0636,1.2591,1124500,12373290.6,2085120000.0,969914419.2
2018-01-31,'002808,À’÷›∫„æ√,11.32,11.8,11.22,11.68,11.76,-0.44,-3.7415,0.8622,770028,8822656.59,2173440000.0,1010997350.4
2018-01-30,'002808,À’÷›∫„æ√,11.76,12.0,11.65,11.65,11.78,-0.02,-0.1698,0.3595,321048,3781674.0,2257920000.0,1050294067.2
2018-01-29,'002808,À’÷›∫„æ√,11.78,12.0,11.7,11.89,11.9,-0.12,-1.0084,0.5975,533620,6309251.8,2261760000.0,1052080281.6
2018-01-26,'002808,À’÷›∫„æ√,11.9,12.12,11.86,12.05,12.04,-0.14,-1.1628,0.7602,678934,8144517.84,2284800000.0,1062797568.0
2018-01-25,'002808,À’÷›∫„æ√,12.04,12.24,12.02,12.14,12.16,-0.12,-0.9868,0.8266,738248,8932572.44,2311680000.0,1075301068.8
2018-01-24,'002808,À’÷›∫„æ√,12.16,12.25,11.92,12.25,12.14,0.02,0.1647,1.1355,1014100,12245325.8,2334720000.0,1086018355.2
