日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-04-13,'300509,新美星,33.72,34.45,32.1,33.68,33.15,0.57,1.7195,11.423,3004242,101166494.48,2697600000.0,886836000.0
2018-04-12,'300509,新美星,33.15,35.45,32.56,34.04,33.36,-0.21,-0.6295,17.899,4707446,160408078.86,2652000000.0,871845000.0
2018-04-11,'300509,新美星,33.36,33.5,30.64,30.94,30.54,2.82,9.2338,14.577,3833755,123244646.49,2668800000.0,877368000.0
2018-04-10,'300509,新美星,30.54,31.26,29.6,30.7,30.47,0.07,0.2297,7.16,1883071,57501149.56,2443200000.0,803202000.0
2018-04-09,'300509,新美星,30.47,30.58,29.01,29.02,29.65,0.82,2.7656,7.9366,2087332,62836375.04,2437600000.0,801361000.0
2018-04-04,'300509,新美星,29.65,30.45,29.0,29.0,28.93,0.72,2.4888,7.047,1853371,54956109.64,2372000000.0,779795000.0
2018-04-03,'300509,新美星,28.93,29.31,28.51,29.31,29.76,-0.83,-2.789,5.8194,1530500,44162373.0,2314400000.0,760859000.0
2018-04-02,'300509,新美星,29.76,30.4,29.6,29.82,29.64,0.12,0.4049,6.0897,1601600,47986769.9,2380800000.0,782688000.0
2018-03-30,'300509,新美星,29.64,30.01,29.05,29.27,29.04,0.6,2.0661,7.0228,1847006,54763568.56,2371200000.0,779532000.0
2018-03-29,'300509,新美星,29.04,30.19,28.68,29.3,29.29,-0.25,-0.8535,6.2763,1650666,48430138.58,2323200000.0,763752000.0
2018-03-28,'300509,新美星,29.29,29.5,28.38,28.55,29.04,0.25,0.8609,7.0889,1864371,54114335.89,2343200000.0,770327000.0
2018-03-27,'300509,新美星,29.04,29.49,28.26,28.26,28.0,1.04,3.7143,9.3673,2463603,71462740.47,2323200000.0,763752000.0
2018-03-26,'300509,新美星,28.0,28.2,26.5,28.0,27.81,0.19,0.6832,8.3844,2205088,60612644.82,2240000000.0,736400000.0
2018-03-23,'300509,新美星,27.81,29.48,27.81,28.51,30.9,-3.09,-10.0,13.9212,3661285,104263625.62,2224800000.0,731403000.0
2018-03-22,'300509,新美星,30.9,33.3,30.55,33.3,30.62,0.28,0.9144,25.1995,6627471,210726190.61,2472000000.0,812670000.0
2018-03-21,'300509,新美星,30.62,30.62,30.62,30.62,27.84,2.78,9.9856,2.2729,597783,18304115.46,2449600000.0,805306000.0
2018-03-20,'300509,新美星,27.84,27.96,26.35,26.35,26.78,1.06,3.9582,6.9511,1828133,49783536.21,2227200000.0,732192000.0
2018-03-19,'300509,新美星,26.78,26.93,24.52,25.07,25.07,1.71,6.8209,4.8392,1272698,33627735.44,2142400000.0,704314000.0
2018-03-16,'300509,新美星,25.07,25.4,24.82,24.9,24.89,0.18,0.7232,1.8922,497643,12513641.07,2005600000.0,659341000.0
2018-03-15,'300509,新美星,24.89,25.5,24.11,25.39,25.55,-0.66,-2.5832,2.6486,696583,17165624.73,1991200000.0,654607000.0
2018-03-14,'300509,新美星,25.55,26.02,25.27,26.02,25.98,-0.43,-1.6551,2.0746,545615,14025727.46,2044000000.0,671965000.0
2018-03-13,'300509,新美星,25.98,26.37,25.79,26.1,26.24,-0.26,-0.9909,2.3285,612383,15915685.0,2078400000.0,683274000.0
2018-03-12,'300509,新美星,26.24,26.45,25.69,25.9,25.9,0.34,1.3127,3.9612,1041800,27252864.0,2099200000.0,690112000.0
2018-03-09,'300509,新美星,25.9,26.1,24.6,24.6,24.8,1.1,4.4355,4.7784,1256732,32246726.64,2072000000.0,681170000.0
2018-03-08,'300509,新美星,24.8,24.85,24.0,24.1,24.14,0.66,2.7341,2.7084,712306,17479203.91,1984000000.0,652240000.0
2018-03-07,'300509,新美星,24.14,24.58,24.0,24.19,23.94,0.2,0.8354,1.7453,459004,11160285.06,1931200000.0,634882000.0
2018-03-06,'300509,新美星,23.94,24.21,23.8,23.88,23.86,0.08,0.3353,2.0125,529300,12705909.0,1915200000.0,629622000.0
2018-03-05,'300509,新美星,23.86,24.3,23.81,23.91,23.91,-0.05,-0.2091,1.203,316400,7567480.0,1908800000.0,627518000.0
2018-03-02,'300509,新美星,23.91,24.57,23.9,24.57,24.6,-0.69,-2.8049,1.3103,344600,8342574.0,1912800000.0,628833000.0
2018-03-01,'300509,新美星,24.6,24.77,24.07,24.1,24.49,0.11,0.4492,1.678,441301,10798525.27,1968000000.0,646980000.0
2018-02-28,'300509,新美星,24.49,24.77,23.57,23.79,23.79,0.7,2.9424,2.5582,672803,16339809.99,1959200000.0,644087000.0
2018-02-27,'300509,新美星,23.79,24.18,23.62,23.62,23.81,-0.02,-0.084,2.1414,563200,13431948.17,1903200000.0,625677000.0
2018-02-26,'300509,新美星,23.81,23.86,23.06,23.46,23.15,0.66,2.851,2.1,552307,12991548.38,1904800000.0,626203000.0
2018-02-23,'300509,新美星,23.15,23.5,23.01,23.39,23.46,-0.31,-1.3214,1.6068,422600,9829565.0,1852000000.0,608845000.0
2018-02-22,'300509,新美星,23.46,23.48,23.18,23.28,23.25,0.21,0.9032,1.6961,446083,10407289.22,1876800000.0,616998000.0
2018-02-14,'300509,新美星,23.25,24.0,22.71,23.75,23.68,-0.43,-1.8159,4.3329,1139543,26462060.48,1860000000.0,611475000.0
2018-02-13,'300509,新美星,23.68,23.68,21.99,22.07,21.53,2.15,9.9861,8.0408,2114726,49761343.38,1894400000.0,622784000.0
2018-02-12,'300509,新美星,21.53,21.9,21.16,21.2,21.04,0.49,2.3289,1.1297,297100,6436154.0,1722400000.0,566239000.0
2018-02-09,'300509,新美星,21.04,21.25,20.58,21.02,21.37,-0.33,-1.5442,1.3118,345000,7251495.0,1683200000.0,553352000.0
2018-02-08,'300509,新美星,21.37,21.75,20.76,21.12,21.2,0.17,0.8019,1.1152,293300,6266430.06,1709600000.0,562031000.0
2018-02-07,'300509,新美星,21.2,21.59,20.55,21.2,20.82,0.38,1.8252,1.3939,366589,7745638.68,1696000000.0,557560000.0
2018-02-06,'300509,新美星,20.82,22.5,20.82,22.5,22.73,-1.91,-8.403,1.3073,343807,7465525.67,1665600000.0,547566000.0
2018-02-05,'300509,新美星,22.73,22.97,22.5,22.5,22.72,0.01,0.044,0.5593,147100,3352331.0,1818400000.0,597799000.0
2018-02-02,'300509,新美星,22.72,23.4,22.05,22.63,22.84,-0.12,-0.5254,1.1684,307300,6965779.0,1817600000.0,597536000.0
2018-02-01,'300509,新美星,22.84,24.55,22.81,24.0,24.2,-1.36,-5.6198,1.9514,513206,11994642.0,1827200000.0,600692000.0
2018-01-31,'300509,新美星,24.2,24.91,24.06,24.82,24.78,-0.58,-2.3406,1.3228,347900,8519977.8,1936000000.0,636460000.0
2018-01-30,'300509,新美星,24.78,24.78,24.46,24.64,24.5,0.28,1.1429,0.9627,253182,6229159.0,1982400000.0,651714000.0
2018-01-29,'300509,新美星,24.5,25.1,24.48,25.1,25.07,-0.57,-2.2736,1.449,381089,9405015.65,1960000000.0,644350000.0
