»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2018-04-13,'002795,”¿∫Õ÷«øÿ,14.95,15.5,14.5,14.54,14.8,0.15,1.0135,11.0505,7044667,105372578.29,2990000000.0,953062500.0
2018-04-12,'002795,”¿∫Õ÷«øÿ,14.8,15.84,14.23,14.45,14.4,0.4,2.7778,14.2096,9058650,136314943.5,2960000000.0,943500000.0
2018-04-11,'002795,”¿∫Õ÷«øÿ,14.4,14.5,13.86,13.86,13.77,0.63,4.5752,5.9553,3796483,53828484.16,2880000000.0,918000000.0
2018-04-10,'002795,”¿∫Õ÷«øÿ,13.77,14.28,13.23,13.92,13.82,-0.05,-0.3618,4.3661,2783400,38427312.0,2754000000.0,877837500.0
2018-04-09,'002795,”¿∫Õ÷«øÿ,13.82,14.16,13.56,13.67,13.98,-0.16,-1.1445,3.8224,2436800,33802278.0,2764000000.0,881025000.0
2018-04-04,'002795,”¿∫Õ÷«øÿ,13.98,14.85,13.88,14.46,14.65,-0.67,-4.5734,5.8813,3749313,53932885.08,2796000000.0,891225000.0
2018-04-03,'002795,”¿∫Õ÷«øÿ,14.65,14.98,13.8,14.15,14.5,0.15,1.0345,7.5919,4839814,69818645.0,2930000000.0,933937500.0
2018-04-02,'002795,”¿∫Õ÷«øÿ,14.5,15.0,14.15,14.61,14.27,0.23,1.6118,9.399,5991850,87688057.0,2900000000.0,924375000.0
2018-03-30,'002795,”¿∫Õ÷«øÿ,14.27,14.85,13.52,13.72,13.72,0.55,4.0087,7.5831,4834232,69235279.06,2854000000.0,909712500.0
2018-03-29,'002795,”¿∫Õ÷«øÿ,13.72,13.94,13.42,13.56,13.41,0.31,2.3117,5.0222,3201669,43773831.4,2744000000.0,874650000.0
2018-03-28,'002795,”¿∫Õ÷«øÿ,13.41,13.8,12.9,13.0,13.25,0.16,1.2075,5.2711,3360314,45242786.72,2682000000.0,854887500.0
2018-03-27,'002795,”¿∫Õ÷«øÿ,13.25,13.44,12.94,12.94,12.87,0.38,2.9526,5.3106,3385514,44776818.98,2650000000.0,844687500.0
2018-03-26,'002795,”¿∫Õ÷«øÿ,12.87,13.0,11.81,12.3,13.05,-0.18,-1.3793,5.2432,3342514,41786196.34,2574000000.0,820462500.0
2018-03-23,'002795,”¿∫Õ÷«øÿ,13.05,13.86,13.05,13.86,14.5,-1.45,-10.0,8.1158,5173800,68964263.0,2610000000.0,831937500.0
2018-03-22,'002795,”¿∫Õ÷«øÿ,14.5,14.86,14.39,14.55,14.7,-0.2,-1.3605,4.6328,2953419,43020292.86,2900000000.0,924375000.0
2018-03-21,'002795,”¿∫Õ÷«øÿ,14.7,15.4,14.67,14.95,14.92,-0.22,-1.4745,6.6449,4236100,63841749.36,2940000000.0,937125000.0
2018-03-20,'002795,”¿∫Õ÷«øÿ,14.92,15.1,14.65,15.01,15.3,-0.38,-2.4837,6.0568,3861188,57484514.08,2984000000.0,951150000.0
2018-03-19,'002795,”¿∫Õ÷«øÿ,15.3,15.3,14.6,15.15,15.41,-0.11,-0.7138,6.9341,4420469,66129409.06,3060000000.0,975375000.0
2018-03-16,'002795,”¿∫Õ÷«øÿ,15.41,15.52,14.92,15.1,14.9,0.51,3.4228,13.1507,8383562,128500911.7,3082000000.0,982387500.0
2018-03-15,'002795,”¿∫Õ÷«øÿ,14.9,15.06,14.6,15.0,15.25,-0.35,-2.2951,9.1023,5802738,86008013.16,2980000000.0,949875000.0
2018-03-14,'002795,”¿∫Õ÷«øÿ,15.25,15.64,15.0,15.39,15.88,-0.63,-3.9673,16.4202,10467900,159729841.0,3050000000.0,972187500.0
2018-03-13,'002795,”¿∫Õ÷«øÿ,15.88,15.88,14.31,14.33,14.44,1.44,9.9723,24.93,15892850,246621145.52,3176000000.0,1012350000.0
2018-03-12,'002795,”¿∫Õ÷«øÿ,14.44,15.29,14.05,14.19,14.2,0.24,1.6901,10.7588,6858759,100428280.0,2888000000.0,920550000.0
2018-03-09,'002795,”¿∫Õ÷«øÿ,14.2,14.35,13.86,13.92,14.09,0.11,0.7807,7.9831,5089257,71660109.17,2840000000.0,905250000.0
2018-03-08,'002795,”¿∫Õ÷«øÿ,14.09,14.1,13.81,14.0,14.02,0.07,0.4993,6.5122,4151540,58154936.94,2818000000.0,898237500.0
2018-03-07,'002795,”¿∫Õ÷«øÿ,14.02,14.22,13.81,14.2,14.34,-0.32,-2.2315,8.4127,5363102,75148031.98,2804000000.0,893775000.0
2018-03-06,'002795,”¿∫Õ÷«øÿ,14.34,14.73,14.1,14.73,14.7,-0.36,-2.449,14.7243,9386723,134924700.33,2868000000.0,914175000.0
2018-03-05,'002795,”¿∫Õ÷«øÿ,14.7,14.7,13.21,13.4,13.36,1.34,10.0299,17.7125,11291723,162856165.84,2940000000.0,937125000.0
2018-03-02,'002795,”¿∫Õ÷«øÿ,13.36,13.55,12.72,12.88,12.88,0.48,3.7267,8.3875,5347021,71036085.27,2672000000.0,851700000.0
2018-03-01,'002795,”¿∫Õ÷«øÿ,12.88,13.05,12.41,12.5,12.87,0.01,0.0777,4.0836,2603300,33330566.0,2576000000.0,821100000.0
2018-02-28,'002795,”¿∫Õ÷«øÿ,12.87,13.39,12.3,12.55,12.7,0.17,1.3386,5.1962,3312600,42410267.0,2574000000.0,820462500.0
