ИХЖЪ,№ЙЖ±ґъВл,ГыіЖ,КХЕМјЫ,ЧоёЯјЫ,ЧоµНјЫ,їЄЕМјЫ,З°КХЕМ,ХЗµш¶о,ХЗµш·щ,»»КЦВК,іЙЅ»Бї,іЙЅ»Ѕр¶о,ЧЬКРЦµ,БчНЁКРЦµ
2018-04-13,'002081,Ѕр у« тл,13.56,13.84,13.31,13.36,13.24,0.32,2.4169,0.9196,24306753,331071442.85,35843265822.8,35843265822.8
2018-04-12,'002081,Ѕр у« тл,13.24,13.55,13.22,13.39,13.45,-0.21,-1.5613,0.5408,14296023,191156535.91,34997407042.4,34997407042.4
2018-04-11,'002081,Ѕр у« тл,13.45,13.54,13.28,13.34,13.27,0.18,1.3564,0.8485,22429324,301125897.43,35552501867.1,35552501867.1
2018-04-10,'002081,Ѕр у« тл,13.27,13.36,12.58,12.58,12.58,0.69,5.4849,1.0328,27300137,358269658.92,35076706303.0,35076706303.0
2018-04-09,'002081,Ѕр у« тл,12.58,12.8,12.51,12.69,12.71,-0.13,-1.0228,0.3049,8059404,102171118.14,33252823307.6,33252823307.6
2018-04-04,'002081,Ѕр у« тл,12.71,13.06,12.71,12.96,12.87,-0.16,-1.2432,0.3414,9024947,116462713.59,33596453437.2,33596453437.2
2018-04-03,'002081,Ѕр у« тл,12.87,13.06,12.82,12.86,13.0,-0.13,-1.0,0.3606,9531876,123225734.49,34019382827.4,34019382827.4
2018-04-02,'002081,Ѕр у« тл,13.0,13.22,12.87,12.99,12.98,0.02,0.1541,0.5891,15571571,203596888.43,34363012957.0,34363012957.0
2018-03-30,'002081,Ѕр у« тл,12.98,12.99,12.77,12.89,12.89,0.09,0.6982,0.478,12635964,162660584.0,34310146783.2,34310146783.2
2018-03-29,'002081,Ѕр у« тл,12.89,12.94,12.65,12.74,12.66,0.23,1.8167,0.4977,13156179,168681091.32,34072249001.2,34072249001.2
2018-03-28,'002081,Ѕр у« тл,12.66,12.79,12.46,12.55,12.67,-0.01,-0.0789,0.4714,12459417,158089311.06,33464288002.7,33464288002.7
2018-03-27,'002081,Ѕр у« тл,12.67,12.72,12.51,12.54,12.42,0.25,2.0129,0.6106,16140680,203609378.97,33490721089.6,33490721089.6
2018-03-26,'002081,Ѕр у« тл,12.42,12.53,12.18,12.25,12.53,-0.11,-0.8779,0.6058,16012158,197552191.05,32829893917.4,32829893917.4
2018-03-23,'002081,Ѕр у« тл,12.53,12.55,11.78,12.4,12.86,-0.33,-2.5661,1.18,31191953,381470367.78,33120657873.2,33120657873.2
2018-03-22,'002081,Ѕр у« тл,12.86,12.98,12.67,12.79,12.88,-0.02,-0.1553,0.4631,12240305,157090981.84,33992949740.5,33992949740.5
2018-03-21,'002081,Ѕр у« тл,12.88,13.29,12.72,13.15,13.09,-0.21,-1.6043,0.7296,19284544,252557545.83,34045815914.3,34045815914.3
2018-03-20,'002081,Ѕр у« тл,13.09,13.1,12.61,12.84,12.92,0.17,1.3158,0.6569,17363364,222880461.23,34600910739.0,34600910739.0
2018-03-19,'002081,Ѕр у« тл,12.92,13.03,12.55,12.9,12.91,0.01,0.0775,0.6335,16745769,214812106.2,34151548261.9,34151548261.9
2018-03-16,'002081,Ѕр у« тл,12.91,13.2,12.88,13.12,13.15,-0.24,-1.8251,0.5277,13949565,181856862.06,34125115175.0,34125115175.0
2018-03-15,'002081,Ѕр у« тл,13.15,13.24,12.96,13.13,13.15,0.0,0.0,0.6401,16921136,221829965.96,34759509260.3,34759509260.3
2018-03-14,'002081,Ѕр у« тл,13.15,13.52,13.12,13.4,13.44,-0.29,-2.1577,0.793,20962086,276890637.48,34759509260.3,34759509260.3
2018-03-13,'002081,Ѕр у« тл,13.44,13.88,13.43,13.85,13.8,-0.36,-2.6087,0.7399,19557469,265748879.94,35526068780.2,35526068780.2
2018-03-12,'002081,Ѕр у« тл,13.8,13.94,13.65,13.79,13.7,0.1,0.7299,0.8592,22710872,313099381.07,36477659908.2,36477659908.2
2018-03-09,'002081,Ѕр у« тл,13.7,13.84,13.57,13.8,13.71,-0.01,-0.0729,0.6317,16697620,228018886.22,36213329039.3,36213329039.3
2018-03-08,'002081,Ѕр у« тл,13.71,13.84,13.6,13.6,13.65,0.06,0.4396,0.3856,10192818,139553528.64,36239762126.2,36239762126.2
2018-03-07,'002081,Ѕр у« тл,13.65,14.08,13.63,14.02,13.99,-0.34,-2.4303,0.5466,14449520,199764664.07,36081163604.8,36081163604.8
2018-03-06,'002081,Ѕр у« тл,13.99,14.1,13.61,13.81,13.7,0.29,2.1168,0.6043,15972253,221942041.72,36979888559.1,36979888559.1
2018-03-05,'002081,Ѕр у« тл,13.7,14.13,13.48,14.04,14.05,-0.35,-2.4911,0.6719,17759994,244335288.48,36213329039.3,36213329039.3
2018-03-02,'002081,Ѕр у« тл,14.05,14.14,13.91,14.1,14.2,-0.15,-1.0563,0.3741,9889616,138847224.98,37138487080.4,37138487080.4
2018-03-01,'002081,Ѕр у« тл,14.2,14.28,13.93,14.05,14.16,0.04,0.2825,0.6007,15879637,224354788.37,37534983383.8,37534983383.8
2018-02-28,'002081,Ѕр у« тл,14.16,14.23,13.48,13.61,13.6,0.56,4.1176,0.997,26352691,367312936.97,37429251036.2,37429251036.2
2018-02-27,'002081,Ѕр у« тл,13.6,13.95,13.6,13.95,14.06,-0.46,-3.2717,0.7983,21101867,290089142.85,35948998170.4,35948998170.4
2018-02-26,'002081,Ѕр у« тл,14.06,14.11,13.2,14.05,13.9,0.16,1.1511,1.5207,40197259,545320050.3,37164920167.3,37164920167.3
2018-02-23,'002081,Ѕр у« тл,13.9,14.55,13.8,14.25,14.28,-0.38,-2.6611,0.6055,16005252,224650892.46,36741990777.1,36741990777.1
2018-02-22,'002081,Ѕр у« тл,14.28,14.36,13.98,14.1,13.96,0.32,2.2923,0.4014,10611086,150687373.93,37746448078.9,37746448078.9
2018-02-14,'002081,Ѕр у« тл,13.96,13.99,13.52,13.68,13.68,0.28,2.0468,0.2757,7288621,101112780.18,36900589298.4,36900589298.4
2018-02-13,'002081,Ѕр у« тл,13.68,14.02,13.57,13.66,13.57,0.11,0.8106,0.3865,10215922,141194965.79,36160462865.5,36160462865.5
2018-02-12,'002081,Ѕр у« тл,13.57,13.85,13.26,13.34,13.21,0.36,2.7252,0.4514,11932717,161184959.94,35869698909.7,35869698909.7
2018-02-09,'002081,Ѕр у« тл,13.21,14.15,12.83,13.74,14.25,-1.04,-7.2982,0.829,21911970,296085591.18,34918107781.7,34918107781.7
2018-02-08,'002081,Ѕр у« тл,14.25,14.56,13.79,14.01,14.2,0.05,0.3521,0.6359,16809674,239372394.28,37667148818.2,37667148818.2
2018-02-07,'002081,Ѕр у« тл,14.2,15.34,13.8,15.28,15.0,-0.8,-5.3333,0.9519,25162549,362575627.89,37534983383.8,37534983383.8
2018-02-06,'002081,Ѕр у« тл,15.0,15.27,14.66,14.99,15.42,-0.42,-2.7237,0.851,22495194,336670002.34,39649630335.0,39649630335.0
2018-02-05,'002081,Ѕр у« тл,15.42,15.64,15.3,15.32,15.59,-0.17,-1.0904,0.5037,13315548,205966492.78,40759819984.4,40759819984.4
2018-02-02,'002081,Ѕр у« тл,15.59,15.63,14.91,15.1,15.27,0.32,2.0956,0.9066,23964112,365526735.78,41209182461.5,41209182461.5
2018-02-01,'002081,Ѕр у« тл,15.27,15.97,15.01,15.91,15.94,-0.67,-4.2033,0.8364,22109879,340827415.94,40363323681.0,40363323681.0
2018-01-31,'002081,Ѕр у« тл,15.94,16.1,15.41,15.72,15.94,0.0,0.0,0.7049,18631977,293736859.2,42134340502.7,42134340502.7
2018-01-30,'002081,Ѕр у« тл,15.94,16.68,15.72,16.31,16.39,-0.45,-2.7456,0.7888,20850000,334914457.81,42134340502.7,42134340502.7
2018-01-29,'002081,Ѕр у« тл,16.39,16.94,16.26,16.43,16.4,-0.01,-0.061,0.9082,24007532,398452351.64,43323829412.7,43323829412.7
2018-01-26,'002081,Ѕр у« тл,16.4,16.76,15.96,16.16,16.14,0.26,1.6109,1.0889,28781867,473922273.84,43350262499.6,43350262499.6
2018-01-25,'002081,Ѕр у« тл,16.14,16.36,15.66,15.75,15.82,0.32,2.0228,0.7755,20497756,330622775.75,42663002240.5,42663002240.5
2018-01-24,'002081,Ѕр у« тл,15.82,16.15,15.78,15.93,15.93,-0.11,-0.6905,0.5883,15551601,248158522.95,41817143460.0,41817143460.0
2018-01-23,'002081,Ѕр у« тл,15.93,16.11,15.59,15.62,15.72,0.21,1.3359,0.8933,23611997,376169783.65,42107907415.8,42107907415.8
2018-01-22,'002081,Ѕр у« тл,15.72,15.77,14.99,15.31,15.32,0.4,2.611,0.9525,25178714,387012456.77,41552812591.1,41552812591.1
2018-01-19,'002081,Ѕр у« тл,15.32,15.6,15.23,15.46,15.44,-0.12,-0.7772,0.8114,21448636,329452512.0,40495489115.5,40495489115.5
2018-01-18,'002081,Ѕр у« тл,15.44,15.73,15.28,15.35,15.3,0.14,0.915,0.5709,15089570,233642297.22,40812686158.2,40812686158.2
2018-01-17,'002081,Ѕр у« тл,15.3,16.19,14.91,16.15,16.15,-0.85,-5.2632,1.2573,33233033,511600009.11,40442622941.7,40442622941.7
2018-01-16,'002081,Ѕр у« тл,16.15,16.18,15.53,15.61,15.63,0.52,3.3269,0.8074,21340867,339725821.06,42689435327.3,42689435327.3
2018-01-15,'002081,Ѕр у« тл,15.63,15.9,15.52,15.65,15.59,0.04,0.2566,0.6731,17793143,278307935.5,41314914809.1,41314914809.1
2018-01-12,'002081,Ѕр у« тл,15.59,16.09,15.5,15.8,15.83,-0.24,-1.5161,0.5281,13959037,220039287.57,41209182461.5,41209182461.5
2018-01-11,'002081,Ѕр у« тл,15.83,15.98,15.59,15.9,15.94,-0.11,-0.6901,0.6205,16401210,258438205.99,41843576546.9,41843576546.9
2018-01-10,'002081,Ѕр у« тл,15.94,16.58,15.77,16.43,16.56,-0.62,-3.744,1.0696,28272617,453753861.46,42134340502.7,42134340502.7
2018-01-09,'002081,Ѕр у« тл,16.56,16.93,16.31,16.58,16.5,0.06,0.3636,0.8899,23523939,390790589.28,43773191889.8,43773191889.8
2018-01-08,'002081,Ѕр у« тл,16.5,16.64,15.76,15.95,16.02,0.48,2.9963,1.2335,32604795,532703543.56,43614593368.5,43614593368.5
2018-01-05,'002081,Ѕр у« тл,16.02,16.66,16.01,16.24,16.26,-0.24,-1.476,0.994,26273801,426552492.52,42345805197.8,42345805197.8
2018-01-04,'002081,Ѕр у« тл,16.26,16.32,15.87,16.2,16.1,0.16,0.9938,0.6843,18088829,291257933.81,42980199283.1,42980199283.1
2018-01-03,'002081,Ѕр у« тл,16.1,16.5,15.93,16.27,16.27,-0.17,-1.0449,1.2111,32014215,519022500.27,42557269892.9,42557269892.9
2018-01-02,'002081,Ѕр у« тл,16.27,16.38,15.45,15.47,15.32,0.95,6.201,1.4285,37759450,606081431.81,43006632370.0,43006632370.0
2017-12-29,'002081,Ѕр у« тл,15.32,15.51,15.09,15.2,15.11,0.21,1.3898,0.8042,21257833,325517442.23,40495489115.5,40495489115.5
2017-12-28,'002081,Ѕр у« тл,15.11,15.32,14.95,14.97,14.99,0.12,0.8005,0.553,14616835,221595029.17,39940394290.8,39940394290.8
2017-12-27,'002081,Ѕр у« тл,14.99,15.62,14.99,15.5,15.52,-0.53,-3.4149,0.8572,22658396,345672738.11,39623197248.1,39623197248.1
2017-12-26,'002081,Ѕр у« тл,15.52,15.58,14.91,14.96,15.05,0.47,3.1229,1.0944,28929192,446225658.28,41024150853.3,41024150853.3
