»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2018-04-13,'300244,µœ∞≤’Ô∂œ,24.28,24.97,24.21,24.35,24.23,0.05,0.2064,1.4735,7222751,177290500.5,13378995118.8,11901799918.8
2018-04-12,'300244,µœ∞≤’Ô∂œ,24.23,24.65,23.88,24.09,24.15,0.08,0.3313,1.3836,6782366,165090960.9,13351443646.2,11877290446.2
2018-04-11,'300244,µœ∞≤’Ô∂œ,24.15,24.65,24.0,24.33,24.11,0.04,0.1659,1.5199,7450163,181334052.33,13307361290.0,11838075290.0
2018-04-10,'300244,µœ∞≤’Ô∂œ,24.11,24.69,23.51,24.41,24.17,-0.06,-0.2482,2.2109,10837730,260901978.46,13285320111.8,11818467711.8
2018-04-09,'300244,µœ∞≤’Ô∂œ,24.17,24.48,23.51,23.9,24.22,-0.05,-0.2064,1.644,8058657,192911420.99,13318381879.0,11847879079.0
2018-04-04,'300244,µœ∞≤’Ô∂œ,24.22,25.5,24.12,25.23,25.06,-0.84,-3.352,1.9926,9767374,240440337.87,13345933351.7,11872388551.7
2018-04-03,'300244,µœ∞≤’Ô∂œ,25.06,25.2,24.36,24.95,25.55,-0.49,-1.9178,2.4435,11977671,296282991.49,13808798092.2,12284147692.2
2018-04-02,'300244,µœ∞≤’Ô∂œ,25.55,26.19,24.98,25.6,25.82,-0.27,-1.0457,3.3855,16595591,422923445.12,14078802524.1,12524340524.1
2018-03-30,'300244,µœ∞≤’Ô∂œ,25.82,26.35,24.4,24.55,24.45,1.37,5.6033,3.2483,15922675,405737910.1,14227580476.5,12656691676.5
2018-03-29,'300244,µœ∞≤’Ô∂œ,24.45,24.88,24.21,24.73,24.73,-0.28,-1.1322,2.2065,10815895,264717354.33,13472670125.9,11985132125.9
2018-03-28,'300244,µœ∞≤’Ô∂œ,24.73,25.2,23.11,23.2,23.53,1.2,5.0999,4.1917,20547192,503441852.64,13626958372.7,12122385172.7
