日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-04-13,'300450,先导智能,67.37,68.47,66.38,68.12,67.62,-0.25,-0.3697,2.0637,3487237,234554745.5,29652034742.8,11384411658.0
2018-04-12,'300450,先导智能,67.62,70.75,66.88,70.11,70.45,-2.83,-4.017,2.7921,4718124,321286327.84,29762069011.5,11426657508.0
2018-04-11,'300450,先导智能,70.45,71.97,69.73,71.91,71.28,-0.83,-1.1644,1.72,2906466,206113426.44,31007656933.8,11904880530.0
2018-04-10,'300450,先导智能,71.28,71.63,68.58,70.45,69.43,1.85,2.6646,2.0615,3483609,245974558.65,31372970706.0,12045136752.0
2018-04-09,'300450,先导智能,69.43,72.3,69.2,70.74,71.0,-1.57,-2.2113,1.968,3325649,236323118.91,30558717117.2,11732517462.0
2018-04-04,'300450,先导智能,71.0,73.1,70.5,72.99,72.6,-1.6,-2.2039,2.3989,4053814,289332848.61,31249732325.0,11997821400.0
2018-04-03,'300450,先导智能,72.6,72.8,70.0,72.29,74.1,-1.5,-2.0243,3.096,5231750,374143207.83,31953951645.0,12268194840.0
2018-04-02,'300450,先导智能,74.1,78.86,73.9,78.05,76.62,-2.52,-3.289,4.0497,6843379,518543334.77,32614157257.5,12521669940.0
2018-03-30,'300450,先导智能,76.62,76.75,73.26,74.3,73.96,2.66,3.5965,3.1332,5294558,400429862.84,33723302686.5,12947508108.0
2018-03-29,'300450,先导智能,73.96,76.5,72.1,75.73,74.85,-0.89,-1.189,2.9891,5051033,373166418.83,32552538067.0,12498012264.0
2018-03-28,'300450,先导智能,74.85,77.4,74.77,75.02,76.22,-1.37,-1.7974,3.5599,6015620,456851741.04,32944260063.8,12648407490.0
2018-03-27,'300450,先导智能,76.22,76.5,72.55,72.58,71.69,4.53,6.3189,4.9799,8415193,628276757.06,33547247856.5,12879914748.0
2018-03-26,'300450,先导智能,71.69,71.91,66.52,66.52,67.18,4.51,6.7133,4.053,6848919,479242085.09,31553426906.8,12114419946.0
2018-03-23,'300450,先导智能,67.18,70.29,66.34,68.56,70.92,-3.74,-5.2735,3.8397,6488462,440515998.45,29568408698.5,11352304812.0
2018-03-22,'300450,先导智能,70.92,71.48,69.59,71.23,70.09,0.83,1.1842,2.2256,3760837,265155336.1,31214521359.0,11984302728.0
2018-03-21,'300450,先导智能,70.09,73.88,70.01,72.74,72.58,-2.49,-3.4307,3.2004,5408108,388395615.41,30849207586.8,11844046506.0
2018-03-20,'300450,先导智能,72.58,73.4,69.9,72.35,72.92,-0.34,-0.4663,3.8282,6469072,462612369.03,31945148903.5,12264815172.0
2018-03-19,'300450,先导智能,72.92,74.04,72.35,72.8,73.8,-0.88,-1.1924,2.4429,4128025,302443267.84,32094795509.0,12322269528.0
2018-03-16,'300450,先导智能,73.8,76.3,73.77,74.88,74.8,-1.0,-1.3369,2.7598,4663678,349701323.64,32482116135.0,12470974920.0
2018-03-15,'300450,先导智能,74.8,76.2,72.0,74.01,74.31,0.49,0.6594,3.6967,6246739,462368921.54,32922253210.0,12639958320.0
2018-03-14,'300450,先导智能,74.31,77.75,74.02,74.1,74.68,-0.37,-0.4954,4.945,8356237,633344864.01,32706586043.2,12557156454.0
2018-03-13,'300450,先导智能,74.68,77.77,74.01,74.54,74.45,0.23,0.3089,5.4127,9146635,688241369.52,32869436761.0,12619680312.0
2018-03-12,'300450,先导智能,74.45,76.99,74.01,75.01,74.89,-0.44,-0.5875,6.4959,10976919,823676472.19,32768205233.8,12580814130.0
2018-03-09,'300450,先导智能,74.89,75.25,68.37,68.37,68.41,6.48,9.4723,7.2841,12308910,883280009.39,32961865546.8,12655166826.0
2018-03-08,'300450,先导智能,68.41,74.91,68.16,72.97,70.54,-2.13,-3.0196,5.2664,8899315,637577625.43,30109777300.8,11560154394.0
2018-03-07,'300450,先导智能,70.54,70.58,68.0,69.85,69.54,1.0,1.438,2.4971,4219645,291866433.21,31047269270.5,11920089036.0
2018-03-06,'300450,先导智能,69.54,72.02,69.0,69.8,70.48,-0.94,-1.3337,2.4151,4081140,285074209.2,30607132195.5,11751105636.0
2018-03-05,'300450,先导智能,70.48,73.06,65.46,67.2,66.42,4.06,6.1126,4.5198,7637668,528551811.82,31020861046.0,11909950032.0
2018-03-02,'300450,先导智能,66.42,67.0,62.6,63.01,63.6,2.82,4.434,3.1606,5340832,350761019.93,29233904521.5,11223877428.0
2018-03-01,'300450,先导智能,63.6,64.08,62.38,63.0,63.38,0.22,0.3471,1.8681,3156802,200194563.36,27992717970.0,10747344240.0
2018-02-28,'300450,先导智能,63.38,63.99,60.7,61.25,61.22,2.16,3.5283,2.5387,4289911,270258104.26,27895887813.5,10710167892.0
2018-02-27,'300450,先导智能,61.22,63.54,60.6,61.25,61.4,-0.18,-0.2932,2.7481,4643862,288287298.66,26945191731.5,10345163748.0
2018-02-26,'300450,先导智能,61.4,62.58,58.48,58.5,57.9,3.5,6.0449,3.2812,5544726,339438307.17,27024416405.0,10375580760.0
2018-02-23,'300450,先导智能,57.9,58.38,56.21,58.34,58.6,-0.7,-1.1945,2.3021,3890105,222960377.56,25483936642.5,9784138860.0
2018-02-22,'300450,先导智能,58.6,60.5,58.4,59.2,58.3,0.3,0.5146,2.2147,3742453,222546750.97,25792032595.0,9902427240.0
2018-02-14,'300450,先导智能,58.3,59.2,55.75,58.29,57.66,0.64,1.11,1.9722,3332634,191723819.82,25659991472.5,9851732220.0
2018-02-13,'300450,先导智能,57.66,59.3,57.0,58.8,58.1,-0.44,-0.7573,2.6188,4425291,256396506.04,25378303744.5,9743582844.0
2018-02-12,'300450,先导智能,58.1,59.38,54.19,54.19,54.06,4.04,7.4732,3.2767,5537077,319674670.47,25571964057.5,9817935540.0
2018-02-09,'300450,先导智能,54.06,54.85,50.7,51.01,52.15,1.91,3.6625,3.3927,5733110,308541578.8,23793810274.5,9135242604.0
2018-02-08,'300450,先导智能,52.15,53.1,48.0,48.01,48.58,3.57,7.3487,2.457,4151898,213685842.26,22953148461.2,8812484310.0
2018-02-07,'300450,先导智能,48.58,49.56,46.46,49.16,47.75,0.83,1.7382,2.3711,4006804,193945998.34,21381859103.5,8209213572.0
2018-02-06,'300450,先导智能,47.75,48.6,46.5,47.25,48.94,-1.19,-2.4315,2.5452,4300918,204798076.33,21016545331.2,8068957350.0
2018-02-05,'300450,先导智能,48.94,51.17,48.13,50.5,52.05,-3.11,-5.975,2.9428,4972925,244313284.83,21540308450.5,8270047596.0
2018-02-02,'300450,先导智能,52.05,53.8,51.5,52.53,52.4,-0.35,-0.6679,1.9027,3215225,169561963.69,22909134753.8,8795585970.0
2018-02-01,'300450,先导智能,52.4,53.4,51.51,52.1,52.86,-0.46,-0.8702,1.863,3148133,165311254.05,23063182730.0,8854730160.0
