日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-04-13,'300457,赢合科技,25.25,25.42,24.98,25.18,25.14,0.11,0.4375,0.7503,1090750,27454753.0,9501339417.5,3670604367.5
2018-04-12,'300457,赢合科技,25.14,25.76,25.02,25.65,25.68,-0.54,-2.1028,1.4112,2051510,51838685.09,7913837443.8,3654613615.8
2018-04-11,'300457,赢合科技,25.68,25.86,25.19,25.48,25.19,0.49,1.9452,1.1042,1605205,41048932.5,8083824405.6,3733113669.6
2018-04-10,'300457,赢合科技,25.19,25.29,24.81,24.95,24.85,0.34,1.3682,1.4524,2111306,52883079.5,7929576977.3,3661882139.3
2018-04-09,'300457,赢合科技,24.85,25.29,24.83,25.0,25.3,-0.45,-1.7787,1.7053,2478950,61934843.51,7822548149.5,3612456179.5
2018-04-04,'300457,赢合科技,25.3,25.97,25.06,25.74,25.57,-0.27,-1.0559,2.1351,3103841,78955088.7,7964203951.0,3677872891.0
2018-04-03,'300457,赢合科技,25.57,26.13,25.5,25.9,26.31,-0.74,-2.8126,2.2086,3210600,82773938.0,8049197431.9,3717122917.9
2018-04-02,'300457,赢合科技,26.31,27.58,26.28,27.19,26.93,-0.62,-2.3023,3.6239,5268095,141358741.4,8282142527.7,3824697065.7
2018-03-30,'300457,赢合科技,26.93,27.08,26.03,26.5,26.32,0.61,2.3176,2.5294,3676937,97651073.78,8477312743.1,3914826757.1
2018-03-29,'300457,赢合科技,26.32,27.17,26.1,26.97,26.8,-0.48,-1.791,1.9745,2870372,76037417.3,8285290434.4,3826150770.4
2018-03-28,'300457,赢合科技,26.8,27.61,26.76,27.5,27.99,-1.19,-4.2515,2.3975,3485300,94567750.09,8436389956.0,3895928596.0
2018-03-27,'300457,赢合科技,27.99,28.1,27.01,27.5,27.16,0.83,3.056,3.1181,4532829,125321969.81,8810990853.3,4068919455.3
2018-03-26,'300457,赢合科技,27.16,27.6,25.88,26.54,26.57,0.59,2.2205,2.4629,3580350,96136480.5,8549714597.2,3948261965.2
2018-03-23,'300457,赢合科技,26.57,27.3,25.03,26.8,27.81,-1.24,-4.4588,4.2083,6117675,161376793.0,8363988101.9,3862493387.9
2018-03-22,'300457,赢合科技,27.81,28.69,27.6,28.6,28.86,-1.05,-3.6383,2.8827,4190625,117237406.4,8754328532.7,4042752770.7
2018-03-21,'300457,赢合科技,28.86,29.83,28.32,28.98,28.29,0.57,2.0148,5.4684,7949392,230148967.68,9084858736.2,4195391764.2
2018-03-20,'300457,赢合科技,0.0,0.0,0.0,0.0,28.29,None,None,0.0,0,0.0,8905428054.3,4112530596.3
2018-03-19,'300457,赢合科技,0.0,0.0,0.0,0.0,28.29,None,None,0.0,0,0.0,8905428054.3,4112530596.3
2018-03-16,'300457,赢合科技,0.0,0.0,0.0,0.0,28.29,None,None,0.0,0,0.0,8905428054.3,4112530596.3
2018-03-15,'300457,赢合科技,0.0,0.0,0.0,0.0,28.29,None,None,0.0,0,0.0,8905428054.3,4112530596.3
2018-03-14,'300457,赢合科技,0.0,0.0,0.0,0.0,28.29,None,None,0.0,0,0.0,8905428054.3,4112530596.3
2018-03-13,'300457,赢合科技,28.29,28.57,27.4,28.39,28.39,-0.1,-0.3522,4.6123,6704875,186995549.78,8905428054.3,4112530596.3
