code,short,allToneQ,allToneA
002069,ST獐岛,0.5609756097560976,0.7361543248288737
002029,七匹狼,0.5869737887212073,0.6614839598504232
002085,万丰奥威,0.5276752767527675,0.6923076923076923
002543,万和电气,0.5882352941176471,0.8048780487804879
300482,万孚生物,0.5013850415512465,0.7799006495987774
002590,万安科技,0.4444444444444444,0.6056338028169014
002654,万润科技,0.6615384615384615,0.9024390243902439
002643,万润股份,0.43209876543209874,0.7120359955005624
300268,万福生科,0.5902439024390244,0.5300546448087431
000002,万科A,0.35842880523731585,0.7878553125558667
300168,万达信息,0.41722768858967724,0.6727272727272727
002739,万达院线,0.3206681350954479,0.7423133235724744
300055,万邦达,0.7142857142857143,0.7326478149100257
002434,万里扬,0.6066000868432478,0.7695473251028807
002785,万里石,0.7846153846153846,0.9346938775510204
300591,万里马,0.6184971098265896,0.7889243258915628
300552,万集科技,0.5512820512820513,0.8783894823336073
300057,万顺股份,0.6803118908382066,0.802936996684036
002276,万马股份,0.18933333333333333,0.6849507735583685
002555,三七互娱,0.6084519189305735,0.7715909090909091
300276,三丰智能,0.7226277372262774,0.7032258064516129
300051,三五互联,0.6516129032258065,0.6579925650557621
002417,三元达,0.6190476190476191,0.6035678889990089
002216,三全食品,0.5396188565697091,0.7726465364120781
300295,三六五网,0.40482573726541554,0.5899569157628881
002224,三力士,0.553072625698324,0.3333333333333333
002112,三变科技,0.7297297297297297,0.5968063872255489
002621,三垒股份,0.5472091810119979,0.8308943089430895
002780,三夫户外,0.68,0.7058125741399762
300066,三川智慧,0.6437246963562753,0.845
300515,三德科技,0.717391304347826,0.7639405204460966
002857,三晖电气,0.5663157894736842,0.7386759581881533
002312,三泰控股,0.7372262773722628,0.7592200084781687
002159,三特索道,0.7425287356321839,0.8260869565217391
300408,三环集团,0.6767676767676768,0.9393479909021987
300056,三维丝,0.26799511996746644,0.5760054533060669
002469,三维工程,0.34579439252336447,0.7906523855890945
002115,三维通信,0.6747967479674797,0.7583333333333333
300384,三联虹普,0.7647058823529411,0.8095238095238095
300072,三聚环保,0.647887323943662,0.6836654636748783
002050,三花智控,0.9069767441860465,0.7837837837837838
300298,三诺生物,0.5260115606936416,0.717948717948718
002110,三钢闽光,0.6901408450704225,0.7297297297297297
300236,上海新阳,0.6061776061776062,0.7935555865532152
002252,上海莱士,0.8076379066478077,0.8647007805724197
300226,上海钢联,0.6653061224489796,0.7547568710359408
300522,世名科技,0.5299334811529933,0.7698154180238871
002796,世嘉科技,0.9101123595505618,0.9453458582408198
002558,世纪游轮,0.5114503816793893,0.7081596188207266
300150,世纪瑞尔,0.2565947242206235,0.8551532033426184
300050,世纪鼎利,0.8775510204081632,0.8936170212765957
002285,世联行,0.6396979503775619,0.7129071170084439
002016,世荣兆业,0.6738324684951816,0.9322033898305084
002748,世龙实业,0.6453900709219859,0.8364312267657993
002017,东信和平,0.635036496350365,0.6111111111111112
300354,东华测试,0.7199124726477024,0.7071667094785512
002140,东华科技,0.4798206278026906,0.6269113149847095
002221,东华能源,0.4425436965414652,0.7743716679360243
002065,东华软件,0.552,0.7562683849278611
300353,东土科技,0.6936353829557712,0.8245614035087719
300239,东宝生物,0.5127175368139223,0.865814696485623
300171,东富龙,0.6829109811565951,0.817279046673287
002384,东山精密,0.4739517153748411,0.7876106194690266
002819,东方中科,0.5873015873015873,0.6986817325800376
002310,东方园林,0.5512300621789673,0.6825396825396826
300166,东方国信,0.5701259227095093,0.835768887928473
002755,东方新星,0.6140350877192983,0.6892430278884463
300118,东方日升,0.49887133182844245,0.7386600083229297
002086,东方海洋,0.721030042918455,0.8115942028985508
300217,东方电热,0.5112540192926045,0.7637795275590551
002611,东方精工,0.6897506925207756,0.7854889589905363
300367,东方网力,0.8371040723981901,0.8604448320976886
002175,东方网络,0.7168141592920354,0.8917293233082707
300059,东方财富,0.675,0.8165137614678899
300379,东方通,0.7288135593220338,0.8760631834750912
002545,东方铁塔,0.6715542521994134,0.8543363679923336
002167,东方锆业,0.4543404735062006,0.71900826446281
002271,东方雨虹,0.5331273601098524,0.8290271132376396
002713,东易日盛,0.6595744680851063,0.8258642765685019
002199,东晶电子,0.43462149285336155,0.7539863325740319
300486,东杰智能,0.40638481449525454,0.7492163009404389
002672,东江环保,0.6581196581196581,0.7404603738606519
002117,东港股份,0.5163398692810458,0.7518248175182481
002675,东诚药业,0.4088669950738916,0.7851037851037851
300183,东软载波,0.5075757575757576,0.7788569293985805
002793,东音股份,0.413953488372093,0.8371501272264631
002793,东音股份,0.6666666666666666,0.75
300512,中亚股份,0.7303370786516854,0.89937106918239
002579,中京电子,0.4382716049382716,0.6562282533054976
300018,中元股份,0.6148148148148148,0.8591378263509412
300414,中光防雷,0.5578947368421052,0.8318949343339587
002309,中利集团,0.6590909090909091,0.8195819581958196
002542,中化岩土,0.5686274509803921,0.8221024258760108
002445,中南文化,0.23919308357348704,0.873116574147502
601985,中国核电,0.6781609195402298,0.6893203883495146
